,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,Chi3l3,Unkn,,15701.8895497384,,Unknown,Unassigned,False
,A02,SYBR,Chi3l3,Unkn,,14813.8297565981,,Unknown,Unassigned,False
,A03,SYBR,Chi3l3,Unkn,,11351.8075565041,,Unknown,Unassigned,False
,A04,SYBR,Chi3l3,Unkn,,11518.3055569505,,Unknown,Unassigned,False
,A05,SYBR,Chi3l3,Unkn,,11670.0778570596,,Unknown,Unassigned,False
,A06,SYBR,Chi3l3,Unkn,,12909.8725067912,,Unknown,Unassigned,False
,A07,SYBR,Retnla,Unkn,,4386.19512225151,,Unknown,Unassigned,False
,A08,SYBR,Retnla,Unkn,,88.9938751458472,,Unknown,Unassigned,False
,A09,SYBR,Retnla,Unkn,,435.692205353406,,Unknown,Unassigned,False
,A10,SYBR,Retnla,Unkn,,644.153372100187,,Unknown,Unassigned,False
,A11,SYBR,Retnla,Unkn,,549.474647557655,,Unknown,Unassigned,False
,A12,SYBR,Retnla,Unkn,,25.9621273513463,,Unknown,Unassigned,False
,B01,SYBR,Chi3l3,Unkn,,10538.0796590232,,Unknown,Unassigned,False
,B02,SYBR,Chi3l3,Unkn,,5864.69010323343,,Unknown,Unassigned,False
,B03,SYBR,Chi3l3,Unkn,,6665.63491774244,,Unknown,Unassigned,False
,B04,SYBR,Chi3l3,Unkn,,3878.81377457642,,Unknown,Unassigned,False
,B05,SYBR,Chi3l3,Unkn,,14727.5833442752,,Unknown,Unassigned,False
,B06,SYBR,Chi3l3,Unkn,,14031.90191771,,Unknown,Unassigned,False
,B07,SYBR,Retnla,Unkn,,78.6444809953487,,Unknown,Unassigned,False
,B08,SYBR,Retnla,Unkn,,1122.5184791582,,Unknown,Unassigned,False
,B09,SYBR,Retnla,Unkn,,54.3653132045925,,Unknown,Unassigned,False
,B10,SYBR,Retnla,Unkn,,239.199211882223,,Unknown,Unassigned,False
,B11,SYBR,Retnla,Unkn,,79.6657124712241,,Unknown,Unassigned,False
,B12,SYBR,Retnla,Unkn,,49.1197920784693,,Unknown,Unassigned,False
,C01,SYBR,Chi3l3,Unkn,,7958.1851501671,,Unknown,Unassigned,False
,C02,SYBR,Chi3l3,Unkn,,8659.11900053396,,Unknown,Unassigned,False
,C03,SYBR,Chi3l3,Unkn,,7088.60484483687,,Unknown,Unassigned,False
