,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,423.400521593089,500.495042984199,350.016354948863,363.603618456961,351.467613665979,343.776461394075,227.161657680427,28.2074078914244,49.345698630696,50.2600986507694,63.9966788165145,37.77736428905,426.494211765276,229.375997876706,260.18784157815,155.788673861588,343.896939743099,355.335750844346,23.8620259631175,61.3109912344009,21.8353307670149,28.2838749332157,27.839356520498,28.6846499328681,314.107064987787,308.506343909673,267.286470060448,288.433637519359,345.755143543074,337.310184635505,25.5873785959268,69.2783329233584,19.8679090285125,34.37413906706,83.2097691669469,23.0164571530631,389.380952743305,417.632626989267,366.619176006006,328.712848984584,393.610134704993,401.871391969828,29.7270038388086,32.796805714341,194.592810355804,40.3671985920478,68.0560617014664,63.4423333560273,410.647964432374,406.283492983761,335.005399743775,369.234783414118,390.607806835365,398.075993773174,30.2226129057085,23.454778220046,32.7016763421752,24.054859051455,100.165165554997,82.8083619984604,421.366875535533,422.846938885288,404.792855228051,368.384552096839,409.937307969399,388.487011781142,45.0323175798305,45.2919507758902,73.6554138372642,32.5169738737792,46.9728770242782,34.5091750337635,574.704552755906,561.088913139426,526.146668733029,576.245243203492,516.590612749315,545.389743078029,590.105414407302,591.538230026114,576.390431578579,591.881812295944,708.788383123172,867.080687831742,497.505568905257,660.679061710774,648.060096560233,504.038725020394,533.484853258312,484.500897718211,325.585313974047,247.117905691491,436.312065758453,357.719212252484,80.8887638550532,256.029553694412
,65.5,917.367796785023,1084.40592646576,758.368769055872,787.807839990068,761.513162942945,744.848999687156,492.183591640924,61.1160504314198,106.915680366506,108.896880410002,138.659470769114,81.8509559596087,924.070792158106,496.98132873286,563.74032341931,337.542126700106,745.110036110045,769.894126829419,51.7010562534205,132.840481007868,47.3098833285317,61.2817290219675,60.3186057944115,62.1500748545473,680.565307473541,668.430411804298,579.120685130962,624.939547958612,749.136144343325,730.83873337692,55.4393202911743,150.10305466728,43.0471362284428,74.4773013119636,180.287833195052,49.8689904983034,843.658730943826,904.870691810067,794.341548013029,712.211172799923,852.821958527476,870.721349267958,64.4085083174174,71.0597457144058,421.617755770914,87.4622636161014,147.454800353175,137.458388938062,889.737256270158,880.280901464817,725.845032778182,800.008697397251,846.316914809953,862.497986508545,65.4823279623661,50.8186861434332,70.853632074713,52.118861278153,217.024525369161,179.418117663331,912.961563660327,916.168367584789,877.05118632746,798.166529543146,888.197500600351,841.721858859137,97.570021422968,98.1325600144282,159.58672998074,70.4534433931887,101.774566885938,74.7698792398207,1245.1931976378,1215.69264513542,1139.98444892158,1248.53136027421,1119.27966095688,1181.67777666903,1278.56173121582,1281.66616505661,1248.84593508691,1282.4105933079,1535.70816343358,1878.67482363546,1077.92873262806,1431.47130037335,1404.13020921386,1092.08390421085,1155.88384872634,1049.75194505613,705.434846943753,535.422128998232,945.342809143308,775.058293213707,175.258988352614,554.730699671221
,66,846.801043186174,1000.99008596839,700.032709897727,727.2072369139,702.935227331941,687.552922788129,454.323315360853,56.414815782849,98.6913972613902,100.52019730154,127.993357633028,75.5547285781012,852.988423530567,458.751995753405,520.375683156275,311.577347723167,687.793879486203,710.671501688686,47.7240519262333,122.621982468802,43.6706615340293,56.5677498664315,55.6787130409953,57.3692998657377,628.214129975572,617.012687819355,534.572940120876,576.867275038719,691.510287086146,674.620369270994,51.1747571918532,138.556665846722,39.7358180570241,68.7482781341203,166.419538333896,46.0329143061263,778.761905486609,835.265253978516,733.238352012034,657.425697969152,787.22026940997,803.742783939646,59.4540076776152,65.5936114286832,389.185620711616,80.7343971840917,136.112123402929,126.884666712061,821.295928864768,812.566985967524,670.010799487559,738.469566828231,781.215613670719,796.151987546356,60.4452258114131,46.9095564400922,65.4033526843505,48.1097181029104,200.330331109996,165.616723996921,842.733751071077,845.693877770566,809.585710456131,736.769104193672,819.874615938778,776.974023562273,90.0646351596629,90.5839015517797,147.310827674529,65.0339477475587,93.9457540485596,69.0183500675267,1149.40910551181,1122.17782627884,1052.29333746608,1152.49048640694,1033.18122549868,1090.77948615601,1180.2108288146,1183.07646005229,1152.78086315711,1183.76362459193,1417.57676624641,1734.1613756635,995.011137810524,1321.35812342155,1296.12019312051,1008.07745004078,1066.96970651662,969.001795436435,651.170627948068,494.23581138298,872.624131516899,715.438424504956,161.777527710103,512.059107388819
,66.5,846.801043186131,1000.99008596838,700.032709897716,727.207236913953,702.935227331941,687.552922788163,454.323315360856,56.4148157828554,98.6913972613977,100.520197301545,127.993357633033,75.5547285781163,852.988423530557,458.751995753447,520.375683156324,311.57734772316,687.793879486178,710.671501688721,47.7240519262288,122.621982468797,43.670661534028,56.5677498664387,55.6787130409805,57.3692998657471,628.214129975517,617.012687819349,534.572940120913,576.867275038647,691.510287086131,674.620369270943,51.174757191859,138.556665846733,39.7358180570377,68.7482781341309,166.419538333909,46.0329143061405,778.761905486658,835.265253978476,733.238352012025,657.425697969115,787.220269409893,803.742783939567,59.4540076776094,65.5936114286932,389.185620711598,80.7343971840951,136.112123402926,126.884666712069,821.295928864784,812.566985967497,670.010799487502,738.469566828206,781.215613670722,796.151987546445,60.4452258114227,46.9095564400832,65.4033526843481,48.109718102908,200.330331109997,165.6167239969,842.73375107109,845.693877770504,809.585710456079,736.769104193719,819.874615938801,776.974023562322,90.0646351596588,90.5839015517761,147.310827674533,65.0339477475649,93.9457540485689,69.0183500675247,1149.40910551175,1122.17782627886,1052.29333746605,1152.49048640689,1033.18122549859,1090.77948615613,1180.21082881448,1183.07646005223,1152.78086315712,1183.76362459186,1417.5767662464,1734.16137566347,995.011137810518,1321.35812342154,1296.12019312055,1008.07745004086,1066.96970651651,969.001795436475,651.170627948081,494.235811383035,872.624131516852,715.438424504935,161.777527710109,512.059107388792
,67,846.801043186516,1000.99008596855,700.032709897803,727.207236913649,702.935227331977,687.552922787961,454.323315360821,56.4148157828045,98.6913972613518,100.520197301514,127.993357633014,75.5547285780006,852.988423530575,458.751995753147,520.375683156031,311.577347723267,687.793879486358,710.671501688519,47.7240519262754,122.621982468833,43.6706615340486,56.5677498663845,55.6787130411061,57.3692998656718,628.214129975974,617.012687819381,534.572940120734,576.867275039222,691.510287086222,674.620369271466,51.1747571918136,138.556665846623,39.7358180569369,68.7482781340436,166.419538333811,46.0329143060291,778.761905486258,835.26525397882,733.238352012029,657.425697969459,787.220269410544,803.7427839403,59.454007677661,65.5936114286184,389.185620711715,80.734397184081,136.112123402964,126.884666711979,821.295928864585,812.566985967726,670.010799487973,738.469566828476,781.215613670708,796.151987545755,60.4452258113579,46.909556440155,65.4033526843712,48.109718102927,200.330331109971,165.616723997067,842.733751071023,845.693877771073,809.585710456436,736.769104193414,819.874615938636,776.974023561905,90.064635159682,90.5839015518011,147.310827674508,65.033947747518,93.9457540484777,69.0183500675419,1149.40910551225,1122.17782627866,1052.29333746613,1152.49048640747,1033.18122549911,1090.77948615536,1180.21082881545,1183.07646005258,1152.78086315718,1183.76362459233,1417.5767662463,1734.16137566369,995.011137810528,1321.35812342164,1296.12019312004,1008.07745004023,1066.96970651745,969.001795436072,651.17062794805,494.235811382619,872.624131517264,715.438424505129,161.777527710083,512.05910738903
,67.5,846.931966723443,1002.03455125586,700.220960437724,727.310156929893,703.077268928561,687.183722155753,454.705342177478,56.3033633659068,98.7751655044365,100.121616244762,128.1184575281,75.6494327679604,854.127710653249,459.065615703054,520.59693151069,312.005254931254,687.624964451245,710.902869276657,47.6505470375049,122.73154013146,43.767332432541,56.5825044909035,55.6438617091769,57.5527277699896,628.689890480931,616.668448053654,534.869207587704,577.090764964369,691.173178270576,674.762922810412,51.245312376965,138.581406580006,39.6812999543782,68.7690115824125,166.473787084644,46.0678050527755,778.796808494942,834.5559960147,733.312997334165,657.58578571751,786.60375340025,803.045120409755,59.4685040071928,65.4251329004242,388.982295232551,80.7006321741919,136.265275608884,127.03114292454,820.879194143624,812.010890174143,670.413037548394,738.453936319379,780.951155986275,795.905316278812,60.5268395223775,46.9618014622375,65.3897171853789,48.034897158946,200.353773261327,165.75123809736,842.296578800933,845.168605929995,809.5967572264,736.963275519878,819.025715750105,777.053782608143,90.2006322322698,90.5898537430421,147.276088610461,65.0155901133053,94.0435456467774,69.0277685563308,1148.374602469,1120.68487965634,1052.05867585873,1151.21044007485,1032.76498162302,1089.29759879772,1179.0869746956,1181.56235335246,1149.01442140764,1181.10373157011,1416.66165810781,1735.32272923606,994.281589472311,1322.50786932866,1296.67206655986,1007.71904473902,1066.90987933397,968.251911154263,650.560555774819,494.359561634623,871.913437036415,715.572815098296,162.054971069131,512.450587653369
,68,846.264187285949,995.773252659233,698.854506657457,726.617918770158,701.942772231411,689.249317091976,452.273929923871,56.8510138867028,98.343933292233,102.622344436797,127.382875501454,75.238184539617,847.442980174325,457.089449153324,519.332445852496,309.196180971234,688.236105598719,709.236696170536,48.2154453400768,121.981705137368,43.0667583239544,56.5478018484482,56.0379134399749,56.3102228804767,625.964030667754,618.653043089955,532.702779340906,575.508530400477,692.37226542088,673.087848107035,50.7869599316622,138.34739454705,39.9771537502048,68.3746403190084,166.151057646789,45.894433751973,778.570147659983,838.815182103101,732.318252441983,656.088147537759,789.606634519138,806.275612778059,59.3769962949095,66.549344627955,389.71023141645,80.9753872399606,135.266842855626,126.161006589619,823.500951634642,815.572958356995,667.821277583694,738.183548114925,781.896973707343,796.537026498544,59.9394807568262,46.5935191542908,65.3552766012314,48.5250494003291,200.285995931764,164.92693992232,845.151503995288,848.182874729489,809.148440936162,735.402768994958,823.669587015615,776.068667994261,89.1653413272829,90.5994764247662,147.488165208741,65.1082457844183,93.4283482331309,69.0553400897953,1154.79992433104,1129.37656682293,1052.34169759382,1158.99919544186,1034.45460404651,1097.94039230538,1185.93655915833,1190.49188572921,1171.34015718076,1197.17385803567,1422.48884010045,1728.76569564929,999.022197710375,1315.7391621238,1293.71642557581,1009.92413204193,1067.13361406524,972.788241943203,653.958703244343,493.589801255675,876.14339805314,714.608134336869,160.420674268225,510.296232705397
,68.5,843.862587280147,982.183256391107,697.893217542422,725.715372057788,701.853852200096,694.807591235658,448.343388319458,59.0344512982566,96.7856641162805,107.304015942571,125.676561812503,72.965279563687,831.665494434928,453.508497734685,515.684149623392,304.952859068349,692.367775791887,707.491875282716,48.4081498782929,121.132468166923,42.491076013103,55.9166928500096,55.3467969430307,54.9826122423799,618.874606463136,623.754820123629,531.244623098661,573.701136485631,701.467330731411,675.504338594934,50.0441435777136,138.442359964893,40.9475835438195,69.5065700204585,165.391917865977,45.1899690321656,778.26224676331,847.994124062117,733.881572981428,656.860317521025,801.166187915861,820.696431982644,59.034773878032,68.1240347000207,395.068190264417,80.9230813501835,133.873739834865,124.193722305894,828.210624055629,821.245700614995,662.934059302656,740.04256779105,788.7232921752,804.122432525655,59.4091908247343,46.2386404279935,66.367316342591,49.2127726789955,199.640150296961,163.219855702422,849.46516240101,856.155774271849,810.950687405445,734.758085009833,837.21729831747,777.222943761843,88.8000011109084,90.2727113056017,147.826968104336,65.3721840119845,92.3412385483705,68.4567973844048,1166.78441766443,1150.30648382664,1061.16530536442,1174.51806599683,1044.73916257614,1118.62716101718,1199.78657300389,1211.01044820749,1222.72718782006,1231.23063654841,1432.39862502631,1710.86807457516,1006.30793233914,1299.76037579861,1284.480069593,1014.20892141464,1068.66052138548,982.226419727845,663.55044719963,492.214237129267,885.905708791895,713.862941321657,156.58782583624,504.252168428187
,69,840.687390806519,969.458727629542,698.485321505223,725.92521021325,703.497940322569,701.936388749486,444.418785880424,61.9624656754118,95.1025028836118,109.844898384396,123.857286995872,70.4237231952658,816.407110880295,451.25054893934,514.329520213943,303.639661251905,702.27543766027,710.181969961031,47.8699907214987,120.827440535019,43.2610549498997,55.7767142929602,53.5369153597109,53.3212515117386,612.267736412894,628.224784634769,532.129564605717,576.145336053961,717.345659682271,688.158263190535,49.836158213055,139.730659523944,41.4614445303215,73.7665360652927,164.944662856047,44.5292252990732,777.871135692128,856.71042686537,744.448027710933,663.968970587073,821.209543438465,843.730724168745,59.9589457206627,68.2801866880282,405.227111492934,80.7086317380691,132.218219765564,122.341571114865,831.915639406181,826.454167033378,664.612371596482,747.828433025988,802.394977173878,822.215933833097,59.9783763738973,46.1901621807939,67.115964922801,49.8098491408113,197.750556430567,162.227939595634,851.78798798718,862.525178287971,817.505666207035,740.21573245624,854.263703771211,787.74961945251,89.4296935697985,89.4558862671602,148.528187481612,66.3037950238837,91.3509146534982,67.0784042965932,1177.53939110745,1172.33791010355,1083.42559887678,1191.43813653745,1059.86863745851,1140.41648095696,1212.50534050018,1231.89406165319,1267.4767694254,1261.2387173939,1438.9904939843,1693.43961712501,1010.57747274341,1285.83497123585,1273.1087955182,1018.35768020524,1071.61444933479,991.428235105092,674.015320696337,490.726841650811,892.962087272083,714.100404076852,153.019844534433,495.61775608701
,69.5,838.098007205226,956.655301151,696.934989300951,723.24413353037,704.089230481999,710.424575755981,438.642408040648,64.377325069236,93.7277007871121,110.643410379158,122.654457509803,68.424465905087,801.628142018027,450.507169272345,517.491409238979,303.56962040907,716.521011561387,719.052521219002,47.0389925130654,120.733428409927,43.2693976503867,56.2586498231751,52.4148612057688,50.6046324297406,606.848470641997,630.602390526736,534.08393152609,581.537089182936,735.864488038392,705.881893333279,49.9755326332084,142.451161694353,42.1264783744956,81.2249126448675,164.626090298362,44.0579925513239,776.930778275158,864.747753687455,760.444022426765,674.357423904404,846.478043451921,869.182873314252,62.4807496923409,68.1925322364797,417.47467929275,81.3017081063879,130.511171702439,120.975932848695,832.748419387749,831.771986775385,672.470830224011,760.631115645914,822.439876704422,845.471780865003,61.2554112255319,47.3005866657999,67.557725251302,50.6692775627109,195.766621019011,161.486626270982,852.791409713172,864.961199182681,828.407021602543,750.628416426399,872.772883869713,804.673272900402,89.6690181432471,88.6268651358823,151.424592459113,67.7408756112543,91.04319053175,65.6401817951736,1188.19274420817,1193.64507740093,1118.63875255918,1210.73727269622,1075.42975885788,1159.77295089174,1227.3388196481,1252.75936423453,1302.21480507692,1288.39506669792,1444.71735957955,1680.16585265233,1014.58131173059,1273.55844782167,1259.51591090979,1021.00319122551,1074.27657024354,1000.30087951149,682.090652646293,488.204330237293,897.812858260467,713.322056334623,150.57128046807,486.722627653776
