,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,Chi3l3,Unkn,,80.5,4912.50892669547,75.5,84,
,A02,SYBR,Chi3l3,Unkn,,81,3853.56712775349,76.5,94.5,
,A03,SYBR,Chi3l3,Unkn,,80.5,4107.80993299275,75.5,84,
,A04,SYBR,Chi3l3,Unkn,,80.5,4090.91098242975,75.5,84,
,A05,SYBR,Chi3l3,Unkn,,80.5,4127.72291750185,75.5,84,
,A06,SYBR,Chi3l3,Unkn,,80.5,4395.16159856934,75,84,
,A07,SYBR,Retnla,Unkn,,None,None,None,None,
,A08,SYBR,Retnla,Unkn,,None,None,None,None,
,A09,SYBR,Retnla,Unkn,,None,None,None,None,
,A10,SYBR,Retnla,Unkn,,None,None,None,None,
,A11,SYBR,Retnla,Unkn,,None,None,None,None,
,A12,SYBR,Retnla,Unkn,,None,None,None,None,
,B01,SYBR,Chi3l3,Unkn,,None,None,None,None,
,B02,SYBR,Chi3l3,Unkn,,None,None,None,None,
,B03,SYBR,Chi3l3,Unkn,,None,None,None,None,
,B04,SYBR,Chi3l3,Unkn,,None,None,None,None,
,B05,SYBR,Chi3l3,Unkn,,80.5,4828.04814936345,67.5,84,
,B06,SYBR,Chi3l3,Unkn,,80.5,4665.74486629462,76,84,
,B07,SYBR,Retnla,Unkn,,None,None,None,None,
,B08,SYBR,Retnla,Unkn,,None,None,None,None,
,B09,SYBR,Retnla,Unkn,,None,None,None,None,
,B10,SYBR,Retnla,Unkn,,None,None,None,None,
,B11,SYBR,Retnla,Unkn,,None,None,None,None,
,B12,SYBR,Retnla,Unkn,,None,None,None,None,
,C01,SYBR,Chi3l3,Unkn,,None,None,None,None,
,C02,SYBR,Chi3l3,Unkn,,80.5,3410.0061993159,76,84,
,C03,SYBR,Chi3l3,Unkn,,None,None,None,None,
,C04,SYBR,Chi3l3,Unkn,,None,None,None,None,
,C05,SYBR,Chi3l3,Unkn,,80.5,4657.33694907586,75.5,84,
,C06,SYBR,Chi3l3,Unkn,,80.5,4516.27633185729,68,84,
,C07,SYBR,Retnla,Unkn,,None,None,None,None,
,C08,SYBR,Retnla,Unkn,,None,None,None,None,
,C09,SYBR,Retnla,Unkn,,None,None,None,None,
,C10,SYBR,Retnla,Unkn,,None,None,None,None,
,C11,SYBR,Retnla,Unkn,,None,None,None,None,
,C12,SYBR,Retnla,Unkn,,None,None,None,None,
,D01,SYBR,Chi3l3,Unkn,,80.5,4407.38437825603,75.5,84,
,D02,SYBR,Chi3l3,Unkn,,80.5,5301.23341178731,75.5,84,
,D03,SYBR,Chi3l3,Unkn,,80.5,4898.83420298186,68,84,
,D04,SYBR,Chi3l3,Unkn,,80.5,3890.84107986246,75.5,84,
,D05,SYBR,Chi3l3,Unkn,,80.5,5648.58721327281,67.5,84,
,D06,SYBR,Chi3l3,Unkn,,80.5,5694.5937987581,67.5,84,
,D07,SYBR,Retnla,Unkn,,None,None,None,None,
,D08,SYBR,Retnla,Unkn,,None,None,None,None,
,D09,SYBR,Retnla,Unkn,,None,None,None,None,
,D10,SYBR,Retnla,Unkn,,None,None,None,None,
,D11,SYBR,Retnla,Unkn,,None,None,None,None,
,D12,SYBR,Retnla,Unkn,,None,None,None,None,
,E01,SYBR,Chi3l3,Unkn,,80.5,4940.08383762296,76,84,
,E02,SYBR,Chi3l3,Unkn,,80.5,5003.24495421542,75,84,
,E03,SYBR,Chi3l3,Unkn,,80.5,3732.85090080743,75.5,84,
,E04,SYBR,Chi3l3,Unkn,,80.5,4775.3612293269,76.5,84,
,E05,SYBR,Chi3l3,Unkn,,80.5,5458.81690663207,67.5,84,
,E06,SYBR,Chi3l3,Unkn,,80.5,5512.4346093798,67.5,84,
,E07,SYBR,Retnla,Unkn,,None,None,None,None,
,E08,SYBR,Retnla,Unkn,,None,None,None,None,
,E09,SYBR,Retnla,Unkn,,None,None,None,None,
,E10,SYBR,Retnla,Unkn,,None,None,None,None,
,E11,SYBR,Retnla,Unkn,,None,None,None,None,
,E12,SYBR,Retnla,Unkn,,None,None,None,None,
,F01,SYBR,Chi3l3,Unkn,,80.5,5028.88377832778,75.5,84,
,F02,SYBR,Chi3l3,Unkn,,80.5,5484.71652160774,71.5,84,
,F03,SYBR,Chi3l3,Unkn,,80.5,4894.23045437221,73.5,84,
,F04,SYBR,Chi3l3,Unkn,,80.5,4787.870442304,75.5,84,
,F05,SYBR,Chi3l3,Unkn,,80.5,5498.72124965796,75,84,
,F06,SYBR,Chi3l3,Unkn,,80.5,5397.46545595099,68,84,
,F07,SYBR,Retnla,Unkn,,None,None,None,None,
,F08,SYBR,Retnla,Unkn,,None,None,None,None,
,F09,SYBR,Retnla,Unkn,,None,None,None,None,
,F10,SYBR,Retnla,Unkn,,None,None,None,None,
,F11,SYBR,Retnla,Unkn,,None,None,None,None,
,F12,SYBR,Retnla,Unkn,,None,None,None,None,
,G01,SYBR,Chi3l3,Unkn,,80.5,8760.48868353911,74.5,87,
,G02,SYBR,Chi3l3,Unkn,,80.5,8943.40444539836,72.5,86.5,
,G03,SYBR,Chi3l3,Unkn,,80.5,8967.98532005913,73,94,
,G04,SYBR,Chi3l3,Unkn,,80.5,8943.53804783884,67.5,92,
,G05,SYBR,Chi3l3,Unkn,,80.5,7937.01116744587,74.5,93,
,G06,SYBR,Chi3l3,Unkn,,80.5,9061.85388051777,67.5,94,
,G07,SYBR,Retnla,Unkn,,83.5,7628.32910666953,76.5,87,
,G08,SYBR,Retnla,Unkn,,83.5,7805.73223508666,77,87,
,G09,SYBR,Retnla,Unkn,,83.5,8088.73814639311,77,87,
,G10,SYBR,Retnla,Unkn,,83.5,7875.25803922772,76.5,87,
,G11,SYBR,Retnla,Unkn,,83.5,8332.48794801417,77,87,
,G12,SYBR,Retnla,Unkn,,84,7061.41516400185,77.5,95,
,H01,SYBR,Chi3l3,Unkn,,80.5,6405.35327586986,75,84,
,H02,SYBR,Chi3l3,Unkn,,81,5696.05376615054,76,95,
,H03,SYBR,Chi3l3,Unkn,,81,5805.50535844492,76,94,
,H04,SYBR,Chi3l3,Unkn,,80.5,6304.49606692075,73,84,
,H05,SYBR,Chi3l3,Unkn,,80.5,6411.31549725911,75.5,87,
,H06,SYBR,Chi3l3,Unkn,,80.5,6261.96376441556,75.5,84,
,H07,SYBR,Retnla,Unkn,,None,None,None,None,
,H08,SYBR,Retnla,Unkn,,None,None,None,None,
,H09,SYBR,Retnla,Unkn,,83.5,3760.38945553893,76.5,87,
,H10,SYBR,Retnla,Unkn,,None,None,None,None,
,H11,SYBR,Retnla,Unkn,,None,None,None,None,
,H12,SYBR,Retnla,Unkn,,None,None,None,None,
