,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,31154.7987959565,31084.8678890346,27112.7126229707,26880.7107084256,26831.7597428317,28260.2650715682,16066.1911458723,6078.34260811225,6801.1318762924,7258.09245657877,7184.86263333508,6121.18976076042,25263.9204302119,17981.6234352386,20084.8951601555,13053.9341003692,30265.7707660982,29620.6792697498,5594.91866316771,7813.02687496855,5664.98088755256,5955.61273745692,5982.49728852364,6769.89219218782,21925.3367211666,23800.2186206704,20849.312297248,22761.8828761845,29590.6963285422,28699.4212356788,6020.91331642107,8414.71738315892,6073.53581522567,6368.40526729946,8772.6343016526,5406.24341656623,28814.8023931219,33038.8059041076,31366.961879653,26306.2256499103,34254.0492091502,34824.3223675303,6030.4277908558,6102.99290352057,18185.4124192681,6503.56403272138,7508.74184390856,7519.09703275691,31503.3831178254,31631.9488715117,25453.4415268956,30485.1902513304,33601.3933413906,34142.5493721598,6329.26996551776,5703.64352506436,6286.52333438888,5635.55781571448,9427.52290007564,8442.21373090725,32054.2476461067,33941.3126950503,31942.1249222459,30322.0823966241,34282.8927275872,33077.9692698264,6886.41058073211,6742.9865415999,8931.96420889172,6175.12758738539,6975.88777954773,6095.41935544991,48758.4650740799,49865.8765417583,49545.0029899287,49906.7750385944,44920.861147804,49601.6257197739,51568.7015377967,52708.046384916,55115.700890782,53435.3009338278,57505.4288392393,57891.0349070291,38743.8932222671,40599.5477528604,40463.3822264754,38431.112718655,39478.781063435,38116.2595544635,24218.0463090501,18042.011122082,32566.3177459024,24626.2657388952,8490.88671546129,16960.7853219028
,65.5,30731.3982743634,30584.3728460504,26762.6962680219,26517.1070899686,26480.2921291658,27916.4886101741,15839.0294881919,6050.13520022083,6751.7861776617,7207.832357928,7120.86595451856,6083.41239647137,24837.4262184466,17752.2474373619,19824.7073185774,12898.1454265076,29921.8738263551,29265.3435189055,5571.0566372046,7751.71588373415,5643.14555678555,5927.32886252371,5954.65793200314,6741.20754225495,21611.2296561788,23491.7122767607,20582.0258271875,22473.4492386651,29244.9411849992,28362.1110510433,5995.32593782515,8345.43905023556,6053.66790619715,6334.0311282324,8689.42453248565,5383.22695941317,28425.4214403786,32621.1732771184,31000.342703647,25977.5128009258,33860.4390744452,34422.4509755605,6000.70078701699,6070.19609780623,17990.8196089123,6463.19683412934,7440.68578220709,7455.65469940088,31092.7351533931,31225.665378528,25118.4361271518,30115.9554679163,33210.7855345552,33744.4733783867,6299.04735261205,5680.18874684432,6253.82165804671,5611.50295666302,9327.35773452065,8359.40536890879,31632.8807705711,33518.4657561651,31537.3320670179,29953.6978445272,33872.9554196178,32689.4822580453,6841.37826315227,6697.69459082401,8858.30879505445,6142.61061351161,6928.91490252345,6060.91018041615,48183.760521324,49304.7876286188,49018.8563211957,49330.5297953909,44404.2705350547,49056.2359766959,50978.5961233894,52116.5081548899,54539.3104592035,52843.4191215319,56796.6404561161,57023.9542191974,38246.3876533618,39938.8686911496,39815.3221299151,37927.0739936346,38945.2962101767,37631.7586567453,23892.4609950761,17794.8932163905,32130.005680144,24268.5465266427,8409.99795160623,16704.7557682084
,66,30307.9977527704,30083.8778030662,26412.679913073,26153.5034715117,26128.8245154998,27572.71214878,15611.8678305114,6021.9277923294,6702.44047903101,7157.57225927723,7056.86927570205,6045.63503218232,24410.9320066813,17522.8714394852,19564.5194769992,12742.356752646,29577.976886612,28910.0077680611,5547.19461124148,7690.40489249975,5621.31022601853,5899.04498759049,5926.81857548265,6712.52289232208,21297.122591191,23183.205932851,20314.7393571271,22185.0156011457,28899.1860414561,28024.8008664078,5969.73855922922,8276.1607173122,6033.79999716864,6299.65698916534,8606.21476331871,5360.2105022601,28036.0404876353,32203.5406501291,30633.7235276409,25648.7999519412,33466.8289397402,34020.5795835907,5970.97378317818,6037.39929209189,17796.2267985565,6422.82963553729,7372.62972050563,7392.21236604485,30682.0871889607,30819.3818855442,24783.430727408,29746.7206845022,32820.1777277198,33346.3973846135,6268.82473970634,5656.73396862427,6221.11998170453,5587.44809761156,9227.19256896565,8276.59700691033,31211.5138950356,33095.6188172798,31132.5392117898,29585.3132924304,33463.0181116484,32300.9952462641,6796.34594557244,6652.40264004812,8784.65338121719,6110.09363963783,6881.94202549917,6026.40100538238,47609.0559685681,48743.6987154794,48492.7096524626,48754.2845521875,43887.6799223054,48510.8462336179,50388.4907089821,51524.9699248638,53962.9200276249,52251.5373092359,56087.8520729929,56156.8735313656,37748.8820844565,39278.1896294388,39167.2620333549,37423.0352686142,38411.8113569184,37147.2577590271,23566.8756811021,17547.775310699,31693.6936143855,23910.8273143902,8329.10918775118,16448.726214514
,66.5,29884.5972311773,29583.382760082,26062.6635581241,25789.8998530547,25777.3569018338,27228.935687386,15384.706172831,5993.72038443798,6653.09478040031,7107.31216062646,6992.87259688553,6007.85766789327,23984.437794916,17293.4954416085,19304.3316354211,12586.5680787844,29234.0799468689,28554.6720172168,5523.33258527836,7629.09390126535,5599.47489525152,5870.76111265728,5898.97921896215,6683.83824238921,20983.0155262032,22874.6995889413,20047.4528870667,21896.5819636264,28553.430897913,27687.4906817723,5944.15118063329,8206.88238438884,6013.93208814013,6265.28285009828,8523.00499415176,5337.19404510704,27646.659534892,31785.9080231398,30267.1043516349,25320.0871029566,33073.2188050352,33618.7081916209,5941.24677933937,6004.60248637755,17601.6339882007,6382.46243694524,7304.57365880416,7328.77003268882,30271.4392245283,30413.0983925604,24448.4253276642,29377.4859010881,32429.5699208845,32948.3213908403,6238.60212680063,5633.27919040422,6188.41830536236,5563.39323856011,9127.02740341065,8193.78864491187,30790.1470195001,32672.7718783945,30727.7463565618,29216.9287403336,33053.080803679,31912.508234483,6751.31362799261,6607.11068927223,8710.99796737992,6077.57666576405,6834.96914847489,5991.89183034862,47034.3514158122,48182.60980234,47966.5629837296,48178.039308984,43371.089309556,47965.4564905399,49798.3852945748,50933.4316948376,53386.5295960463,51659.6554969399,55379.0636898696,55289.7928435338,37251.3765155513,38617.510567728,38519.2019367946,36918.9965435938,37878.3265036601,36662.7568613089,23241.290367128,17300.6574050075,31257.3815486271,23553.1081021377,8248.22042389613,16192.6966608196
,67,29461.1967095842,29082.8877170978,25712.6472031753,25426.2962345978,25425.8892881678,26885.1592259919,15157.5445151506,5965.51297654655,6603.74908176961,7057.05206197568,6928.87591806902,5970.08030360422,23557.9435831508,17064.1194437318,19044.1437938429,12430.7794049228,28890.1830071258,28199.3362663724,5499.47055931524,7567.78291003095,5577.6395644845,5842.47723772406,5871.13986244165,6655.15359245634,20668.9084612154,22566.1932450316,19780.1664170062,21608.148326107,28207.67575437,27350.1804971368,5918.56380203737,8137.60405146548,5994.06417911162,6230.90871103122,8439.79522498481,5314.17758795398,27257.2785821487,31368.2753961506,29900.4851756289,24991.374253972,32679.6086703302,33216.836799651,5911.51977550056,5971.8056806632,17407.0411778448,6342.0952383532,7236.5175971027,7265.32769933279,29860.7912600959,30006.8148995767,24113.4199279205,29008.251117674,32038.9621140491,32550.2453970671,6208.37951389493,5609.82441218418,6155.71662902018,5539.33837950865,9026.86223785565,8110.98028291341,30368.7801439645,32249.9249395092,30322.9535013337,28848.5441882367,32643.1434957096,31524.0212227018,6706.28131041278,6561.81873849634,8637.34255354266,6045.05969189027,6787.99627145062,5957.38265531485,46459.6468630563,47621.5208892006,47440.4163149965,47601.7940657805,42854.4986968067,47420.0667474619,49208.2798801675,50341.8934648115,52810.1391644677,51067.773684644,54670.2753067465,54422.7121557021,36753.870946646,37956.8315060172,37871.1418402344,36414.9578185734,37344.8416504017,36178.2559635906,22915.705053154,17053.539499316,30821.0694828686,23195.3888898853,8167.33166004108,15936.6671071252
,67.5,29037.7961879908,28582.3926741135,25362.6308482263,25062.692616141,25074.4216745018,26541.382764598,14930.3828574702,5937.30556865516,6554.40338313895,7006.79196332494,6864.87923925251,5932.30293931525,23131.4493713855,16834.7434458553,18783.955952265,12274.9907310612,28546.2860673826,27844.0005155282,5475.60853335209,7506.47191879652,5555.80423371747,5814.19336279088,5843.30050592106,6626.46894252353,20354.8013962273,22257.6869011219,19512.8799469459,21319.7146885872,27861.9206108268,27012.8703125009,5892.97642344147,8068.3257185422,5974.19627008318,6196.53457196422,8356.58545581794,5291.161130801,26867.8976294057,30950.6427691611,29533.8659996229,24662.6614049872,32285.9985356248,32814.9654076806,5881.79277166172,5939.00887494892,17212.4483674889,6301.72803976116,7168.4615354012,7201.88536597683,29450.1432956637,29600.5314065927,23778.4145281763,28639.0163342596,31648.3543072138,32152.1694032945,6178.15690098927,5586.36963396408,6123.01495267799,5515.28352045718,8926.69707230067,8028.17192091482,29947.413268429,31827.0780006235,29918.1606461054,28480.1596361401,32233.2061877404,31135.534210921,6661.24899283293,6516.52678772043,8563.68713970541,6012.54271801652,6741.0233944264,5922.87348028108,45884.9423103,47060.4319760613,46914.2696462634,47025.5488225766,42337.908084057,46874.6770043844,48618.1744657594,49750.3552347851,52233.7487328891,50475.8918723477,53961.4869236233,53555.6314678702,36256.3653777407,37296.1524443064,37223.0817436745,35910.9190935535,36811.3567971427,35693.7550658727,22590.11973918,16806.4215936249,30384.7574171099,22837.6696776326,8086.44289618604,15680.6375534306
,68,28614.3956663977,28081.8976311293,25012.6144932775,24699.0889976841,24722.9540608359,26197.6063032039,14703.2211997898,5909.09816076374,6505.05768450826,6956.53186467417,6800.882560436,5894.5255750262,22704.9551596202,16605.3674479786,18523.7681106869,12119.2020571996,28202.3891276395,27488.6647646839,5451.74650738898,7445.16092756212,5533.96890295045,5785.90948785767,5815.46114940056,6597.78429259066,20040.6943312395,21949.1805572123,19245.5934768855,21031.2810510679,27516.1654672837,26675.5601278654,5867.38904484555,7999.04738561884,5954.32836105467,6162.16043289716,8273.37568665099,5268.14467364793,26478.5166766624,30533.0101421718,29167.2468236169,24333.9485560026,31892.3884009198,32413.0940157108,5852.06576782291,5906.21206923458,17017.8555571331,6261.36084116911,7100.40547369974,7138.4430326208,29039.4953312313,29194.247913609,23443.4091284325,28269.7815508455,31257.7465003784,31754.0934095213,6147.93428808356,5562.91485574403,6090.31327633581,5491.22866140573,8826.53190674568,7945.36355891636,29526.0463928935,31404.2310617382,29513.3677908773,28111.7750840433,31823.268879771,30747.0471991399,6616.2166752531,6471.23483694454,8490.03172586814,5980.02574414274,6694.05051740212,5888.36430524731,45310.2377575441,46499.3430629219,46388.1229775304,46449.3035793731,41821.3174713076,46329.2872613064,48028.0690513521,49158.817004759,51657.3583013106,49884.0100600517,53252.6985405001,52688.5507800384,35758.8598088355,36635.4733825956,36575.0216471143,35406.8803685331,36277.8719438844,35209.2541681545,22264.5344252059,16559.3036879334,29948.4453513514,22479.9504653802,8005.55413233099,15424.6079997362
,68.5,28191.7806860262,27587.6693798689,24663.7276415681,24336.1028993246,24372.3386967494,25851.6146380167,14478.3517030093,5880.22203837092,6456.21459533607,6903.88027968289,6737.63648099,5857.31643587691,22285.2966705909,16377.8731698013,18264.9077592367,11965.9808265859,27857.4786976857,27134.7172193684,5427.44345209324,7384.50728230348,5512.71359757439,5757.71414067156,5787.41268488848,6570.20021008369,19729.4418292815,21638.6087747082,18980.0846116269,20744.1883530994,27168.3876708468,26339.1052644637,5842.22499736053,7929.91749709577,5934.13334341081,6127.91069452031,8190.49140998905,5245.33756097535,26089.3451419712,30111.1219673979,28801.0755195437,24006.1962335064,31495.0791701531,32007.0366425577,5822.42574196129,5872.40439235107,16822.0427939023,6220.79105251775,7033.26832523378,7075.87955654013,28626.3469584731,28784.6278458637,23110.8171570513,27900.4529843769,30865.5519474365,31354.5373881465,6118.20135744398,5539.77354765648,6057.52978699969,5466.72487669039,8726.50739409881,7863.36228151965,29102.0564837374,30978.2324918065,29108.641216269,27744.5555599052,31408.2381706704,30359.0387416361,6572.00034010879,6425.97859931609,8416.16787764659,5947.39862446369,6647.66438996763,5853.91164114628,44729.3261865286,45929.2964700485,45860.5683391528,45865.3780581739,41302.2293953017,45775.0061940827,47431.2205122257,48558.1941345321,51058.3692192348,49276.1688896224,52538.419508546,51828.4382136409,35256.9769499008,35981.6927963269,35930.2727911928,34900.6912117055,35744.0281275252,34720.2539647453,21935.2886781925,16312.9282837539,29507.8691187079,22123.0375966867,7926.33002863024,15170.9273276278
,69,27770.657817583,27099.7408790967,24314.5485898544,23973.2860126871,24020.8820995371,25502.5101158932,14254.9388590066,5849.95081759285,6408.30237909994,6849.4926594601,6675.23110497761,5821.61738333519,21873.3798578404,16151.6939302199,18007.7529247315,11813.8772549484,27509.1406831432,26780.4900741173,5403.44258128492,7323.95604891081,5491.31502528359,5729.93027186019,5760.26477482092,6542.86507022052,19421.8161096554,21325.4864922614,18714.0204104995,20456.9888246072,26813.6458270553,25998.5872014811,5817.27415297979,7860.42264717635,5913.42368823387,6092.16553339401,8107.94920423443,5222.95563186066,25700.2795686326,29685.0000746636,28432.0708496472,23676.1817673522,31089.8935536716,31591.0603553361,5792.84551566662,5838.26588764815,16622.0579776505,6180.45166384565,6966.5729728971,7014.24726337696,28211.4262723796,28373.0241638863,22779.5686244224,27528.8456073013,30467.9250780749,30948.4114348745,6088.37205007361,5516.61683664914,6023.96696320116,5442.01952577625,8627.06078783131,7782.06480728602,28676.8348904034,30548.2581173501,28701.6887082599,27376.1281923273,30985.4168812435,29968.4694763884,6527.28413658332,6381.03008981024,8342.11744832455,5914.55641817408,6601.69432517923,5820.01998277528,44143.5174188712,45348.6962420356,45324.8560436748,45274.4231232106,40775.7968110438,45210.3426188803,46828.2676068475,47947.5559771632,50435.1439983174,48653.0329710563,51820.6690267304,50977.7602957636,34752.8967101891,35335.5892949243,35290.9687738356,34392.679556041,35209.0139778535,34226.976606231,21600.8087847206,16067.1318278824,29062.8234839716,21765.981048339,7848.95276520402,14920.7626969355
,69.5,27351.0689211544,26618.2381961992,23965.4629260964,23610.5609685124,23668.9690973124,25149.458813526,14034.1844611219,5818.33353107757,6361.07492457012,6794.30241726785,6613.72696646042,5786.8290831693,21468.8399237568,15926.4062901943,17749.9393623626,11662.1094674615,27154.5051661637,26423.5542426923,5379.62602378944,7263.62769858761,5469.51966846121,5701.8597919111,5733.81029094218,6517.01083701665,19117.023262333,21010.6633022568,18447.7631544505,20167.5836958159,26450.5674733874,25650.1129329965,5792.32214998167,7789.98197079164,5892.64438877974,6053.61479606173,8025.52510368135,5200.78861069577,25311.5742457472,29254.5269734679,28055.7476457539,23341.6890009099,30673.0368851347,31162.8747165787,5762.23939767962,5804.18363045763,16416.4768732144,6139.99310927455,6901.04396798932,6953.4815458615,27794.854569184,27958.2156125016,22445.2948519112,27151.784192652,30062.1226818373,30531.4482012744,6058.11414185808,5493.41732377295,5990.4483456563,5416.8870714953,8528.76902276756,7701.10104208666,28250.5122229144,30116.2290911497,28290.4321095992,27003.5330124713,30553.6939894251,29570.2500914803,6482.58869014019,6336.52507847968,8267.33472798265,5881.02121433908,6556.22128793348,5786.85968481124,43551.8861069039,44757.0963119312,44775.1260076053,44673.6135692573,40242.177777403,44634.8828310786,46218.4823477459,47326.3297032637,49792.3974358641,48015.4589796749,51099.6425636232,50134.5160411226,34246.508182605,34695.6419977278,34657.5391750036,33882.5661221044,34672.4561972087,33728.8930888519,21261.6172984954,15822.3321359923,28615.2167308232,21409.0919892337,7773.15891418774,14675.3881415944
