,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,Chi3l3,Unkn,,80.5
,A02,SYBR,Chi3l3,Unkn,,81
,A03,SYBR,Chi3l3,Unkn,,80.5
,A04,SYBR,Chi3l3,Unkn,,80.5
,A05,SYBR,Chi3l3,Unkn,,80.5
,A06,SYBR,Chi3l3,Unkn,,80.5
,A07,SYBR,Retnla,Unkn,,None
,A08,SYBR,Retnla,Unkn,,None
,A09,SYBR,Retnla,Unkn,,None
,A10,SYBR,Retnla,Unkn,,None
,A11,SYBR,Retnla,Unkn,,None
,A12,SYBR,Retnla,Unkn,,None
,B01,SYBR,Chi3l3,Unkn,,None
,B02,SYBR,Chi3l3,Unkn,,None
,B03,SYBR,Chi3l3,Unkn,,None
,B04,SYBR,Chi3l3,Unkn,,None
,B05,SYBR,Chi3l3,Unkn,,80.5
,B06,SYBR,Chi3l3,Unkn,,80.5
,B07,SYBR,Retnla,Unkn,,None
,B08,SYBR,Retnla,Unkn,,None
,B09,SYBR,Retnla,Unkn,,None
,B10,SYBR,Retnla,Unkn,,None
,B11,SYBR,Retnla,Unkn,,None
,B12,SYBR,Retnla,Unkn,,None
,C01,SYBR,Chi3l3,Unkn,,None
,C02,SYBR,Chi3l3,Unkn,,80.5
,C03,SYBR,Chi3l3,Unkn,,None
,C04,SYBR,Chi3l3,Unkn,,None
,C05,SYBR,Chi3l3,Unkn,,80.5
,C06,SYBR,Chi3l3,Unkn,,80.5
,C07,SYBR,Retnla,Unkn,,None
,C08,SYBR,Retnla,Unkn,,None
,C09,SYBR,Retnla,Unkn,,None
,C10,SYBR,Retnla,Unkn,,None
,C11,SYBR,Retnla,Unkn,,None
,C12,SYBR,Retnla,Unkn,,None
,D01,SYBR,Chi3l3,Unkn,,80.5
,D02,SYBR,Chi3l3,Unkn,,80.5
,D03,SYBR,Chi3l3,Unkn,,80.5
,D04,SYBR,Chi3l3,Unkn,,80.5
,D05,SYBR,Chi3l3,Unkn,,80.5
,D06,SYBR,Chi3l3,Unkn,,80.5
,D07,SYBR,Retnla,Unkn,,None
,D08,SYBR,Retnla,Unkn,,None
,D09,SYBR,Retnla,Unkn,,None
,D10,SYBR,Retnla,Unkn,,None
,D11,SYBR,Retnla,Unkn,,None
,D12,SYBR,Retnla,Unkn,,None
,E01,SYBR,Chi3l3,Unkn,,80.5
,E02,SYBR,Chi3l3,Unkn,,80.5
,E03,SYBR,Chi3l3,Unkn,,80.5
,E04,SYBR,Chi3l3,Unkn,,80.5
,E05,SYBR,Chi3l3,Unkn,,80.5
,E06,SYBR,Chi3l3,Unkn,,80.5
,E07,SYBR,Retnla,Unkn,,None
,E08,SYBR,Retnla,Unkn,,None
,E09,SYBR,Retnla,Unkn,,None
,E10,SYBR,Retnla,Unkn,,None
,E11,SYBR,Retnla,Unkn,,None
,E12,SYBR,Retnla,Unkn,,None
,F01,SYBR,Chi3l3,Unkn,,80.5
,F02,SYBR,Chi3l3,Unkn,,80.5
,F03,SYBR,Chi3l3,Unkn,,80.5
,F04,SYBR,Chi3l3,Unkn,,80.5
,F05,SYBR,Chi3l3,Unkn,,80.5
,F06,SYBR,Chi3l3,Unkn,,80.5
,F07,SYBR,Retnla,Unkn,,None
,F08,SYBR,Retnla,Unkn,,None
,F09,SYBR,Retnla,Unkn,,None
,F10,SYBR,Retnla,Unkn,,None
,F11,SYBR,Retnla,Unkn,,None
,F12,SYBR,Retnla,Unkn,,None
,G01,SYBR,Chi3l3,Unkn,,80.5
,G02,SYBR,Chi3l3,Unkn,,80.5
,G03,SYBR,Chi3l3,Unkn,,80.5
,G04,SYBR,Chi3l3,Unkn,,80.5
,G05,SYBR,Chi3l3,Unkn,,80.5
,G06,SYBR,Chi3l3,Unkn,,80.5
,G07,SYBR,Retnla,Unkn,,83.5
,G08,SYBR,Retnla,Unkn,,83.5
,G09,SYBR,Retnla,Unkn,,83.5
,G10,SYBR,Retnla,Unkn,,83.5
,G11,SYBR,Retnla,Unkn,,83.5
,G12,SYBR,Retnla,Unkn,,84
,H01,SYBR,Chi3l3,Unkn,,80.5
,H02,SYBR,Chi3l3,Unkn,,81
,H03,SYBR,Chi3l3,Unkn,,81
,H04,SYBR,Chi3l3,Unkn,,80.5
,H05,SYBR,Chi3l3,Unkn,,80.5
,H06,SYBR,Chi3l3,Unkn,,80.5
,H07,SYBR,Retnla,Unkn,,None
,H08,SYBR,Retnla,Unkn,,None
,H09,SYBR,Retnla,Unkn,,83.5
,H10,SYBR,Retnla,Unkn,,None
,H11,SYBR,Retnla,Unkn,,None
,H12,SYBR,Retnla,Unkn,,None
