,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-62.4816279177558,-88.6712695868009,-174.536961898218,-81.7070666263089,-123.930494855679,-179.956382068315,-90.6245236187397,-202.289235444897,-72.8289143145312,-98.26357151517,-95.2452263909181,-197.608896407325,-109.673162164946,-48.8271774636332,-112.027259839453,-116.46048187077,-157.934315931179,-84.3434243804168,-55.8150304427327,-74.8859568524895,-100.43680434322,-66.8392506209702,-323.807306199286,-40.3081593572351,-20.8774047223988,-560.765797318968,-100.445508769412,-83.8291626585251,-121.622582957233,-86.7343196700613,-62.5928156803056,-66.2420361747236,-69.8886941590017,-66.8970961054165,-238.711129485677,-87.9441092242487,-91.3827695751088,-86.0822796404182,-129.002158395942,-115.145219108808,-138.780734923613,-152.783827663473,-111.256134822981,-137.088286806936,-84.6566734591397,-68.3822007222016,-427.076938054982,-163.755611126123,-68.120288500395,-8.22261580132454,-94.0904546286647,-92.6313315931502,-132.336499945654,-151.652024531368,-64.455509138601,-60.5975939865393,-61.0885198251872,-110.243133475155,-75.7436605953335,-152.130723300781,-101.770325660078,-16.8758801265903,-97.6573761934796,-89.8495456028495,-67.058208237152,-109.171537595853,-73.8466519338017,-123.964511575972,-88.7492138295729,-74.1661977872209,-90.0110386284932,-167.350395292001,-76.3568101950732,-4.13293863613671,-114.073405214058,-119.724017822631,-60.8625619289078,-14.0940745728894,31.7422303206276,-141.78391044066,-65.8395745960133,-22.4847479135378,-25.4744027275528,-118.776179352752,-39.9696694813292,-87.0850580758515,-71.9585386625167,-49.5676916450648,-301.489790982018,-109.615841462298,-93.2574505039483,-57.9053087144193,-58.6869817658226,-107.546663329255,-193.862715105896,-135.724395906769
,2,2.65563319205012,-85.5703568618501,-117.043375953764,-55.5217666008302,-56.8928720587901,-136.938075379229,-42.7915925841316,-147.166262435459,-33.9199460923164,-80.8605195767386,-54.6059158015814,-15.6279999489379,-93.2366192131994,-29.5513578151849,-63.582633633494,-66.1288904144121,-144.242644931205,-61.5809086367963,-40.3132503978995,-57.8208519773489,-63.9034322506323,-48.483763565966,-279.349823773485,-11.4740088893595,-0.334988965747471,4.91694512275535,-61.7425483500701,-32.0286295624874,-78.9266995238613,-46.3879631355994,-31.37037020764,-40.0885520039856,-34.6410370696676,-20.3924171174876,-171.583964941296,-42.6606071838396,-53.1075124360923,-56.7877791338751,-73.6151301376158,-77.4501022454679,-106.172285373374,-97.3258874016174,-65.4859856083822,-99.6027446937942,-44.6750827450869,-49.0804364789319,-320.580048430327,-110.763419965991,-24.345427969256,1.94413278088086,-47.5501927335326,-46.0708642798336,-87.2659615415832,-103.626091435125,-40.1944090402376,-35.5329213688747,-47.8865189880771,-78.6207761605556,-43.6043639279278,-86.2282923396315,-65.3992028936755,4.19819623306103,-35.4855516417119,-50.670576199791,-46.2289503967058,-66.0404469584546,-40.9733791400613,-99.8294402027832,-29.0769301405498,-41.6109516641627,-61.0879982062188,-115.795662694123,-35.7591721632962,6.44635931886114,12.8678864702188,-22.6546130277793,-16.5573310997379,-10.7438407410073,23.2309015681367,5.51398112624065,-34.9137831912585,-9.76573637448837,18.7625633248672,-91.7097276926797,-29.188862600914,-95.3331193010317,-58.5774709112402,-27.1694267115836,-230.377169687273,-115.365150304089,-82.7155193766048,-41.0159407452047,-15.0855951160265,-43.3703182099453,-45.639256472854,-113.617836179376
,3,1.32467388165151,-85.8583977385388,-93.7494111369087,-39.8559970226215,-55.6010144805787,-46.4403048318791,-29.5379031357588,-81.2079381371141,-24.1093491370102,-30.8324202469112,-34.3869906020273,17.7171791103074,-92.4710339243693,-21.1740858301728,-36.464083117763,-50.2320878045393,-141.096677044073,-32.8234594326314,-34.1711751503481,-38.4500198522273,-55.9399355651167,-38.4071029379584,4.24789277712898,-22.6826720313447,0.221626735782593,-17.8641618055417,-51.0207781266427,-12.4555932325566,-57.78097840183,-21.5830845450728,-25.5870480194981,-36.322826562965,-26.0711171189178,-11.9403570899012,-120.559428635959,-38.1078753967959,-33.0172339103747,-33.3978309202466,-30.9217197132402,-33.8407023419959,-59.0772191388478,-42.9111620565345,-52.5067258353802,-66.4540767215549,-17.3558424165576,-38.5360491943102,-273.029018239115,-68.1615615345809,-11.1284163543751,-2.73495248437393,-41.7462248147622,-24.0465992860582,-21.6613797343143,-40.1813944706228,-18.1406331429434,-14.4630344765765,-22.2965930686041,-41.4324888600013,-31.5317239912683,-59.7341532412702,-36.104110721486,-13.2171820389804,-0.642381400632075,-22.5764336414577,-29.9520057051741,-44.8039014579726,-18.4471079885525,-38.6391105592811,-24.4721065587009,-18.953799344994,-45.8839591586147,-64.8202873276505,4.88621759382931,25.984972035365,26.3427313023067,11.806550816671,11.3430155419137,25.9850069821141,36.8227243364663,31.0511976986918,11.1962222713682,-11.5519742545594,21.4125096671678,49.4120237399256,-13.3877949844491,-96.5269019962925,-62.2164076864219,-14.1755013307929,-192.559700901026,-215.104632350851,-12.7547095767241,-35.9854237597892,-9.1184332794146,-24.3113331250179,-4.61736164138711,-79.9414911349559
,4,0.539893226959066,18.2095911003871,-58.7996057176551,0.916502577153551,-10.1335814440572,-5.91258680291958,-8.89100727656569,-49.2756495155218,-8.27288747707826,8.90069652710099,-5.61571639056365,30.267842533136,15.0519160016074,-5.85006153200538,-31.2733051721052,-21.3021684523292,16.1725987766258,-2.60085086959862,-12.7889448390442,-16.7394806955535,-25.9645138837313,-14.4852144938322,27.6843468238249,-3.29513784531719,12.5638369789394,12.2175873657734,-11.4440843205184,0.849859406829637,-28.7789243587322,1.977523811629,-2.50013406862217,-24.2739773749008,-7.26672173909719,-3.82674819041222,-61.3573549206367,-11.215841165792,-6.2421658353569,0.610017447876999,0.0949389183770109,-5.16074578114421,-13.8655887841223,-3.08140895404449,-15.4372658373331,-28.0688567087836,-1.36511173788313,-11.2214681205669,-188.593120570809,-36.8074765820029,8.0639537449706,14.6303656237378,-15.7246820576202,10.6457815224421,12.5695486727018,5.20929270532179,-7.35133638124898,-1.08395596609898,6.46450506232759,-23.3621021233294,-1.9389788093149,-27.1321075306396,-5.33998617784346,23.2990689762328,8.84972041177571,9.27081550657203,1.89033776522592,-1.29784953487524,11.9327231079887,-22.8609519050688,-5.0553710767972,4.32264535939703,-10.2084930999763,-23.0028186836371,33.4872370333405,44.0946302848306,36.8855878616732,36.8408193986434,35.7354220229372,44.8981882712133,54.366052964323,54.5986602466301,35.2660329261635,23.2369308985162,38.7688392581349,69.9002248545839,-12.9744153479405,38.9768370417514,37.3635350202158,1.7622252232386,-154.694436667835,-140.207709393601,-5.61244515768885,-17.5513881688521,0.436038665928209,-12.5925888705433,12.4117335825485,-3.43143162924025
,5,-4.98961432492069,24.4603453070504,7.43450929593746,-6.8922117033826,7.64336232063943,3.6900895490553,-2.16632922333247,-50.1059945874367,-11.8261190859403,1.22381470261189,-12.8813150025589,2.05966025009639,31.4976198374034,-4.90751289201125,-28.5645588146162,-18.7967147847057,15.6466088861453,-5.48355429656567,-8.08675048034638,-12.2758395042738,-25.7010098065384,-15.2898138597911,13.9669275454607,-20.486758788441,4.51596896658702,-1.46838292312623,14.1054881534001,-2.39408976904542,-29.8862209042081,5.78032023709602,-7.66376319639494,-24.435234195661,-3.88221670106122,2.13442681635206,-38.8083295715523,-13.034625122209,5.70462083662005,-10.7691418338782,-2.79856499971993,-11.6779534383704,-21.4981808763732,6.94217991389996,-16.5743963022114,-24.7621447597521,2.28130051895369,-14.2766231320647,-150.71139071398,-25.2666938915336,2.98582318140325,1.25671353564303,-37.6543126180695,5.01461421596832,9.45711483538253,1.62245836501461,-4.09252774098968,-3.12367885987442,4.1067492476659,-21.7358342819671,-9.15923798170297,-17.3663402778502,-7.10477923935741,9.35362751158027,8.88813495857175,4.55422255108624,6.0696330260871,3.93486113698691,1.31864558927828,-16.5595129595986,-8.65885013119168,3.81744148085545,-7.54784835682949,-14.6467743427356,33.8445853543826,41.7695832105446,26.206548995613,34.5244051615382,39.3127244908073,40.3148973062316,46.4305787149642,43.2896094282241,26.688559673622,20.6993077740299,29.4046985485847,41.8147400188846,-11.7697314297875,41.3732580863943,37.9462693448668,-1.10173114328791,-130.19941109119,-112.985066944448,-7.68421679606399,-10.4099484736798,2.87847236517337,-5.74906510888923,15.0214180510657,12.9505570057245
,6,-1.22680557205149,20.6766472300205,42.1330101652729,24.3581728381268,38.9212866222078,36.2209890830345,8.03930847304036,-26.655151355355,9.38902225657694,13.3716370938537,2.01568747419697,2.52344985656418,15.3940802954148,11.7564369260444,3.80279951065404,16.4299990818918,38.3890561734333,19.0708723864655,3.78795650802931,6.54167274996234,-3.14166520002709,6.0288230710421,31.8401691047366,-6.49275648329149,13.9639828517211,22.4853201433143,34.3511035064248,20.9686151559754,40.5319139485973,24.8295102968577,4.2593163067877,-7.24606868077808,9.06992978817925,12.363713487598,6.6546925488301,-1.94656741019026,14.8204926259941,32.0608252914762,30.8179111018317,8.00800518947744,9.56400883902006,26.8616506739354,1.92928937775287,18.066940773002,15.8510523996911,10.6820414268177,-87.8413961110855,3.03569676010648,22.3606852111579,21.9595710925078,42.9198528893949,27.7407320515003,31.1147100280314,27.0234950115409,8.10319897594127,14.0825369673521,16.1821884961628,-2.71758053900521,18.0652786643159,3.38723191099871,19.2257946706377,38.3217498262911,18.7318653625216,32.4683099938356,27.0483909115719,24.2700830579524,15.3138622562356,4.93784119192696,9.19137415319256,19.4283622752391,5.9298596326762,5.80165704165393,42.2971037313137,49.8296986497735,45.9644611502699,57.4384983388663,51.8145444390975,53.9124601810599,46.2210829658416,50.4512317886765,36.4239101451521,46.0580271875979,32.5821410908484,32.6213408954354,7.20819691940233,38.4555751287189,49.8458680342028,26.1010495764331,112.338535178603,-61.6770499597142,2.02019385553285,-1.57590067974979,4.94896966401757,8.92566125041685,14.3395676819573,17.8491259473722
,7,2.45988896760809,20.2038142894435,30.8395266170546,16.1141231395368,20.9578493417903,29.6222871481878,10.2018412194666,-28.4850079464813,3.69120104870763,8.99516272235905,-5.77753707506781,-2.51756332010518,19.1895624859235,4.16474489556822,2.10664964603075,1.86728446042343,23.8049328254883,4.98407561934164,-4.61900858000627,-3.50876746868744,-11.4118229708201,6.39360660468355,19.1613254819595,-7.88257102368152,6.67852572267475,15.5431571936115,19.0856074047988,11.4375729141493,30.6283782620567,7.45986026515038,-1.94390822493824,-13.0346116493865,3.90569610818329,3.7020272288828,10.7682256938087,4.6496965965307,12.879197928768,15.5512552389519,23.1345574029965,6.1034585166899,-2.94881347095543,19.3021648966032,2.88332350360906,12.3787511991077,3.25678487220921,1.49752061222989,122.196223871821,-0.40180526108179,4.92132422737905,3.64001409429147,15.3857934162006,14.7303002395438,16.2182491478916,15.4375270538776,-1.80020293691723,-0.791006631990058,9.74714270281856,-15.8051215407768,1.06088620491028,-0.365908946637319,12.1606576230133,8.81696370623831,15.6242196893572,14.5088561520015,7.46459011190655,23.7664490528387,9.37962535874067,5.32083291345316,-1.98922285983917,6.28681811597744,-1.48489640276603,-0.872618549405161,33.0263503203132,24.3580794673671,28.6679980401395,36.3432230521494,28.9988507271146,28.3138002862761,34.5484135794541,37.9571592094035,19.4281895976101,31.5780620760152,23.9242519446634,19.6651025368901,15.0631294400355,29.2508606243664,35.7892827080623,9.61095759972341,99.5005720894751,133.68974906392,4.60132716808312,1.10787198100297,-3.6843832110435,11.3473019034345,10.3325283293743,17.8462972519501
,8,13.1075327050694,19.0078848031844,31.7798832882172,19.9318780459962,25.3017619152242,44.5161494579952,11.0662594634532,-12.903131775257,4.5188629576196,11.5510033259479,7.47134895390718,-2.30667672580785,24.5006217808586,10.1859674568486,7.73747625636497,17.2216542456454,29.4486434551854,24.9708596645278,7.38181367529251,13.6190106033509,3.31767471158128,7.54972552669005,38.2916606448562,-0.65040623709865,1.20971954311881,11.6680161701752,6.36325014189788,10.787558806589,37.9929044212849,21.6531008458296,4.35987882831432,0.283793819663515,8.09487918571904,8.64108677304648,27.126499546479,9.99781989081566,9.82786221163133,11.7365619599996,16.5912518003224,15.5021548959885,59.3226404467578,31.2236522532539,4.14265237447307,17.2280178129786,16.1644173300447,12.9361635943051,122.475255784547,15.1147351679801,8.47470622098717,-7.48147334943678,17.1937218823186,14.3238259436002,17.2411592890321,25.9372886586898,8.7982090466985,9.09889616556302,5.68409799774599,-8.16703085334575,13.1866967998012,9.70538179630876,5.99559051765664,5.23698473015156,7.77906815113511,14.6089827071637,13.4112536398961,19.0488119259135,3.05468217824546,7.18170956448739,8.24393784806853,6.83761185324511,15.7888544803063,5.77737291442645,12.2594614428845,6.62955969403538,8.42218522971598,22.936050383857,23.7468206203503,20.1602734127791,28.8645431807354,26.9155395840435,26.7133450487754,34.6060564139543,22.8511725579501,19.5024454505783,12.1171242261626,17.1911910625195,16.1037201490526,11.7354029511325,97.1507672198186,129.833578883704,2.62547182652088,9.6471664571709,-4.55044953143442,22.7705838658949,9.76407073599057,26.5541891901958
,9,16.6940982891674,24.4569998496463,26.3543206358163,10.954243889093,12.6549964478945,53.1999241992899,13.416862109344,-11.5740459516001,0.849566182419949,11.0307076190911,3.86351496251609,0.846747961485562,23.3834555411649,8.23944548819964,9.98942148829337,11.2878146117455,19.1027086868717,11.7942899298487,4.39477758692465,7.05660940229336,3.57268910799576,7.5367391595837,16.9655088174541,-11.2137732216497,-5.08513276514532,5.45367898677887,11.1925564043968,8.05772361789514,29.4334250198744,11.1778815631988,3.74937435101674,-8.31505200893207,4.35618048806646,1.40325094382933,23.3165565309673,7.87972794809411,8.86519612584925,12.614365734913,18.3279085252088,15.7064872247383,43.5801173672571,24.655321926818,11.2413735735881,15.6875013725712,0.655402057724132,10.7767624678972,110.971304688976,7.75009333770231,9.11886153812338,12.4659631986533,17.1849861734836,14.4541641451769,15.6301963720971,15.5392213618052,3.01412885747595,-2.23318313971686,0.437341949913389,17.9591314918644,-1.18436790617397,2.93271484593242,17.8163289027998,13.9218072277172,10.9491014751984,12.4978895874383,15.05326823216,17.103356357291,-0.298670782955924,2.20479619416437,-2.22049244913796,4.37536275164985,1.73818691013093,5.98342733258596,18.8770043139539,9.65647827156954,18.3227430387988,20.0688441760822,16.6883179224797,5.88732951680322,3.11412912204196,10.1529465415533,13.4305047288162,11.9003556080543,11.9362483462883,-2.06173009918166,27.0639736725207,18.6690706406062,21.7224958777024,18.5112536193428,89.9717189936828,113.495694440205,2.41000013302528,5.30033194983662,7.33491748377855,10.2202033861968,-0.326377764880817,20.5329405028988
,10,17.0978264369332,14.5918826916131,20.6944023558199,10.8415927283149,8.79243280544597,56.3904388236824,0.607337329383881,-3.90635042352642,-1.71401592663187,4.81812696429461,0.886697035531142,-7.00308100227085,26.2491577250175,2.3733240347201,20.513170978169,10.5226169159723,15.0940510991786,9.9408253890042,4.79952608014355,9.93373428004452,-1.52547198857064,6.22215818907353,15.1764279132876,-10.1244429115068,3.75235447832256,-2.51140451685478,1.27018163611592,-0.364607356381384,21.9400808572509,5.3190831264692,-5.67260247744161,14.4446874912092,-3.81462846560771,-3.82168884494877,23.974243383348,1.55418813566575,8.78386593039886,11.2579041140289,17.8834349793269,9.95523827993293,24.2490297769436,16.5756645257361,10.5551097172556,11.9371655572122,7.55363244778346,3.49078985963934,98.8230801737936,21.7796107941595,4.66307942856383,8.24647777481914,15.6131465643048,10.3120282369773,6.94646211162853,14.3219022507456,-2.06059344260939,-1.16717676270309,-0.892220567310687,9.80607499830239,0.789497195973127,8.20476642465928,10.9923897041799,1.16254857428521,4.95562249867453,5.26087441957861,7.90107324475503,14.0292004307557,3.63346116930552,14.1894175430962,-7.16311253688036,4.3742973617218,8.28137783190869,-4.06556097687917,6.32589265148545,-8.66647343000386,-1.87197015565289,3.28016494890016,4.12220024159069,-2.2430761401838,2.62352109233052,2.91078686068977,4.38408526914009,5.51272976634482,-0.592786460771094,-13.8644384757681,25.614711890632,16.7703618258865,15.0770178841058,11.4817888418993,82.347209120494,103.970537410228,9.71575514230335,8.98774707863231,7.17612323681715,6.7450927180389,1.57549817900599,28.1351188738354
