,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Chi3l3,Unkn,,,31.3684781917628,31.3684781917628,0,NaN,NaN,NaN,0,55,
,A02,SYBR,Chi3l3,Unkn,,,31.5809715746128,31.5809715746128,0,NaN,NaN,NaN,0,55,
,A03,SYBR,Chi3l3,Unkn,,,32.7347921870343,32.7347921870343,0,NaN,NaN,NaN,0,55,
,A04,SYBR,Chi3l3,Unkn,,,32.5941060822434,32.5941060822434,0,NaN,NaN,NaN,0,55,
,A05,SYBR,Chi3l3,Unkn,,,32.4003772799856,32.4003772799856,0,NaN,NaN,NaN,0,55,
,A06,SYBR,Chi3l3,Unkn,,,32.0507356302852,32.0507356302852,0,NaN,NaN,NaN,0,55,
,A07,SYBR,Retnla,Unkn,,,35.219703327093,35.219703327093,0,NaN,NaN,NaN,0,55,
,A08,SYBR,Retnla,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,A09,SYBR,Retnla,Unkn,,,39.1946288480047,39.1946288480047,0,NaN,NaN,NaN,0,55,
,A10,SYBR,Retnla,Unkn,,,38.5780857381845,38.5780857381845,0,NaN,NaN,NaN,0,55,
,A11,SYBR,Retnla,Unkn,,,38.8808708057677,38.8808708057677,0,NaN,NaN,NaN,0,55,
,A12,SYBR,Retnla,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,B01,SYBR,Chi3l3,Unkn,,,32.9812386860371,32.9812386860371,0,NaN,NaN,NaN,0,55,
,B02,SYBR,Chi3l3,Unkn,,,34.6042445981147,34.6042445981147,0,NaN,NaN,NaN,0,55,
,B03,SYBR,Chi3l3,Unkn,,,34.4251085412334,34.4251085412334,0,NaN,NaN,NaN,0,55,
,B04,SYBR,Chi3l3,Unkn,,,35.6345745970619,35.6345745970619,0,NaN,NaN,NaN,0,55,
,B05,SYBR,Chi3l3,Unkn,,,31.7640455975523,31.7640455975523,0,NaN,NaN,NaN,0,55,
,B06,SYBR,Chi3l3,Unkn,,,31.983601109622,31.983601109622,0,NaN,NaN,NaN,0,55,
,B07,SYBR,Retnla,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,B08,SYBR,Retnla,Unkn,,,37.7620554225414,37.7620554225414,0,NaN,NaN,NaN,0,55,
,B09,SYBR,Retnla,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,B10,SYBR,Retnla,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,B11,SYBR,Retnla,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,B12,SYBR,Retnla,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,C01,SYBR,Chi3l3,Unkn,,,33.9000627621032,33.9000627621032,0,NaN,NaN,NaN,0,55,
