,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,Chi3l3,Unkn,,31.3684781917628,NaN
,A02,SYBR,Chi3l3,Unkn,,31.5809715746128,NaN
,A03,SYBR,Chi3l3,Unkn,,32.7347921870343,NaN
,A04,SYBR,Chi3l3,Unkn,,32.5941060822434,NaN
,A05,SYBR,Chi3l3,Unkn,,32.4003772799856,NaN
,A06,SYBR,Chi3l3,Unkn,,32.0507356302852,NaN
,A07,SYBR,Retnla,Unkn,,35.219703327093,NaN
,A08,SYBR,Retnla,Unkn,,NaN,NaN
,A09,SYBR,Retnla,Unkn,,39.1946288480047,NaN
,A10,SYBR,Retnla,Unkn,,38.5780857381845,NaN
,A11,SYBR,Retnla,Unkn,,38.8808708057677,NaN
,A12,SYBR,Retnla,Unkn,,NaN,NaN
,B01,SYBR,Chi3l3,Unkn,,32.9812386860371,NaN
,B02,SYBR,Chi3l3,Unkn,,34.6042445981147,NaN
,B03,SYBR,Chi3l3,Unkn,,34.4251085412334,NaN
,B04,SYBR,Chi3l3,Unkn,,35.6345745970619,NaN
,B05,SYBR,Chi3l3,Unkn,,31.7640455975523,NaN
,B06,SYBR,Chi3l3,Unkn,,31.983601109622,NaN
,B07,SYBR,Retnla,Unkn,,NaN,NaN
,B08,SYBR,Retnla,Unkn,,37.7620554225414,NaN
,B09,SYBR,Retnla,Unkn,,NaN,NaN
,B10,SYBR,Retnla,Unkn,,NaN,NaN
,B11,SYBR,Retnla,Unkn,,NaN,NaN
,B12,SYBR,Retnla,Unkn,,NaN,NaN
,C01,SYBR,Chi3l3,Unkn,,33.9000627621032,NaN
,C02,SYBR,Chi3l3,Unkn,,33.7687711940719,NaN
,C03,SYBR,Chi3l3,Unkn,,34.2536520087282,NaN
,C04,SYBR,Chi3l3,Unkn,,33.9542158140179,NaN
,C05,SYBR,Chi3l3,Unkn,,32.2857571626063,NaN
,C06,SYBR,Chi3l3,Unkn,,32.4625256682966,NaN
,C07,SYBR,Retnla,Unkn,,NaN,NaN
,C08,SYBR,Retnla,Unkn,,37.2178405144039,NaN
,C09,SYBR,Retnla,Unkn,,NaN,NaN
,C10,SYBR,Retnla,Unkn,,39.1899591665515,NaN
,C11,SYBR,Retnla,Unkn,,37.1351065251098,NaN
,C12,SYBR,Retnla,Unkn,,NaN,NaN
,D01,SYBR,Chi3l3,Unkn,,32.2908801319439,NaN
,D02,SYBR,Chi3l3,Unkn,,31.2973967502369,NaN
,D03,SYBR,Chi3l3,Unkn,,32.0475963574881,NaN
,D04,SYBR,Chi3l3,Unkn,,33.1644958103196,NaN
,D05,SYBR,Chi3l3,Unkn,,31.0243690696249,NaN
,D06,SYBR,Chi3l3,Unkn,,30.9958626517242,NaN
,D07,SYBR,Retnla,Unkn,,NaN,NaN
,D08,SYBR,Retnla,Unkn,,NaN,NaN
,D09,SYBR,Retnla,Unkn,,35.0003628250075,NaN
,D10,SYBR,Retnla,Unkn,,39.7079146827853,NaN
,D11,SYBR,Retnla,Unkn,,38.6756288626885,NaN
,D12,SYBR,Retnla,Unkn,,39.1030393955567,NaN
,E01,SYBR,Chi3l3,Unkn,,31.8614636366754,NaN
,E02,SYBR,Chi3l3,Unkn,,32.0888684349835,NaN
,E03,SYBR,Chi3l3,Unkn,,33.3639378545682,NaN
,E04,SYBR,Chi3l3,Unkn,,32.1829256777285,NaN
,E05,SYBR,Chi3l3,Unkn,,31.0652734467458,NaN
,E06,SYBR,Chi3l3,Unkn,,31.1044304958036,NaN
,E07,SYBR,Retnla,Unkn,,39.8124695626032,NaN
,E08,SYBR,Retnla,Unkn,,NaN,NaN
,E09,SYBR,Retnla,Unkn,,NaN,NaN
,E10,SYBR,Retnla,Unkn,,NaN,NaN
,E11,SYBR,Retnla,Unkn,,37.128290515664,NaN
,E12,SYBR,Retnla,Unkn,,37.813921807074,NaN
,F01,SYBR,Chi3l3,Unkn,,31.5558829559699,NaN
,F02,SYBR,Chi3l3,Unkn,,31.025365932229,NaN
,F03,SYBR,Chi3l3,Unkn,,32.2359260267441,NaN
,F04,SYBR,Chi3l3,Unkn,,32.1548759660646,NaN
,F05,SYBR,Chi3l3,Unkn,,31.2042675037194,NaN
,F06,SYBR,Chi3l3,Unkn,,31.1790554591565,NaN
,F07,SYBR,Retnla,Unkn,,39.0612415850004,NaN
,F08,SYBR,Retnla,Unkn,,39.0274757061674,NaN
,F09,SYBR,Retnla,Unkn,,37.4081993258406,NaN
,F10,SYBR,Retnla,Unkn,,39.8576979585052,NaN
,F11,SYBR,Retnla,Unkn,,39.6886343216775,NaN
