,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,,15111.2454637817,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,,16088.0272097502,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,,14311.4302314183,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,,13100.6727445758,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,,13403.2767759684,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,,12713.9684335144,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,,16553.985549167,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,,12969.4099311026,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,,13695.8229716095,,Unknown,Unassigned,False
,A10,SYBR,,Unkn,,13578.7368691025,,Unknown,Unassigned,False
,A11,SYBR,,Unkn,,14382.1310144341,,Unknown,Unassigned,False
,A12,SYBR,,Unkn,,15501.257983102,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,,17524.1838077417,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,,17613.3225045946,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,,20234.6550782342,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,,19132.90827798,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,,20518.5167855031,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,,20977.7799606894,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,,13460.5836163681,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,,10782.0041451805,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,,11284.4442259661,,Unknown,Unassigned,False
,B10,SYBR,,Unkn,,10829.8262621331,,Unknown,Unassigned,False
,B11,SYBR,,Unkn,,10698.0867257526,,Unknown,Unassigned,False
,B12,SYBR,,Unkn,,10699.6911371346,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,,22376.541059545,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,,19668.7316158055,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,,21561.815400001,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,,21695.7716870831,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,,24022.1188708444,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,,23448.285931311,,Unknown,Unassigned,False
