,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,428.94126752276,568.30548286158,526.884698149362,402.298438419194,527.393959372922,361.535993762776,386.639323636295,368.274147826372,403.260682736259,399.357407362398,403.524951111166,416.316461561416,448.684865447599,427.373495010653,431.894227578277,423.764912344655,392.187019739403,423.786434693818,377.533454276415,316.629279896221,326.506316453809,362.769005780749,358.346041755768,369.551378840928,654.068093402523,439.523260721461,420.57563344663,424.725252673097,414.780843925661,418.965065145417,324.165570455122,312.810627270215,349.092401127322,335.531358471309,373.840915956745,367.984998070788,798.637368345684,496.022206131467,469.285566422011,481.425215586127,451.509428671488,468.765488493976,426.549070140731,432.74864848263,426.549100814698,443.93020307228,480.45528432934,508.288054993248,532.168671574022,518.604792742166,484.624705397806,478.528715532089,441.581611751422,466.758052013184,415.572390363442,400.231958473018,425.844576544195,422.911548397676,466.311399092155,472.519414417337,776.469155199285,493.583078637535,540.433740543795,460.755649262409,462.954089423069,453.832408325505,420.122096792136,430.845563472969,357.055101881793,370.478964456915,540.550803936511,476.395763480681,490.839517419565,488.656445377404,452.393178250329,460.245914964877,422.662862227765,446.831523298138,398.482604820121,386.028645249165,397.50499587575,412.312439034952,472.466071614997,435.311489972058,557.503615065385,853.121843733517,566.609981361498,574.870928312697,598.239254177724,549.558453693652,482.281033082738,483.861562641205,493.166833542968,527.598950006362,505.892709939259,518.896594073873
,65.5,929.372746299297,1231.3285462001,1141.58351265698,871.646616574903,1142.68691197464,783.32798648602,837.718534545314,797.927320290458,873.731479261897,865.274382618519,874.304060740857,902.019000049724,972.150541803138,925.975905856419,935.770826419598,918.157310080082,849.738542768718,918.20394183661,817.989150932221,686.030106441818,707.430352316571,785.999512524955,776.416423804163,800.694654155326,1417.14753570549,952.300398229838,911.247205801031,920.238047458375,898.6918285056,907.757641148413,702.358735986094,677.756359085478,756.366869109195,726.984610021164,809.988651239621,797.300829153379,1730.38096474896,1074.71477995152,1016.78539391437,1043.08796710326,978.27042878822,1015.65855840363,924.189651971574,937.62207171236,924.189718431838,961.848773323276,1040.98644938024,1101.29078581868,1153.03212174371,1123.64371760804,1050.02019502858,1036.81221698621,956.760158794755,1011.30911269523,900.406845787453,867.169243358198,922.663249179082,916.308354861636,1010.34136469967,1023.79206457089,1682.34983626514,1069.43000371466,1170.93977117824,998.303906735225,1003.06719374998,983.303551371926,910.264543049621,933.498720858094,773.619387410552,802.704422989978,1171.19340852909,1032.19082087481,1063.48562107572,1058.75563165105,980.185219542373,997.199482423904,915.769534826827,968.134967145957,863.378977110251,836.395398039856,861.260824397458,893.343617909063,1023.67648849916,943.174894939461,1207.92449930834,1848.43066142261,1227.6549596166,1245.55367801086,1296.18505071844,1190.70998300291,1044.94223834594,1048.36671905596,1068.5281393431,1143.13105834711,1096.10087153507,1124.2759538267
,66,857.882535045497,1136.61096572318,1053.76939629877,804.596876838349,1054.7879187458,723.071987525555,773.278647272604,736.548295652721,806.521365472519,798.714814724778,807.049902222314,832.632923122815,897.369730895212,854.746990021317,863.788455156552,847.529824689299,784.374039478823,847.57286938764,755.066908552804,633.258559792454,653.012632907595,725.538011561496,716.692083511528,739.102757681824,1308.13618680509,879.046521442934,841.151266893252,849.450505346192,829.561687851322,837.930130290843,648.331140910241,625.621254540441,698.184802254634,671.062716942613,747.681831913511,735.969996141595,1597.27473669135,992.044412262941,938.571132844038,962.850431172232,903.018857342971,937.530976987969,853.098140281445,865.497296965254,853.098201629381,887.860406144562,960.910568658682,1016.57610998645,1064.33734314805,1037.20958548435,969.249410795622,957.057431064197,883.163223502857,933.51610402636,831.144780726879,800.463916946022,851.689153088382,845.823096795363,932.622798184309,945.038828834677,1552.93831039861,987.166157275086,1080.86748108763,921.511298524822,925.90817884613,907.664816651016,840.244193584259,861.691126945932,714.110203763586,740.957928913819,1081.10160787298,952.791526961355,981.67903483912,977.312890754813,904.786356500651,920.491829929764,845.325724455526,893.66304659626,796.965209640225,772.057290498327,795.009991751506,824.624878069911,944.932143229992,870.622979944117,1115.00723013078,1706.243687467,1133.21996272303,1149.74185662543,1196.47850835551,1099.1169073873,964.562066165483,967.723125282428,986.333667085943,1055.19790001271,1011.78541987852,1037.7931881477
,66.5,857.882535045436,1136.61096572302,1053.76939629882,804.596876838339,1054.78791874578,723.071987525559,773.278647272504,736.548295652779,806.521365472505,798.714814724752,807.04990222223,832.632923122826,897.369730895311,854.746990021255,863.788455156493,847.529824689312,784.374039478746,847.572869387702,755.066908552787,633.258559792422,653.012632907576,725.538011561528,716.692083511522,739.102757681888,1308.13618680511,879.046521443062,841.151266893203,849.45050534621,829.561687851276,837.930130290818,648.331140910203,625.621254540422,698.184802254578,671.062716942671,747.681831913559,735.969996141563,1597.27473669123,992.044412263041,938.571132843899,962.850431172335,903.018857342873,937.530976988087,853.098140281365,865.497296965334,853.098201629349,887.860406144605,960.910568658802,1016.57610998646,1064.33734314793,1037.20958548437,969.249410795651,957.057431064104,883.16322350286,933.516104026443,831.144780726932,800.463916945985,851.689153088403,845.82309679524,932.622798184288,945.038828834624,1552.93831039871,987.166157275135,1080.8674810875,921.511298524794,925.908178846185,907.664816651106,840.244193584371,861.691126945923,714.110203763534,740.957928913784,1081.1016078731,952.791526961414,981.679034839055,977.31289075485,904.786356500581,920.4918299297,845.325724455514,893.663046596233,796.965209640135,772.057290498383,795.009991751532,824.624878069903,944.932143229998,870.622979944103,1115.00723013071,1706.24368746706,1133.21996272292,1149.74185662541,1196.47850835542,1099.11690738734,964.562066165494,967.723125282492,986.333667085891,1055.19790001281,1011.78541987856,1037.79318814761
,67,857.882535046016,1136.61096572418,1053.7693962983,804.596876838558,1054.78791874607,723.07198752553,773.278647273254,736.548295652412,806.521365472621,798.714814725078,807.049902222998,832.632923122796,897.369730894459,854.746990021658,863.788455156959,847.52982468926,784.374039479304,847.572869387232,755.066908552965,633.258559792601,653.012632907878,725.538011561273,716.692083511562,739.102757681511,1308.13618680471,879.046521441979,841.151266893578,849.450505346039,829.561687851647,837.930130290954,648.331140910593,625.62125454056,698.184802255089,671.062716942254,747.681831913074,735.969996141725,1597.27473669227,992.044412262213,938.571132844955,962.85043117154,903.018857343751,937.530976987116,853.09814028208,865.49729696476,853.098201629671,887.860406144339,960.910568657866,1016.57610998662,1064.33734314884,1037.20958548416,969.24941079531,957.057431064822,883.163223502745,933.516104025796,831.144780726569,800.463916946351,851.689153088302,845.82309679614,932.622798184461,945.038828835023,1552.9383103977,987.166157274643,1080.86748108829,921.511298525077,925.908178845757,907.664816650363,840.244193583519,861.691126946055,714.110203763948,740.95792891405,1081.1016078723,952.791526960957,981.679034839562,977.31289075451,904.7863565012,920.491829930133,845.325724455568,893.663046596494,796.965209640898,772.057290497914,795.009991751312,824.624878069971,944.932143229947,870.622979944238,1115.00723013129,1706.24368746674,1133.21996272359,1149.74185662549,1196.47850835591,1099.11690738707,964.562066165339,967.723125281918,986.333667086322,1055.19790001206,1011.78541987823,1037.79318814857
,67.5,857.543853154676,1137.34469993107,1053.56388521567,804.254098260741,1055.51166675837,722.362202411462,771.02246446581,735.737695472062,806.057075112097,798.302953221673,806.365877436519,831.987140556967,897.386854158285,854.210797871333,863.560861880665,847.199445176405,783.822789155659,846.939986706515,754.563524539842,632.965842072255,652.849637897349,725.483183699255,715.702453697726,738.951406599015,1309.1654363841,877.225697770727,840.16611543337,849.631624507827,828.909390748923,836.399178978999,648.470072932686,625.679200950257,697.408222146609,670.093764440314,746.998186757059,735.478673539864,1598.38011401894,990.046281029232,938.25541526104,962.141792325784,901.810317696466,936.529807350648,852.81771585318,864.955304657307,851.643151916278,886.62697510759,959.902791822152,1015.73495094164,1063.30137130825,1035.26835208619,968.594635562633,956.596732812035,881.896102684445,932.824773993587,831.090990077115,799.773246544944,850.254763210641,845.335270479895,931.52625808289,944.394382968118,1554.29832563966,985.88855596955,1080.1981343846,921.393546611506,924.082097136554,907.40514733007,840.013646038727,860.929750626098,713.253925305266,740.317555272085,1079.64570593942,952.074234838633,980.530807720679,975.658835144061,903.461958961994,919.272047894561,843.483574587774,891.818792516988,795.813733095402,770.801058829346,792.259824999166,822.888109389904,943.571757847477,869.839369124099,1113.45800155719,1707.63010107166,1131.25078953841,1148.57664237871,1195.09607128109,1097.50822579519,963.110778596255,966.397333900461,984.140388856898,1052.18121223258,1010.5762333377,1037.1051571742
,68,859.335613638423,1132.98501207071,1055.11801041735,805.760025427423,1051.05188710665,726.285341227541,783.86948270518,740.163019346551,808.480793110176,800.581273826854,810.293843905647,835.501828367785,897.126900404996,857.450322432776,864.232471871051,848.686195551379,786.147734586408,850.36883836585,757.202989597124,634.045630927234,652.906172502932,725.287184610598,721.822692798608,739.383860852526,1303.05995825546,887.922481972165,846.613150211929,847.256778948463,831.546094748932,844.487276974096,646.829775840441,624.4908835735,700.989954776078,674.894169701475,751.091604659261,737.929159118311,1591.74451560817,1001.82631152513,938.526514870186,965.332368057419,907.220202163438,940.888340906758,853.380635606858,866.867973647254,859.41941236546,892.646181230451,965.70428010129,1020.60746659216,1069.62323587788,1047.04667137789,970.964861674527,958.688579544089,888.454928482222,935.274916335828,830.378128387526,802.990963915262,858.024615773864,846.545238295347,938.276496637694,947.858946172983,1546.22292006006,993.672914224977,1082.94260183223,921.134492271071,934.314740229574,907.884948619953,840.527734224541,864.898794530476,717.371385818788,742.796493153744,1088.63764516174,956.110650865297,987.200235791575,985.517269638808,910.743029705961,925.896423094982,853.787914775648,902.666641568329,802.651456570719,777.693661397694,808.540394696715,833.036840215998,951.617185101602,874.508171972688,1122.91170603549,1699.25531167651,1143.12579453568,1155.50153343192,1203.3492016719,1107.35206180374,971.647471911576,974.574184464715,997.684192401323,1071.41265720519,1017.70725305004,1041.05504250154
,68.5,865.441864185767,1123.23819903791,1055.98723506714,813.983099337525,1042.65579205144,737.756179449503,817.357177083117,753.565232258137,817.038071163432,807.283593673706,820.281559086268,846.630715426809,897.778876246635,864.200344595344,871.134157075223,855.958672066667,798.842049416917,860.752609546775,765.935587912574,641.46532963883,660.027533120127,729.278231777943,733.472510806124,744.239326252616,1289.33507112022,913.162331589882,855.105852112315,852.452386445508,846.801458057468,870.493767532848,649.569155178306,628.246290516192,717.147036587628,693.27600320929,760.052893518356,747.676783540282,1577.53320911604,1029.12112501176,951.604952173301,979.750126531644,933.429650585154,962.917058676217,862.891998848503,881.427864779195,883.446425905674,916.550202333032,980.190338088598,1032.59088581475,1082.45605882757,1071.13065707293,987.95192440932,967.552897118141,910.186546834959,953.694820822815,836.630664845826,816.882212721885,881.0111842309,862.565341569357,951.624008394509,958.856337469192,1528.19797743094,1009.63679563183,1099.11573262633,927.664588908885,961.863587442653,916.64539029039,847.898877858045,877.578372662931,734.196431177435,759.228674800602,1106.14070976858,967.379574679951,1003.5398029421,1007.68351392026,932.170549865911,945.672005960825,881.903554122565,928.035355277939,818.435229788705,797.659604918514,845.657859068809,857.652751987049,970.242697390512,884.907163198588,1142.15660715445,1681.40028094704,1168.79335048546,1171.04710780779,1221.61521409996,1127.11440041481,991.434446354,990.512463504945,1023.84133169362,1104.27750114257,1034.56117937499,1050.94942280452
,69,871.119339678101,1113.68835586273,1053.79098296114,822.658537296114,1033.75522292668,749.078587280541,853.713541065877,767.57852297163,825.225337707201,813.843528189264,830.892522230307,855.853193476901,900.080877664258,870.911141731864,883.567129484917,866.257368963642,819.856138537823,873.186333324497,777.432453421677,656.161959739149,676.321434160619,735.827277758201,743.866236249281,752.557122803753,1275.88153260812,937.076367108943,865.720415893093,867.202102107017,875.8616869286,906.032562951628,659.605459926567,641.133915763801,742.477093017105,719.717982626328,768.612635108666,758.006151469178,1563.61526775748,1055.64598613964,980.576526123687,1008.53706905721,974.93456974837,1001.44768118955,885.175981647378,907.959825496714,916.672717378388,951.579441080771,996.708394276655,1044.93112865425,1093.8384552985,1095.5814914909,1021.58240917142,987.931903471967,944.850648497722,988.110983639577,853.952484886416,840.386184562143,912.848597610954,894.238384790229,962.2218276362,970.594484778338,1509.79962573366,1023.17863376466,1123.94556863022,945.337297068507,996.580538803143,939.563893582164,866.635392643472,899.038581163664,760.099791429388,784.754406849566,1119.81285090442,977.751381674642,1020.07233089387,1026.56169742497,954.932799963521,970.419450463758,916.042211313761,952.700829688882,830.690690214273,822.276814496865,881.845242339938,879.80093685508,986.92328139505,895.09722433037,1158.67824103264,1666.44366237515,1189.15845661389,1185.95856694941,1238.50340106383,1143.95423262287,1012.09801672197,1003.51679289745,1046.47897271816,1123.85144980827,1048.43591288054,1062.65141775782
,69.5,874.235590949721,1103.35185476268,1049.40482838234,826.304935988386,1021.79231772502,759.65445034712,887.00121807897,779.538587999082,830.791447039267,817.270056614149,838.78439946568,859.193678334506,902.609977142357,877.997419974286,901.258745350199,876.599935069129,846.380784712845,887.609014387501,789.591860801133,675.018927660991,700.881709314163,742.139970943638,754.351038370363,756.462580380774,1260.05624607921,957.326977686058,889.849526841711,887.3330474984,914.791265121329,944.205629146047,674.33542680885,660.435248092747,772.866768892907,748.252250085534,774.281179101983,763.786772806279,1547.79028677179,1080.29194161597,1016.56501261009,1047.47548287259,1020.2738319318,1046.07558349017,917.500509792659,940.310181895181,956.142347796886,990.335345998332,1008.43861193724,1057.42088986792,1102.87890519722,1118.04737148641,1058.30220384146,1021.23153274418,986.461275644073,1029.08076775375,879.672592270931,872.144561620796,951.247131063962,930.531082076401,969.638687832563,980.5530593305,1490.18855702362,1035.2973707231,1153.36015777827,974.36351635442,1033.24675934997,973.601594223298,892.742948814936,927.98394238793,789.498730959437,812.250834754195,1131.21777999399,983.269710315461,1032.44081304684,1045.69942722066,979.099149576581,999.107314293052,949.818033131803,975.346507803293,841.337835206561,849.817522206308,914.04093809657,897.437651721917,1000.23718861881,902.18507952969,1173.09280124376,1653.26584844547,1206.1825072873,1200.73226675659,1255.20918022627,1160.9354315547,1030.71380787415,1015.23200178507,1062.40794830577,1136.56611278096,1058.89547555346,1072.36439325907
