,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Unkn,,84.5,4376.1399511203,79.5,94,
,A02,SYBR,,Unkn,,85,3455.99487864129,81.5,93.5,
,A03,SYBR,,Unkn,,85,3638.09227831,81,95,
,A04,SYBR,,Unkn,,84.5,3581.61510843636,81,94,
,A05,SYBR,,Unkn,,None,None,None,None,
,A06,SYBR,,Unkn,,84.5,3868.53144607556,80.5,93,
,A07,SYBR,,Unkn,,84.5,4292.06468764597,80.5,94,
,A08,SYBR,,Unkn,,85,3662.91936551768,80.5,94,
,A09,SYBR,,Unkn,,84.5,4305.41451407334,81,93,
,A10,SYBR,,Unkn,,84.5,4122.76116115999,80.5,93.5,
,A11,SYBR,,Unkn,,84.5,4067.00121725228,79,94,
,A12,SYBR,,Unkn,,84.5,4350.6553683807,79.5,90,
,B01,SYBR,,Unkn,,84.5,4878.78116184559,80.5,93,
,B02,SYBR,,Unkn,,84.5,5014.68451481225,80.5,95,
,B03,SYBR,,Unkn,,84.5,5519.69674508617,80.5,94,
,B04,SYBR,,Unkn,,84.5,5299.96321801328,80.5,92.5,
,B05,SYBR,,Unkn,,84.5,5535.17161910161,80.5,94,
,B06,SYBR,,Unkn,,84.5,5649.85364288531,79.5,94,
,B07,SYBR,,Unkn,,84.5,3926.47353581958,80.5,94,
,B08,SYBR,,Unkn,,84.5,3186.55351883698,75,95,
,B09,SYBR,,Unkn,,None,None,None,None,
,B10,SYBR,,Unkn,,84.5,3286.48382251523,79,92,
,B11,SYBR,,Unkn,,None,None,None,None,
,B12,SYBR,,Unkn,,None,None,None,None,
,C01,SYBR,,Unkn,,85,4045.96210797181,81.5,95,
,C02,SYBR,,Unkn,,84.5,5327.29038363746,80.5,94,
,C03,SYBR,,Unkn,,84.5,5708.01656747593,80.5,94,
,C04,SYBR,,Unkn,,84.5,5776.95515761485,80.5,95,
,C05,SYBR,,Unkn,,84.5,5994.9203182312,80.5,94,
,C06,SYBR,,Unkn,,84.5,5979.06660763738,80.5,94,
,C07,SYBR,,Unkn,,None,None,None,None,
,C08,SYBR,,Unkn,,None,None,None,None,
,C09,SYBR,,Unkn,,84.5,3935.11875991809,81,94,
,C10,SYBR,,Unkn,,None,None,None,None,
,C11,SYBR,,Unkn,,None,None,None,None,
,C12,SYBR,,Unkn,,None,None,None,None,
,D01,SYBR,,Unkn,,85,7136.15611280556,81.5,88.5,
,D02,SYBR,,Unkn,,84.5,8209.76107980608,80.5,94,
,D03,SYBR,,Unkn,,84.5,8227.65772474285,80.5,87.5,
,D04,SYBR,,Unkn,,84.5,8402.17542739199,80.5,87.5,
,D05,SYBR,,Unkn,,84.5,8045.41331372815,80.5,87.5,
,D06,SYBR,,Unkn,,84.5,8269.02426312165,80.5,87.5,
,D07,SYBR,,Unkn,,84.5,6130.64994692388,80.5,94,
,D08,SYBR,,Unkn,,84.5,6209.47832572906,80.5,94,
,D09,SYBR,,Unkn,,84.5,5915.25694553795,80,94,
,D10,SYBR,,Unkn,,84.5,6047.37155607826,81,93.5,
,D11,SYBR,,Unkn,,84.5,6404.92240110867,81,94,
,D12,SYBR,,Unkn,,84.5,6899.93558641619,80,95,
,E01,SYBR,,Unkn,,84.5,7825.47778083369,80.5,87.5,
,E02,SYBR,,Unkn,,84.5,8134.9852528608,80.5,95,
,E03,SYBR,,Unkn,,84.5,7900.3662626382,80.5,87.5,
,E04,SYBR,,Unkn,,84.5,7945.60719940098,80.5,87.5,
,E05,SYBR,,Unkn,,84.5,7740.08477861038,80.5,87.5,
,E06,SYBR,,Unkn,,84.5,8064.59153738981,80.5,87.5,
,E07,SYBR,,Unkn,,84.5,5596.7645765386,80.5,94,
,E08,SYBR,,Unkn,,84.5,5438.75453556122,80,94,
,E09,SYBR,,Unkn,,84.5,5935.28756753493,80.5,93,
,E10,SYBR,,Unkn,,84.5,5592.31704341033,80.5,93,
,E11,SYBR,,Unkn,,84.5,5390.09677942669,80,94,
,E12,SYBR,,Unkn,,84.5,5587.40700021712,80.5,93,
,F01,SYBR,,Unkn,,85,5983.81299415413,81.5,95,
,F02,SYBR,,Unkn,,84.5,7061.27270536883,80.5,87.5,
,F03,SYBR,,Unkn,,84.5,7838.23140986265,80.5,87.5,
,F04,SYBR,,Unkn,,84.5,7171.60577499529,80.5,87.5,
,F05,SYBR,,Unkn,,84.5,7526.48286149411,80.5,87.5,
,F06,SYBR,,Unkn,,84.5,7282.40331461631,80.5,87.5,
,F07,SYBR,,Unkn,,84.5,5113.77010632613,80.5,94,
,F08,SYBR,,Unkn,,84.5,5455.05243745452,80.5,93.5,
,F09,SYBR,,Unkn,,84.5,4089.94411670986,79,92.5,
,F10,SYBR,,Unkn,,84.5,4177.31873587707,80.5,95,
,F11,SYBR,,Unkn,,84.5,6529.27784478186,80.5,94,
,F12,SYBR,,Unkn,,84.5,5553.32004244247,80.5,93,
,G01,SYBR,,Unkn,,84.5,5787.88175627585,80.5,95,
,G02,SYBR,,Unkn,,84.5,5698.51849920416,80.5,94,
,G03,SYBR,,Unkn,,84.5,5560.89786550128,81,94,
,G04,SYBR,,Unkn,,84.5,5419.21962774144,80.5,93,
,G05,SYBR,,Unkn,,84.5,4286.39462293607,80,94,
,G06,SYBR,,Unkn,,84.5,4987.89195092494,80.5,93.5,
,G07,SYBR,,Unkn,,85,3207.66284166711,81,94,
,G08,SYBR,,Unkn,,86,3361.46360238575,79,93,
,G09,SYBR,,Unkn,,84.5,4242.80668756681,80.5,94,
,G10,SYBR,,Unkn,,85,3881.33616521109,81,94,
,G11,SYBR,,Unkn,,85,4148.88935184109,80.5,94,
,G12,SYBR,,Unkn,,84.5,3760.12151104625,80.5,94,
,H01,SYBR,,Unkn,,84.5,8232.00415992988,80.5,87.5,
,H02,SYBR,,Unkn,,85,7551.26241509359,81.5,94,
,H03,SYBR,,Unkn,,84.5,8456.97863437898,80.5,87.5,
,H04,SYBR,,Unkn,,84.5,8368.76407122185,80.5,87.5,
,H05,SYBR,,Unkn,,84.5,8044.98522273845,80.5,87.5,
,H06,SYBR,,Unkn,,84.5,7890.13540491127,80.5,87.5,
,H07,SYBR,,Unkn,,84.5,5666.99302094486,80.5,95,
,H08,SYBR,,Unkn,,84.5,5574.86140099523,80.5,94,
,H09,SYBR,,Unkn,,84.5,5561.17806920324,80.5,95,
,H10,SYBR,,Unkn,,84.5,5856.42295939544,81,95,
,H11,SYBR,,Unkn,,84.5,5709.19718868009,79,94,
,H12,SYBR,,Unkn,,84.5,5877.75292126868,81,94,
