,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,34297.2375572838,36141.4240646029,35537.6588683385,32734.3408685695,32657.3993647084,31696.967320251,35914.3303328617,32225.8670875001,32995.193571396,31773.5392799906,33562.0631050612,34544.4707855148,34773.3888940075,35026.9257667519,38466.9710625404,36362.643951389,37500.161179035,37541.1159073133,33303.4206050594,30063.2659306894,30798.7840026384,30080.5892724463,30396.8339525756,31056.1447403789,38948.8890261275,39305.8195322214,39193.469878266,39346.107524979,40789.163039258,40828.1156806417,29399.3766379773,29615.472389654,33945.2911132898,31511.11611923,30363.8818431611,30177.8144214702,51572.247948793,47973.5173859308,48508.1079017935,49181.5218121933,47114.6972340983,48484.5000239515,40528.2690111776,41157.0605498075,41271.0994145708,42508.2038754981,41169.3392305671,43837.4378193883,46748.9098649521,48334.9888342499,47159.8759726786,47234.1667359813,45715.341820439,47797.4239153803,39190.3280171095,38865.9507113718,40796.3033332053,39842.9235394922,38725.7614976278,39772.4310142673,47447.0005331276,43859.1561547627,48741.9847851861,44302.5108719819,45905.8517020201,44503.5471787516,38599.6613729407,39757.1810107582,33423.7519609473,33485.9420392318,44543.5765476938,39316.0737508675,41362.9263716373,42410.0507728248,41163.182837353,41305.2200680761,38173.5095582691,39480.7170158677,33566.6504487112,34803.000771625,37883.6131401339,36248.9432938748,39046.8227716333,36303.6074088791,49462.6382498252,55224.3723775139,50613.7215833989,49934.750979352,50057.4226372688,48405.166222238,41582.6017646636,40704.2090636944,42375.4634100001,43705.8394547279,42040.9891955064,42761.1477887023
,65.5,33868.296289761,35573.1185817413,35010.7741701891,32332.0424301503,32130.0054053355,31335.4313264882,35527.6910092254,31857.5929396738,32591.9328886597,31374.1818726282,33158.53815395,34128.1543239534,34324.7040285599,34599.5522717412,38035.0768349621,35938.8790390443,37107.9741592956,37117.3294726195,32925.887150783,29746.6366507932,30472.2776861846,29717.8202666656,30038.4879108198,30686.593361538,38294.820932725,38866.2962715,38772.8942448194,38921.3822723059,40374.3821953323,40409.1506154963,29075.2110675222,29302.6617623838,33596.1987121624,31175.5847607587,29990.0409272043,29809.8294233994,50773.6105804473,47477.4951797994,48038.8223353715,48700.0965966072,46663.1878054268,48015.7345354575,40101.7199410368,40724.3119013249,40844.5503137561,42064.2736724259,40688.8839462377,43329.1497643951,46216.741193378,47816.3840415077,46675.2512672808,46755.6380204492,45273.7602086876,47330.6658633671,38774.7556267461,38465.7187528988,40370.4587566611,39420.0119910945,38259.4500985357,39299.9115998499,46670.5313779284,43365.5730761251,48201.5510446424,43841.7552227195,45442.897612597,44049.7147704261,38179.5392761486,39326.3354472853,33066.6968590655,33115.4630747749,44003.0257437573,38839.6779873868,40872.0868542178,41921.3943274474,40710.7896591027,40844.9741531112,37750.8466960413,39033.8854925695,33168.1678438911,34416.9721263759,37486.1081442582,35836.6308548398,38574.3567000183,35868.295918907,48905.1346347598,54371.2505337804,50047.1116020374,49359.8800510393,49459.1833830911,47855.6077685444,41100.3207315809,40220.3475010532,41882.2965764572,43178.2405047215,41535.0964855671,42242.2511946284
,66,33439.3550222383,35004.8130988797,34483.8894720397,31929.7439917312,31602.6114459626,30973.8953327254,35141.0516855892,31489.3187918474,32188.6722059234,30974.8244652658,32755.0132028388,33711.837862392,33876.0191631123,34172.1787767305,37603.1826073838,35515.1141266996,36715.7871395562,36693.5430379257,32548.3536965066,29430.007370897,30145.7713697308,29355.0512608848,29680.1418690641,30317.0419826971,37640.7528393225,38426.7730107785,38352.3186113727,38496.6570196328,39959.6013514067,39990.1855503509,28751.045497067,28989.8511351136,33247.1063110351,30840.0534022874,29616.2000112476,29441.8444253286,49974.9732121016,46981.4729736679,47569.5367689495,48218.6713810211,46211.6783767553,47546.9690469636,39675.1708708961,40291.5632528422,40418.0012129414,41620.3434693536,40208.4286619084,42820.8617094018,45684.572521804,47297.7792487655,46190.626561883,46277.1093049171,44832.1785969361,46863.9078113539,38359.1832363826,38065.4867944258,39944.6141801169,38997.1004426968,37793.1386994435,38827.3921854326,45894.0622227291,42871.9899974876,47661.1173040985,43380.999573457,44979.9435231739,43595.8823621006,37759.4171793564,38895.4898838123,32709.6417571837,32744.984110318,43462.4749398208,38363.2822239062,40381.2473367982,41432.73788207,40258.3964808524,40384.7282381463,37328.1838338135,38587.0539692714,32769.685239071,34030.9434811267,37088.6031483824,35424.3184158049,38101.8906284033,35432.9844289349,48347.6310196944,53518.1286900469,49480.5016206759,48785.0091227266,48860.9441289133,47306.0493148507,40618.0396984981,39736.4859384119,41389.1297429142,42650.6415547151,41029.2037756279,41723.3546005546
,66.5,33010.4137547155,34436.5076160182,33957.0047738903,31527.445553312,31075.2174865897,30612.3593389627,34754.4123619528,31121.044644021,31785.4115231872,30575.4670579035,32351.4882517277,33295.5214008306,33427.3342976647,33744.8052817199,37171.2883798055,35091.349214355,36323.6001198168,36269.7566032319,32170.8202422302,29113.3780910008,29819.265053277,28992.282255104,29321.7958273083,29947.4906038562,36986.6847459199,37987.249750057,37931.7429779261,38071.9317669598,39544.820507481,39571.2204852054,28426.8799266119,28677.0405078434,32898.0139099078,30504.5220438161,29242.3590952908,29073.8594272578,49176.3358437559,46485.4507675364,47100.2512025275,47737.246165435,45760.1689480838,47078.2035584696,39248.6218007554,39858.8146043596,39991.4521121267,41176.4132662813,39727.973377579,42312.5736544086,45152.40385023,46779.1744560233,45706.0018564852,45798.580589385,44390.5969851847,46397.1497593408,37943.6108460192,37665.2548359527,39518.7696035727,38574.1888942992,37326.8273003513,38354.8727710152,45117.5930675298,42378.40691885,47120.6835635547,42920.2439241946,44516.9894337509,43142.0499537751,37339.2950825643,38464.6443203393,32352.5866553019,32374.5051458611,42921.9241358843,37886.8864604255,39890.4078193786,40944.0814366926,39806.003302602,39924.4823231814,36905.5209715858,38140.2224459733,32371.2026342508,33644.9148358775,36691.0981525067,35012.0059767699,37629.4245567883,34997.6729389629,47790.1274046291,52665.0068463134,48913.8916393144,48210.1381944139,48262.7048747356,46756.4908611571,40135.7586654154,39252.6243757707,40895.9629093712,42123.0426047088,40523.3110656886,41204.4580064807
,67,32581.4724871928,33868.2021331566,33430.120075741,31125.1471148928,30547.8235272168,30250.8233451999,34367.7730383165,30752.7704961947,31382.1508404509,30176.1096505411,31947.9633006165,32879.2049392691,32978.6494322171,33317.4317867092,36739.3941522273,34667.5843020103,35931.4131000773,35845.970168538,31793.2867879538,28796.7488111045,29492.7587368231,28629.5132493233,28963.4497855525,29577.9392250152,36332.6166525174,37547.7264893356,37511.1673444795,37647.2065142866,39130.0396635553,39152.25542006,28102.7143561568,28364.2298805732,32548.9215087805,30168.9906853448,28868.5181793341,28705.874429187,48377.6984754103,45989.428561405,46630.9656361055,47255.8209498489,45308.6595194123,46609.4380699756,38822.0727306146,39426.065955877,39564.9030113121,40732.483063209,39247.5180932497,41804.2855994154,44620.235178656,46260.5696632811,45221.3771510874,45320.0518738529,43949.0153734333,45930.3917073276,37528.0384556557,37265.0228774797,39092.9250270285,38151.2773459015,36860.5159012592,37882.3533565979,44341.1239123305,41884.8238402125,46580.2498230109,42459.4882749322,44054.0353443278,42688.2175454496,36919.1729857722,38033.7987568664,31995.5315534201,32004.0261814042,42381.3733319478,37410.4906969448,39399.5683019591,40455.4249913152,39353.6101243517,39464.2364082165,36482.858109358,37693.3909226751,31972.7200294307,33258.8861906284,36293.5931566309,34599.693537735,37156.9584851733,34562.3614489908,47232.6237895637,51811.8850025799,48347.2816579529,47635.2672661012,47664.4656205578,46206.9324074634,39653.4776323327,38768.7628131295,40402.7960758283,41595.4436547024,40017.4183557493,40685.5614124068
,67.5,32152.5312196696,33299.8966502941,32903.2353775919,30722.8486764734,30020.4295678436,29889.2873514371,33981.1337146797,30384.4963483686,30978.8901577146,29776.7522431784,31544.4383495048,32462.8884777078,32529.9645667701,32890.0582916983,36307.4999246486,34243.8193896657,35539.2260803375,35422.1837338446,31415.7533336772,28480.1195312082,29166.2524203691,28266.7442435427,28605.1037437968,29208.3878461746,35678.5485591151,37108.2032286149,37090.5917110326,37222.4812616137,38715.2588196294,38733.2903549145,27778.5487857014,28051.4192533028,32199.8291076528,29833.4593268738,28494.6772633777,28337.8894311161,47579.0611070638,45493.4063552741,46161.6800696827,46774.3957342633,44857.1500907402,46140.6725814823,38395.5236604734,38993.3173073947,39138.3539104971,40288.5528601369,38767.062808921,41295.997544422,44088.0665070812,45741.9648705391,44736.7524456898,44841.5231583203,43507.4337616819,45463.6336553149,37112.4660652926,36864.7909190064,38667.0804504844,37728.3657975031,36394.2045021669,37409.8339421803,43564.6547571319,41391.2407615753,46039.8160824665,41998.7326256696,43591.0812549051,42234.3851371246,36499.0508889807,37602.9531933933,31638.476451538,31633.547216947,41840.8225280119,36934.0949334645,38908.7287845391,39966.768545938,38901.2169461009,39003.9904932513,36060.1952471302,37246.5593993768,31574.23742461,32872.8575453795,35896.0881607553,34187.3810986999,36684.4924135583,34127.0499590187,46675.1201744978,50958.7631588466,47780.6716765909,47060.3963377884,47066.2263663797,45657.3739537699,39171.19659925,38284.9012504887,39909.6292422849,41067.8447046966,39511.5256458103,40166.6648183323
,68,31723.5899521468,32731.5911674325,32376.3506794426,30320.5502380542,29493.0356084707,29527.7513576743,33594.4943910434,30016.2222005422,30575.6294749783,29377.394835816,31140.9133983936,32046.5720161464,32081.2797013225,32462.6847966876,35875.6056970704,33820.0544773211,35147.0390605981,34998.3972991508,31038.2198794008,28163.490251312,28839.7461039153,27903.975237762,28246.757702041,28838.8364673337,35024.4804657126,36668.6799678935,36670.0160775859,36797.7560089406,38300.4779757037,38314.3252897691,27454.3832152462,27738.6086260326,31850.7367065255,29497.9279684025,28120.8363474209,27969.9044330453,46780.4237387181,44997.3841491426,45692.3945032606,46292.9705186772,44405.6406620687,45671.9070929883,37968.9745903326,38560.5686589121,38711.8048096824,39844.6226570646,38286.6075245917,40787.7094894288,43555.8978355072,45223.3600777969,44252.127740292,44362.9944427881,43065.8521499305,44996.8756033017,36696.8936749291,36464.5589605334,38241.2358739402,37305.4542491054,35927.8931030747,36937.3145277629,42788.1856019326,40897.6576829378,45499.3823419227,41537.9769764072,43128.127165482,41780.5527287991,36078.9287921885,37172.1076299203,31281.4213496562,31263.0682524901,41300.2717240754,36457.6991699838,38417.8892671196,39478.1121005606,38448.8237678506,38543.7445782865,35637.5323849024,36799.7278760787,31175.7548197899,32486.8289001304,35498.5831648796,33775.068659665,36212.0263419433,33691.7384690466,46117.6165594324,50105.6413151131,47214.0616952293,46485.5254094757,46467.987112202,45107.8155000763,38688.9155661673,37801.0396878475,39416.462408742,40540.2457546903,39005.6329358711,39647.7682242584
,68.5,31292.6165932761,32167.6880898123,31848.2329147973,29916.1951281682,28969.9841371717,29161.9566532272,33194.3179705624,29643.0844516338,30169.5830500789,28975.5662594332,30733.2842985635,31626.38085919,31632.6975754578,32032.0941487749,35442.3459098343,33394.3072878993,34751.5445389168,34570.8135683726,30657.6661210457,27845.1046650936,28512.2618173984,27540.8772648091,27882.4738814023,28468.3769819978,34376.5878697864,36218.2317651444,36243.5295353781,36374.1174712382,37881.7833491617,37886.1745167519,27131.0512369237,27426.1456772206,31496.9848247473,29156.5828949195,27742.893560528,27598.9714993633,45988.4186343325,44489.3731556133,45221.2146313351,45807.2934700166,43946.8799955136,45197.1345866756,37540.7429736185,38124.5680565848,38276.5254105873,39393.2918677719,37800.105579248,40274.3744801657,43017.5133328897,44693.1078846669,43763.5743834981,43881.7015377393,42616.6678132693,44525.9695710953,36280.998540669,36060.182979652,37806.78495813,36879.6157428102,35455.0024633731,36460.9284381441,42019.876538185,40396.4089964696,44954.9325211567,41076.5148156633,42654.2165858037,41325.1623045519,35657.4234101276,36736.6938085276,30919.2285770223,30888.7470461814,40750.9855085418,35976.9996537692,37920.1603869868,38979.5313215205,37988.4842043651,38076.1799711081,35203.8166234679,36341.8308283035,30770.3633556969,32093.2628648698,35084.5771684909,33352.3356085496,35731.3979580335,33251.7253141537,45550.8175729224,49260.8379530091,46635.6366747566,45903.6631956823,45861.4532355753,44548.6049568314,38197.92680767,37309.2233769175,38910.1359058224,39994.546678007,38492.4851066886,39124.7434443385
,69,30858.1691578755,31608.4437217264,31320.8084358881,29506.4788810154,28450.5714044814,28789.8898068854,32776.4639816095,29262.4534383958,29758.5787380267,28570.1094235409,30320.4939565206,31200.1549613339,31183.274904149,31598.4205779193,35003.5568649391,32963.6046611875,34346.8471762304,34137.2218749578,30271.8070244843,27520.9036677512,28178.2709480749,27174.300527118,27513.3470431883,28094.1554767161,33735.29088742,35755.4896734047,35814.3488405151,35943.8368649739,37451.5124683077,37442.252376604,26803.7126209779,27108.9865733562,31132.106974193,28803.3442479197,27360.7981844924,27222.1059298747,45203.0257872087,43968.1208332693,44738.4012185459,45310.9970442194,43469.81997058,44706.4641569621,37104.1110494172,37677.2797912809,37826.7914862267,38926.2722116714,37306.0859364735,39754.9458849178,42473.5492003905,44151.9938045707,43261.7418236007,43393.6103864699,42153.6173570258,44040.7285315859,35858.567028992,35646.1051461358,37358.7087828368,36440.5483381304,34976.5585707354,35978.2630013467,41260.2356811158,39888.2072047165,44398.8369435255,40608.5527485086,42165.0064328948,40861.7445765872,35229.3195602954,36293.1164451237,30545.7768722073,30502.4037742019,40194.5030471571,35490.3923645745,37414.2225362897,38470.6308138079,37516.2063687006,37597.1307696403,34754.5566087131,35871.5622034988,30357.6362175499,31688.2907149369,34652.7475866962,32917.5506578283,35241.9059515845,32806.8133219071,44975.6732131734,48424.0152259392,46045.7564104931,45314.4113298442,45246.3757841538,43980.8928027772,37697.2041311616,36810.784931348,38392.9545385362,39437.535384417,37971.3375610759,38596.5206754657
,69.5,30421.8160506137,31054.1462788723,30794.8208395593,29094.1764161876,27936.6506882376,28412.9320218228,32341.033501707,28875.7376447461,29344.7126890822,28162.1705070194,29902.7721690384,30771.3363317694,30732.5994468623,31161.1466091237,34557.9142100498,32527.9728929975,33930.7433018972,33697.2959975813,29880.06402182,27188.218840555,27834.616372367,26805.0159490588,27138.6535378121,27716.3758787499,33101.0423594956,35281.6548622442,35375.8889271399,35505.8424285536,37004.3435088057,36979.6696547915,26470.5989626242,26783.9205749888,30753.673468519,28436.4455822671,26974.68932106,26841.5621069934,44425.0767496846,43434.0265783583,44239.3635050049,44797.1086977903,42971.1624623413,44194.6314453297,36653.967326241,37215.5735550206,37358.9258782854,38441.0505109896,36804.0321325072,39229.4340232229,41924.0137791131,43597.8186271669,42741.3766586153,42891.768090483,41670.674699454,43536.6260065256,35425.6368868703,35218.4536801569,36892.9308270427,35984.5105591191,34493.2722938198,35490.5597556656,40510.2432551828,39373.4577095959,43830.1472910471,40129.3263359344,41657.2969188632,40383.7922611715,34789.5703009837,35836.4939509983,30158.4992190119,30103.6034394446,39631.5173712767,34999.9179382698,36900.6337555528,37953.0193354376,37033.3010520969,37105.1120598472,34287.8103623513,35389.4461504053,29939.8999854221,31270.5096933428,34203.3506897016,32473.153595929,34744.9854750305,32357.0917610947,44392.5130473524,47594.1561311377,45446.9895016137,44717.7663475836,44623.0270265939,43404.6787778665,37186.1117973284,36305.9379795227,37864.6142708007,38871.8267493661,37444.5297236991,38062.3809648178
