,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,30.5405628083275,30.5405628083275,0,NaN,NaN,NaN,0,55,
,A02,SYBR,,Unkn,,,30.5535055355283,30.5535055355283,0,NaN,NaN,NaN,0,55,
,A03,SYBR,,Unkn,,,31.0365857183149,31.0365857183149,0,NaN,NaN,NaN,0,55,
,A04,SYBR,,Unkn,,,30.8490883414774,30.8490883414774,0,NaN,NaN,NaN,0,55,
,A05,SYBR,,Unkn,,,31.3844401243007,31.3844401243007,0,NaN,NaN,NaN,0,55,
,A06,SYBR,,Unkn,,,31.0556449444096,31.0556449444096,0,NaN,NaN,NaN,0,55,
,A07,SYBR,,Unkn,,,30.6298921128422,30.6298921128422,0,NaN,NaN,NaN,0,55,
,A08,SYBR,,Unkn,,,30.9323537140467,30.9323537140467,0,NaN,NaN,NaN,0,55,
,A09,SYBR,,Unkn,,,30.9858411632356,30.9858411632356,0,NaN,NaN,NaN,0,55,
,A10,SYBR,,Unkn,,,30.7911649302544,30.7911649302544,0,NaN,NaN,NaN,0,55,
,A11,SYBR,,Unkn,,,30.3953112656254,30.3953112656254,0,NaN,NaN,NaN,0,55,
,A12,SYBR,,Unkn,,,30.1053664814951,30.1053664814951,0,NaN,NaN,NaN,0,55,
,B01,SYBR,,Unkn,,,29.9818358033101,29.9818358033101,0,NaN,NaN,NaN,0,55,
,B02,SYBR,,Unkn,,,29.8035264814832,29.8035264814832,0,NaN,NaN,NaN,0,55,
,B03,SYBR,,Unkn,,,29.148833761616,29.148833761616,0,NaN,NaN,NaN,0,55,
,B04,SYBR,,Unkn,,,29.2094991924063,29.2094991924063,0,NaN,NaN,NaN,0,55,
,B05,SYBR,,Unkn,,,28.637424202034,28.637424202034,0,NaN,NaN,NaN,0,55,
,B06,SYBR,,Unkn,,,28.5222119834731,28.5222119834731,0,NaN,NaN,NaN,0,55,
,B07,SYBR,,Unkn,,,31.0814944269557,31.0814944269557,0,NaN,NaN,NaN,0,55,
,B08,SYBR,,Unkn,,,32.0988950630778,32.0988950630778,0,NaN,NaN,NaN,0,55,
,B09,SYBR,,Unkn,,,31.6114967582045,31.6114967582045,0,NaN,NaN,NaN,0,55,
,B10,SYBR,,Unkn,,,32.1281911047185,32.1281911047185,0,NaN,NaN,NaN,0,55,
,B11,SYBR,,Unkn,,,32.0963979536704,32.0963979536704,0,NaN,NaN,NaN,0,55,
,B12,SYBR,,Unkn,,,32.1089302823328,32.1089302823328,0,NaN,NaN,NaN,0,55,
,C01,SYBR,,Unkn,,,29.0737465345054,29.0737465345054,0,NaN,NaN,NaN,0,55,
,C02,SYBR,,Unkn,,,29.390333625085,29.390333625085,0,NaN,NaN,NaN,0,55,
,C03,SYBR,,Unkn,,,28.6894044162905,28.6894044162905,0,NaN,NaN,NaN,0,55,
,C04,SYBR,,Unkn,,,28.7061870485516,28.7061870485516,0,NaN,NaN,NaN,0,55,
,C05,SYBR,,Unkn,,,27.8031400304902,27.8031400304902,0,NaN,NaN,NaN,0,55,
,C06,SYBR,,Unkn,,,28.0334214291409,28.0334214291409,0,NaN,NaN,NaN,0,55,
,C07,SYBR,,Unkn,,,32.5837921763167,32.5837921763167,0,NaN,NaN,NaN,0,55,
,C08,SYBR,,Unkn,,,32.2700672483313,32.2700672483313,0,NaN,NaN,NaN,0,55,
,C09,SYBR,,Unkn,,,31.4510429461222,31.4510429461222,0,NaN,NaN,NaN,0,55,
,C10,SYBR,,Unkn,,,32.404512067984,32.404512067984,0,NaN,NaN,NaN,0,55,
,C11,SYBR,,Unkn,,,32.222849175371,32.222849175371,0,NaN,NaN,NaN,0,55,
,C12,SYBR,,Unkn,,,32.1919278869268,32.1919278869268,0,NaN,NaN,NaN,0,55,
,D01,SYBR,,Unkn,,,23.1511950641078,23.1511950641078,0,NaN,NaN,NaN,0,55,
,D02,SYBR,,Unkn,,,23.3635391244028,23.3635391244028,0,NaN,NaN,NaN,0,55,
,D03,SYBR,,Unkn,,,23.1674602128989,23.1674602128989,0,NaN,NaN,NaN,0,55,
,D04,SYBR,,Unkn,,,23.098708278055,23.098708278055,0,NaN,NaN,NaN,0,55,
,D05,SYBR,,Unkn,,,23.5676323131481,23.5676323131481,0,NaN,NaN,NaN,0,55,
,D06,SYBR,,Unkn,,,23.5929569798427,23.5929569798427,0,NaN,NaN,NaN,0,55,
,D07,SYBR,,Unkn,,,27.97255801261,27.97255801261,0,NaN,NaN,NaN,0,55,
,D08,SYBR,,Unkn,,,27.7824952665805,27.7824952665805,0,NaN,NaN,NaN,0,55,
,D09,SYBR,,Unkn,,,28.1929625980532,28.1929625980532,0,NaN,NaN,NaN,0,55,
,D10,SYBR,,Unkn,,,28.1969217832848,28.1969217832848,0,NaN,NaN,NaN,0,55,
,D11,SYBR,,Unkn,,,27.1129314742216,27.1129314742216,0,NaN,NaN,NaN,0,55,
,D12,SYBR,,Unkn,,,26.9283740753436,26.9283740753436,0,NaN,NaN,NaN,0,55,
,E01,SYBR,,Unkn,,,24.4257451092744,24.4257451092744,0,NaN,NaN,NaN,0,55,
,E02,SYBR,,Unkn,,,24.4036388282711,24.4036388282711,0,NaN,NaN,NaN,0,55,
,E03,SYBR,,Unkn,,,24.1694595416445,24.1694595416445,0,NaN,NaN,NaN,0,55,
,E04,SYBR,,Unkn,,,24.0719536841132,24.0719536841132,0,NaN,NaN,NaN,0,55,
,E05,SYBR,,Unkn,,,24.3015599369384,24.3015599369384,0,NaN,NaN,NaN,0,55,
,E06,SYBR,,Unkn,,,24.1755022148748,24.1755022148748,0,NaN,NaN,NaN,0,55,
,E07,SYBR,,Unkn,,,28.6138806719899,28.6138806719899,0,NaN,NaN,NaN,0,55,
,E08,SYBR,,Unkn,,,28.8362230674674,28.8362230674674,0,NaN,NaN,NaN,0,55,
,E09,SYBR,,Unkn,,,28.5910843662758,28.5910843662758,0,NaN,NaN,NaN,0,55,
,E10,SYBR,,Unkn,,,28.8853628004098,28.8853628004098,0,NaN,NaN,NaN,0,55,
,E11,SYBR,,Unkn,,,28.9504412927677,28.9504412927677,0,NaN,NaN,NaN,0,55,
,E12,SYBR,,Unkn,,,28.7717375628262,28.7717375628262,0,NaN,NaN,NaN,0,55,
,F01,SYBR,,Unkn,,,25.6794925952926,25.6794925952926,0,NaN,NaN,NaN,0,55,
,F02,SYBR,,Unkn,,,26.0542579946168,26.0542579946168,0,NaN,NaN,NaN,0,55,
,F03,SYBR,,Unkn,,,25.9652341463234,25.9652341463234,0,NaN,NaN,NaN,0,55,
,F04,SYBR,,Unkn,,,26.0891456947705,26.0891456947705,0,NaN,NaN,NaN,0,55,
,F05,SYBR,,Unkn,,,25.8674028473635,25.8674028473635,0,NaN,NaN,NaN,0,55,
,F06,SYBR,,Unkn,,,25.8916047689558,25.8916047689558,0,NaN,NaN,NaN,0,55,
,F07,SYBR,,Unkn,,,29.3295844460527,29.3295844460527,0,NaN,NaN,NaN,0,55,
,F08,SYBR,,Unkn,,,29.2407732398997,29.2407732398997,0,NaN,NaN,NaN,0,55,
,F09,SYBR,,Unkn,,,31.6459310834856,31.6459310834856,0,NaN,NaN,NaN,0,55,
,F10,SYBR,,Unkn,,,31.4609432830481,31.4609432830481,0,NaN,NaN,NaN,0,55,
,F11,SYBR,,Unkn,,,28.4726838192558,28.4726838192558,0,NaN,NaN,NaN,0,55,
,F12,SYBR,,Unkn,,,29.0077391612136,29.0077391612136,0,NaN,NaN,NaN,0,55,
,G01,SYBR,,Unkn,,,29.0168052332761,29.0168052332761,0,NaN,NaN,NaN,0,55,
,G02,SYBR,,Unkn,,,29.2120498973198,29.2120498973198,0,NaN,NaN,NaN,0,55,
,G03,SYBR,,Unkn,,,29.353828408656,29.353828408656,0,NaN,NaN,NaN,0,55,
,G04,SYBR,,Unkn,,,29.3950550152028,29.3950550152028,0,NaN,NaN,NaN,0,55,
,G05,SYBR,,Unkn,,,30.7543621883304,30.7543621883304,0,NaN,NaN,NaN,0,55,
,G06,SYBR,,Unkn,,,30.2681858964816,30.2681858964816,0,NaN,NaN,NaN,0,55,
,G07,SYBR,,Unkn,,,31.9376432352669,31.9376432352669,0,NaN,NaN,NaN,0,55,
,G08,SYBR,,Unkn,,,31.9916938764091,31.9916938764091,0,NaN,NaN,NaN,0,55,
,G09,SYBR,,Unkn,,,30.939999975401,30.939999975401,0,NaN,NaN,NaN,0,55,
,G10,SYBR,,Unkn,,,31.1498869749639,31.1498869749639,0,NaN,NaN,NaN,0,55,
,G11,SYBR,,Unkn,,,31.3695414227404,31.3695414227404,0,NaN,NaN,NaN,0,55,
,G12,SYBR,,Unkn,,,31.213103038889,31.213103038889,0,NaN,NaN,NaN,0,55,
,H01,SYBR,,Unkn,,,24.4279502189252,24.4279502189252,0,NaN,NaN,NaN,0,55,
,H02,SYBR,,Unkn,,,24.1280957394164,24.1280957394164,0,NaN,NaN,NaN,0,55,
,H03,SYBR,,Unkn,,,24.2069089141757,24.2069089141757,0,NaN,NaN,NaN,0,55,
,H04,SYBR,,Unkn,,,24.0908091708517,24.0908091708517,0,NaN,NaN,NaN,0,55,
,H05,SYBR,,Unkn,,,26.0752424035522,26.0752424035522,0,NaN,NaN,NaN,0,55,
,H06,SYBR,,Unkn,,,26.0941135978788,26.0941135978788,0,NaN,NaN,NaN,0,55,
,H07,SYBR,,Unkn,,,29.2316439693778,29.2316439693778,0,NaN,NaN,NaN,0,55,
,H08,SYBR,,Unkn,,,29.243459387226,29.243459387226,0,NaN,NaN,NaN,0,55,
,H09,SYBR,,Unkn,,,29.4967305002188,29.4967305002188,0,NaN,NaN,NaN,0,55,
,H10,SYBR,,Unkn,,,29.2528284960936,29.2528284960936,0,NaN,NaN,NaN,0,55,
,H11,SYBR,,Unkn,,,29.1757073025071,29.1757073025071,0,NaN,NaN,NaN,0,55,
,H12,SYBR,,Unkn,,,28.8040699489324,28.8040699489324,0,NaN,NaN,NaN,0,55,
