,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,30.5405628083275,30.5535055355283,31.0365857183149,30.8490883414774,31.3844401243007,31.0556449444096,30.6298921128422,30.9323537140467,30.9858411632356,30.7911649302544,30.3953112656254,30.1053664814951
A,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,29.9818358033101,29.8035264814832,29.148833761616,29.2094991924063,28.637424202034,28.5222119834731,31.0814944269557,32.0988950630778,31.6114967582045,32.1281911047185,32.0963979536704,32.1089302823328
B,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,29.0737465345054,29.390333625085,28.6894044162905,28.7061870485516,27.8031400304902,28.0334214291409,32.5837921763167,32.2700672483313,31.4510429461222,32.404512067984,32.222849175371,32.1919278869268
C,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,23.1511950641078,23.3635391244028,23.1674602128989,23.098708278055,23.5676323131481,23.5929569798427,27.97255801261,27.7824952665805,28.1929625980532,28.1969217832848,27.1129314742216,26.9283740753436
D,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,24.4257451092744,24.4036388282711,24.1694595416445,24.0719536841132,24.3015599369384,24.1755022148748,28.6138806719899,28.8362230674674,28.5910843662758,28.8853628004098,28.9504412927677,28.7717375628262
E,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,25.6794925952926,26.0542579946168,25.9652341463234,26.0891456947705,25.8674028473635,25.8916047689558,29.3295844460527,29.2407732398997,31.6459310834856,31.4609432830481,28.4726838192558,29.0077391612136
F,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,29.0168052332761,29.2120498973198,29.353828408656,29.3950550152028,30.7543621883304,30.2681858964816,31.9376432352669,31.9916938764091,30.939999975401,31.1498869749639,31.3695414227404,31.213103038889
G,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,24.4279502189252,24.1280957394164,24.2069089141757,24.0908091708517,26.0752424035522,26.0941135978788,29.2316439693778,29.243459387226,29.4967305002188,29.2528284960936,29.1757073025071,28.8040699489324
H,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
