,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,30.5405628083275,NaN
,A02,SYBR,,Unkn,,30.5535055355283,NaN
,A03,SYBR,,Unkn,,31.0365857183149,NaN
,A04,SYBR,,Unkn,,30.8490883414774,NaN
,A05,SYBR,,Unkn,,31.3844401243007,NaN
,A06,SYBR,,Unkn,,31.0556449444096,NaN
,A07,SYBR,,Unkn,,30.6298921128422,NaN
,A08,SYBR,,Unkn,,30.9323537140467,NaN
,A09,SYBR,,Unkn,,30.9858411632356,NaN
,A10,SYBR,,Unkn,,30.7911649302544,NaN
,A11,SYBR,,Unkn,,30.3953112656254,NaN
,A12,SYBR,,Unkn,,30.1053664814951,NaN
,B01,SYBR,,Unkn,,29.9818358033101,NaN
,B02,SYBR,,Unkn,,29.8035264814832,NaN
,B03,SYBR,,Unkn,,29.148833761616,NaN
,B04,SYBR,,Unkn,,29.2094991924063,NaN
,B05,SYBR,,Unkn,,28.637424202034,NaN
,B06,SYBR,,Unkn,,28.5222119834731,NaN
,B07,SYBR,,Unkn,,31.0814944269557,NaN
,B08,SYBR,,Unkn,,32.0988950630778,NaN
,B09,SYBR,,Unkn,,31.6114967582045,NaN
,B10,SYBR,,Unkn,,32.1281911047185,NaN
,B11,SYBR,,Unkn,,32.0963979536704,NaN
,B12,SYBR,,Unkn,,32.1089302823328,NaN
,C01,SYBR,,Unkn,,29.0737465345054,NaN
,C02,SYBR,,Unkn,,29.390333625085,NaN
,C03,SYBR,,Unkn,,28.6894044162905,NaN
,C04,SYBR,,Unkn,,28.7061870485516,NaN
,C05,SYBR,,Unkn,,27.8031400304902,NaN
,C06,SYBR,,Unkn,,28.0334214291409,NaN
,C07,SYBR,,Unkn,,32.5837921763167,NaN
,C08,SYBR,,Unkn,,32.2700672483313,NaN
,C09,SYBR,,Unkn,,31.4510429461222,NaN
,C10,SYBR,,Unkn,,32.404512067984,NaN
,C11,SYBR,,Unkn,,32.222849175371,NaN
,C12,SYBR,,Unkn,,32.1919278869268,NaN
,D01,SYBR,,Unkn,,23.1511950641078,NaN
,D02,SYBR,,Unkn,,23.3635391244028,NaN
,D03,SYBR,,Unkn,,23.1674602128989,NaN
,D04,SYBR,,Unkn,,23.098708278055,NaN
,D05,SYBR,,Unkn,,23.5676323131481,NaN
,D06,SYBR,,Unkn,,23.5929569798427,NaN
,D07,SYBR,,Unkn,,27.97255801261,NaN
,D08,SYBR,,Unkn,,27.7824952665805,NaN
,D09,SYBR,,Unkn,,28.1929625980532,NaN
,D10,SYBR,,Unkn,,28.1969217832848,NaN
,D11,SYBR,,Unkn,,27.1129314742216,NaN
,D12,SYBR,,Unkn,,26.9283740753436,NaN
,E01,SYBR,,Unkn,,24.4257451092744,NaN
,E02,SYBR,,Unkn,,24.4036388282711,NaN
,E03,SYBR,,Unkn,,24.1694595416445,NaN
,E04,SYBR,,Unkn,,24.0719536841132,NaN
,E05,SYBR,,Unkn,,24.3015599369384,NaN
,E06,SYBR,,Unkn,,24.1755022148748,NaN
,E07,SYBR,,Unkn,,28.6138806719899,NaN
,E08,SYBR,,Unkn,,28.8362230674674,NaN
,E09,SYBR,,Unkn,,28.5910843662758,NaN
,E10,SYBR,,Unkn,,28.8853628004098,NaN
,E11,SYBR,,Unkn,,28.9504412927677,NaN
,E12,SYBR,,Unkn,,28.7717375628262,NaN
,F01,SYBR,,Unkn,,25.6794925952926,NaN
,F02,SYBR,,Unkn,,26.0542579946168,NaN
,F03,SYBR,,Unkn,,25.9652341463234,NaN
,F04,SYBR,,Unkn,,26.0891456947705,NaN
,F05,SYBR,,Unkn,,25.8674028473635,NaN
,F06,SYBR,,Unkn,,25.8916047689558,NaN
,F07,SYBR,,Unkn,,29.3295844460527,NaN
,F08,SYBR,,Unkn,,29.2407732398997,NaN
,F09,SYBR,,Unkn,,31.6459310834856,NaN
,F10,SYBR,,Unkn,,31.4609432830481,NaN
,F11,SYBR,,Unkn,,28.4726838192558,NaN
,F12,SYBR,,Unkn,,29.0077391612136,NaN
,G01,SYBR,,Unkn,,29.0168052332761,NaN
,G02,SYBR,,Unkn,,29.2120498973198,NaN
,G03,SYBR,,Unkn,,29.353828408656,NaN
,G04,SYBR,,Unkn,,29.3950550152028,NaN
,G05,SYBR,,Unkn,,30.7543621883304,NaN
,G06,SYBR,,Unkn,,30.2681858964816,NaN
,G07,SYBR,,Unkn,,31.9376432352669,NaN
,G08,SYBR,,Unkn,,31.9916938764091,NaN
,G09,SYBR,,Unkn,,30.939999975401,NaN
,G10,SYBR,,Unkn,,31.1498869749639,NaN
,G11,SYBR,,Unkn,,31.3695414227404,NaN
,G12,SYBR,,Unkn,,31.213103038889,NaN
,H01,SYBR,,Unkn,,24.4279502189252,NaN
,H02,SYBR,,Unkn,,24.1280957394164,NaN
,H03,SYBR,,Unkn,,24.2069089141757,NaN
,H04,SYBR,,Unkn,,24.0908091708517,NaN
,H05,SYBR,,Unkn,,26.0752424035522,NaN
,H06,SYBR,,Unkn,,26.0941135978788,NaN
,H07,SYBR,,Unkn,,29.2316439693778,NaN
,H08,SYBR,,Unkn,,29.243459387226,NaN
,H09,SYBR,,Unkn,,29.4967305002188,NaN
,H10,SYBR,,Unkn,,29.2528284960936,NaN
,H11,SYBR,,Unkn,,29.1757073025071,NaN
,H12,SYBR,,Unkn,,28.8040699489324,NaN
