,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,NTC,,3854.54259067796,,NTC,Unassigned,False
,A02,SYBR,,NTC,,4659.54320408909,,NTC,Unassigned,False
,A03,SYBR,,NTC,,-3.6834177500541,,NTC,Unassigned,False
,B01,SYBR,,Unkn,,42516.8829632989,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,,44693.8755431581,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,,44098.2202923589,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,,48123.6302533876,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,,43647.5023722606,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,,46964.004182483,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,,44364.4569642083,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,,47305.4638418947,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,,41917.3162625353,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,,46250.8456903015,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,,41139.6848268712,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,,45110.7734213867,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,,40385.4002909202,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,,46346.3672186498,,Unknown,Unassigned,False
