,Temperature,A1,A2,A3,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,65,244.461927586597,288.460545794623,19.9030073820315,580.391156617775,561.851225710738,609.557742545769,605.689980038687,585.632299615158,571.719817985624,602.682321460232,619.939967363312,588.176052530949,606.394864122834,596.842209560744,630.801158426219,591.030968900406,608.169626438072
,65.5,529.667509770954,624.997849221685,43.1231826610665,1257.51417267186,1217.34432237326,1320.7084421825,1312.32829008381,1268.86998249954,1238.72627230215,1305.81169649718,1343.20326262051,1274.38144715039,1313.85553893281,1293.15812071494,1366.73584325679,1280.56709928419,1317.7008572825
,66,488.92385517318,576.921091589244,39.8060147640597,1160.78231323557,1123.70245142147,1219.11548509155,1211.37996007734,1171.26459923038,1143.4396359712,1205.36464292047,1239.87993472663,1176.3521050619,1212.78972824566,1193.68441912147,1261.60231685241,1182.06193780077,1216.33925287619
,66.5,488.923855173208,576.921091589219,39.806014764059,1160.78231323553,1123.7024514214,1219.11548509167,1211.37996007749,1171.26459923036,1143.43963597122,1205.36464292043,1239.87993472663,1176.35210506183,1212.78972824561,1193.68441912138,1261.6023168524,1182.06193780087,1216.33925287618
,67,488.92385517304,576.921091589439,39.8060147640768,1160.78231323585,1123.70245142197,1219.11548509073,1211.37996007644,1171.26459923037,1143.43963597135,1205.36464292068,1239.87993472658,1176.35210506239,1212.78972824605,1193.68441912211,1261.60231685263,1182.06193780027,1216.33925287607
,67.5,489.544931676885,578.034233458183,40.0558776166747,1160.61536079312,1121.82592555763,1218.51612594813,1209.43842231465,1169.93925423935,1141.72272693107,1204.10266054162,1238.5075137868,1175.20217515325,1211.03090246504,1192.70874891077,1259.47577307912,1181.09612670457,1214.10246344547
,68,485.901447166832,571.211347199383,38.296680644271,1161.74656111432,1132.87033331359,1222.34780442357,1221.33392016862,1178.04480591789,1151.57596447647,1211.90801858342,1246.12027925495,1182.42744981151,1221.74916397202,1198.70033591041,1272.82355297098,1186.893590553,1227.44474465751
,68.5,477.297829504744,557.450247338996,36.6154752965371,1163.28487580784,1158.42425582876,1228.88682936003,1245.16451214017,1194.55789681139,1176.13137075617,1227.07619764011,1268.34086934518,1195.5243927708,1243.01402027849,1210.5550499093,1297.58995443104,1199.65950255996,1256.40131555488
,69,469.095989148161,547.001066249118,36.9898293036852,1162.42213063239,1184.85028271324,1232.13867792053,1264.81289271969,1207.49290323001,1205.34952491594,1238.11987356141,1288.28216002911,1204.5801727754,1265.92075926213,1220.91078043478,1311.562272405,1209.80072117995,1287.70221987732
,69.5,460.066915967258,536.611280391976,36.7800681132024,1163.33957195639,1209.99994789695,1234.52898095333,1284.4439209533,1217.80159216244,1237.08207069807,1249.28813789246,1308.85864237529,1212.64049556481,1291.65019979836,1228.43297187795,1321.51723062171,1219.03058498984,1324.1142046849
,70,451.189600110361,526.066300737928,36.5201713942974,1163.18851471488,1229.93118594421,1231.95981330996,1305.40321006072,1223.62763765449,1266.70648846906,1258.37568890221,1329.65310532679,1219.4377356082,1311.08132042578,1233.78707591787,1331.74830053303,1226.85139428761,1359.3879917023
,70.5,443.262867951747,516.621739717387,37.2961280366426,1160.46006182489,1246.44566837914,1226.76610976397,1323.14369806084,1226.2058140068,1291.17057948133,1263.06468677463,1346.22224122066,1224.72457292203,1327.3162598386,1239.95984029253,1338.15184118281,1235.06716779823,1391.21034302802
,71,434.895285979351,507.241419023832,38.3350299296403,1158.56697620918,1261.73013528777,1222.65833566123,1334.54990207252,1230.59498716123,1309.52501761795,1267.30959370683,1358.10098767454,1227.83778584442,1343.76809194226,1244.17871385841,1343.14720270777,1242.86976084154,1418.50583429233
,71.5,425.856569470028,496.993727395389,38.1554903766437,1155.97235871913,1268.95021504554,1218.72935095312,1343.72092667997,1233.86856645691,1322.67552312174,1271.98290804004,1365.01297881279,1230.05027820586,1354.50034282765,1245.98357394514,1350.80320948274,1248.02855036778,1436.76267748982
,72,417.285505418813,486.145945716538,38.1335292611798,1150.88337039317,1270.17878172733,1215.64008005246,1350.25006448158,1235.14262564471,1329.30995624162,1274.29268164483,1371.21879928255,1232.47200794908,1360.0482289474,1247.55727511178,1357.16381573583,1252.21597046259,1446.99343004065
,72.5,408.894995319049,474.665488597963,38.2766676704307,1145.68643697747,1269.49732298881,1212.44660305119,1349.25506012533,1237.27285407342,1330.10027831628,1274.4553814391,1374.75064258654,1231.99479550753,1364.27212936584,1249.27831675274,1359.31797892699,1255.05931846426,1452.4221343752
,73,399.045316120768,463.391789707325,38.3831049007763,1140.72976557309,1264.78800725842,1207.88281574071,1345.52417999451,1237.35501196573,1330.34497590285,1275.1112996037,1374.72259189432,1229.5563498647,1365.23509686659,1249.19891519719,1361.36281863752,1255.83788018393,1454.82692617959
,73.5,389.369309688201,453.196953175957,38.0962413163168,1135.7404619895,1258.36182988381,1202.79267844579,1343.94491545573,1234.03140834938,1330.90294771089,1274.33674391847,1372.74445383408,1229.44495674733,1362.84921107697,1248.70058099397,1362.09920835877,1255.00290517133,1458.09149459346
