,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,NTC,NTC,NTC,,,,,,,,,
A,Sample,,,,,,,,,,,,
A,Peak 1,None,None,None,,,,,,,,,
A,Peak 2,None,None,None,,,,,,,,,
B,Content,Unkn,Unkn,,,,,,,,,,
B,Sample,,,,,,,,,,,,
B,Peak 1,83.5,83.5,,,,,,,,,,
B,Peak 2,None,None,,,,,,,,,,
C,Content,Unkn,Unkn,,,,,,,,,,
C,Sample,,,,,,,,,,,,
C,Peak 1,83.5,83.5,,,,,,,,,,
C,Peak 2,None,None,,,,,,,,,,
D,Content,Unkn,Unkn,,,,,,,,,,
D,Sample,,,,,,,,,,,,
D,Peak 1,83.5,83.5,,,,,,,,,,
D,Peak 2,None,None,,,,,,,,,,
E,Content,Unkn,Unkn,,,,,,,,,,
E,Sample,,,,,,,,,,,,
E,Peak 1,83.5,83.5,,,,,,,,,,
E,Peak 2,None,None,,,,,,,,,,
F,Content,Unkn,Unkn,,,,,,,,,,
F,Sample,,,,,,,,,,,,
F,Peak 1,83.5,83.5,,,,,,,,,,
F,Peak 2,None,None,,,,,,,,,,
G,Content,Unkn,Unkn,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Peak 1,83.5,83.5,,,,,,,,,,
G,Peak 2,None,None,,,,,,,,,,
H,Content,Unkn,Unkn,,,,,,,,,,
H,Sample,,,,,,,,,,,,
H,Peak 1,83.5,83.5,,,,,,,,,,
H,Peak 2,None,None,,,,,,,,,,
