,Temperature,A1,A2,A3,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,65,15478.6745559895,17813.6466547386,6228.28096673915,47078.5586214576,49962.5049433408,49761.1131915743,54646.0440654483,50723.7707162119,54250.8301535246,51978.6249828206,54753.5629260354,50441.7511948756,54768.0780640295,50957.0815319982,54717.9910811341,49797.9146516753,56853.8364241564
,65.5,15234.2126284029,17525.186108944,6208.37795935712,46498.1674648398,49400.6537176301,49151.5554490286,54040.3540854096,50138.1384165967,53679.110335539,51375.9426613604,54133.622958672,49853.5751423447,54161.6831999066,50360.2393224375,54087.1899227078,49206.8836827749,56245.6667977183
,66,14989.7507008163,17236.7255631493,6188.47495197509,45917.776308222,48838.8024919193,48541.9977064828,53434.6641053709,49552.5061169815,53107.3905175534,50773.2603399002,53513.6829913087,49265.3990898137,53555.2883357838,49763.3971128767,53456.3887642816,48615.8527138745,55637.4971712802
,66.5,14745.2887732297,16948.2650173547,6168.57194459306,45337.3851516042,48276.9512662086,47932.439963937,52828.9741253323,48966.8738173663,52535.6706995678,50170.5780184399,52893.7430239454,48677.2230372828,52948.893471661,49166.554903316,52825.5876058554,48024.8217449741,55029.3275448421
,67,14500.8268456431,16659.8044715601,6148.66893721103,44756.9939949865,47715.1000404978,47322.8822213912,52223.2841452936,48381.2415177511,51963.9508815822,49567.8956969797,52273.8030565821,48089.0469847518,52342.4986075381,48569.7126937552,52194.7864474292,47433.7907760737,54421.1579184041
,67.5,14256.3649180567,16371.3439257653,6128.76592982899,44176.6028383684,47153.2488147867,46713.3244788461,51617.5941652557,47795.6092181359,51392.2310635964,48965.2133755193,51653.8630892188,47500.8709322204,51736.103743415,47972.870484194,51563.9852890028,46842.7598071737,53812.988291966
,68,14011.9029904701,16082.8833799707,6108.86292244696,43596.2116817506,46591.3975890759,46103.7667363004,51011.904185217,47209.9769185207,50820.5112456108,48362.531054059,51033.9231218555,46912.6948796895,51129.7088792921,47376.0282746332,50933.1841305766,46251.7288382733,53204.818665528
,68.5,13771.1675219066,15801.1016853885,6090.45909218052,43014.8188104764,46018.2872081792,45490.612838899,50394.5649786076,46616.3925489594,50238.4899733836,47752.2768383244,50405.7486288535,46317.6192477037,50512.7610604832,46773.3320438044,50289.6237095094,45654.9030027988,52583.2283025061
,69,13534.6563594433,15525.1346317422,6071.99431988893,42433.2011385361,45432.6291875194,44875.2759283553,49767.0541731205,46015.7769998465,49643.4779467383,47135.8515109212,49765.6090491897,45717.5982074869,49886.2521279163,46165.6071861016,49636.8351293076,45052.2978843925,51947.7464706697
,69.5,13302.1788468705,15254.0554239715,6053.509961144,41852.2277474996,44833.6471373072,44258.7189914457,49129.7811413245,45409.3572496105,49032.7528971533,46514.2342162577,49117.3957239634,45113.243911225,49246.5338540794,45552.832075397,48978.7330054375,44445.269191487,51294.8186264294
,70,13074.5695250705,14988.5196861292,6035.20884997691,41270.0159617303,44223.3787183797,43641.4480241972,48482.5108432708,44798.6519431098,48406.7117852639,45886.9093188938,48456.7928429093,44505.1732245128,48595.4157836346,44937.4932099821,48315.4321324318,43833.4626748585,50623.754576178
,70.5,12850.8743427282,14727.8498028363,6016.85574156355,40689.3748277684,43604.2831424432,43027.1634913547,47824.8818655299,44186.2016480402,47766.8531057769,45256.4681294597,47788.3708328619,43894.0623572996,47935.9715050196,44319.0180661165,47647.5031182327,43218.404836466,49935.9783746823
,71,12631.3579269674,14471.8874670879,5997.8815916111,40109.5088689765,42977.3043442725,42414.5908074869,47160.2792271275,43572.2980132109,47116.5185465421,44623.9769499504,47111.3285523387,43280.7721897323,47268.2412579927,43697.8175673651,46977.4858348676,42598.4914099505,49233.3524069074
,71.5,12416.0632697559,14220.7281099457,5978.66866243738,39530.9313764181,42343.7261547244,41804.457916347,46490.7904005431,42955.7606944601,46458.230464267,43989.1633853582,46431.0148467227,42666.3830705136,46593.0352079759,43075.1859762162,46304.0736720209,41975.9020790122,48518.863330432
,72,12205.4526571682,13974.9946571475,5959.72239654539,38953.870208183,41709.3036283564,41195.7534381037,45817.0785358117,42338.694237436,45794.8807588923,43352.3289283234,45746.5508798427,42050.7656452915,45914.533958938,42451.9087739301,45626.8797789838,41350.6591802767,47797.8692279294
,72.5,11998.7716011551,13734.6696876856,5940.51512329772,38380.0996937356,41073.9787053877,40588.8406420075,45141.6018950835,41720.5828405826,45129.803943309,42715.1814046838,45060.2273257712,41434.3116710082,45233.3151695483,41827.6491623073,44947.4739280591,40723.9183012827,47072.6890077972
,73,11796.737610674,13500.2957633067,5921.45445406091,37808.1556298753,40440.3974399426,39983.4930930853,44468.2715703404,41101.7309360598,44464.9661163277,42077.8771944243,44372.341180422,40819.0330413839,44550.7703242568,41202.8667067648,44267.6707775881,40095.9170108903,46345.9184060731
,73.5,11599.7128697162,13271.1298908068,5902.18512858412,37239.3333718215,39809.460585347,39381.054774507,43795.8650375249,40483.6914078911,43799.5149936476,41440.2818028001,43685.8411068765,40204.4910122977,43868.5589067209,40578.5193394105,43586.309534417,39468.3206347068,45617.7895618331
