,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,NTC,NTC,NTC,,,,,,,,,
A,Sample,,,,,,,,,,,,
A,Cq,36.314922036886,35.9089594261257,NaN,,,,,,,,,
A,,NaN,NaN,NaN,,,,,,,,,
B,Content,Unkn,Unkn,,,,,,,,,,
B,Sample,,,,,,,,,,,,
B,Cq,19.4012848153008,18.4136474121584,,,,,,,,,,
B,,NaN,NaN,,,,,,,,,,
C,Content,Unkn,Unkn,,,,,,,,,,
C,Sample,,,,,,,,,,,,
C,Cq,20.304528503694,19.1718801125475,,,,,,,,,,
C,,NaN,NaN,,,,,,,,,,
D,Content,Unkn,Unkn,,,,,,,,,,
D,Sample,,,,,,,,,,,,
D,Cq,21.3375025951557,20.3535518589011,,,,,,,,,,
D,,NaN,NaN,,,,,,,,,,
E,Content,Unkn,Unkn,,,,,,,,,,
E,Sample,,,,,,,,,,,,
E,Cq,21.8412123625686,21.0723753038111,,,,,,,,,,
E,,NaN,NaN,,,,,,,,,,
F,Content,Unkn,Unkn,,,,,,,,,,
F,Sample,,,,,,,,,,,,
F,Cq,22.7223320572383,21.541583543219,,,,,,,,,,
F,,NaN,NaN,,,,,,,,,,
G,Content,Unkn,Unkn,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Cq,23.5150076968268,22.600100725032,,,,,,,,,,
G,,NaN,NaN,,,,,,,,,,
H,Content,Unkn,Unkn,,,,,,,,,,
H,Sample,,,,,,,,,,,,
H,Cq,24.369027525264,23.1248237065133,,,,,,,,,,
H,,NaN,NaN,,,,,,,,,,
