,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,NTC,,36.314922036886,NaN
,A02,SYBR,,NTC,,35.9089594261257,NaN
,A03,SYBR,,NTC,,NaN,NaN
,B01,SYBR,,Unkn,,19.4012848153008,NaN
,B02,SYBR,,Unkn,,18.4136474121584,NaN
,C01,SYBR,,Unkn,,20.304528503694,NaN
,C02,SYBR,,Unkn,,19.1718801125475,NaN
,D01,SYBR,,Unkn,,21.3375025951557,NaN
,D02,SYBR,,Unkn,,20.3535518589011,NaN
,E01,SYBR,,Unkn,,21.8412123625686,NaN
,E02,SYBR,,Unkn,,21.0723753038111,NaN
,F01,SYBR,,Unkn,,22.7223320572383,NaN
,F02,SYBR,,Unkn,,21.541583543219,NaN
,G01,SYBR,,Unkn,,23.5150076968268,NaN
,G02,SYBR,,Unkn,,22.600100725032,NaN
,H01,SYBR,,Unkn,,24.369027525264,NaN
,H02,SYBR,,Unkn,,23.1248237065133,NaN
