,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,,23277.6209238456,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,,23997.2654569021,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,,27735.0797597558,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,,26291.3963582753,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,,23812.0783161087,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,,25593.9517732556,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,,-21.4260692325772,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,,-17.106968001319,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,,28286.3135291801,,Unknown,Unassigned,False
,A10,SYBR,,Unkn,,25.1565268266781,,Unknown,Unassigned,False
,A11,SYBR,,Unkn,,151.334375683528,,Unknown,Unassigned,False
,A12,SYBR,,Unkn,,50930.9732398899,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,,26246.7340403332,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,,26015.3213668679,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,,28181.5755557989,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,,30336.6002684046,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,,32947.7777242645,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,,33276.6155809734,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,,-13.4045254971559,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,,367.879365887908,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,,14084.1603283896,,Unknown,Unassigned,False
,B10,SYBR,,Unkn,,-13.9272243615558,,Unknown,Unassigned,False
,B11,SYBR,,Unkn,,-24.4983336343343,,Unknown,Unassigned,False
,B12,SYBR,,Unkn,,41186.5361905059,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,,32864.5328365256,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,,34073.9288080171,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,,35135.5784708872,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,,34252.4634477631,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,,36361.6995836554,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,,37322.1410364805,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,,-10.3027679991301,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,,-12.3208730977882,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,,47328.7792404625,,Unknown,Unassigned,False
,C10,SYBR,,Unkn,,112.850607456779,,Unknown,Unassigned,False
