,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Unkn,,81,4698.68205486506,75,88,
,A02,SYBR,,Unkn,,81,5051.66192087179,75,86,
,A03,SYBR,,Unkn,,81.5,4274.80224987904,76,93.5,
,A04,SYBR,,Unkn,,81,5081.51421419645,75,95,
,A05,SYBR,,Unkn,,81,5002.6243882121,75.5,95,
,A06,SYBR,,Unkn,,81,5346.0027342168,75,93.5,
,A07,SYBR,,Unkn,,None,None,None,None,
,A08,SYBR,,Unkn,,None,None,None,None,
,A09,SYBR,,Unkn,,83,6011.80331221961,76,86,
,A10,SYBR,,Unkn,,None,None,None,None,
,A11,SYBR,,Unkn,,None,None,None,None,
,A12,SYBR,,Unkn,,83,7420.43420448176,77,89,
,B01,SYBR,,Unkn,,81,5066.48379275757,75,93.5,
,B02,SYBR,,Unkn,,81,5198.90675930494,75,87,
,B03,SYBR,,Unkn,,81,5377.92052951977,74.5,94,
,B04,SYBR,,Unkn,,81,5722.27154395761,67.5,93,
,B05,SYBR,,Unkn,,81,5703.36343178332,74,85.5,
,B06,SYBR,,Unkn,,81,5876.25555074114,74.5,94,
,B07,SYBR,,Unkn,,None,None,None,None,
,B08,SYBR,,Unkn,,None,None,None,None,
,B09,SYBR,,Unkn,,80.5,4873.31496873846,76,84,
,B10,SYBR,,Unkn,,None,None,None,None,
,B11,SYBR,,Unkn,,None,None,None,None,
,B12,SYBR,,Unkn,,86.5,5426.21610873076,81,93.5,
,C01,SYBR,,Unkn,,81,5830.36330079579,75,86.5,
,C02,SYBR,,Unkn,,81,6090.92638025351,74.5,94,
,C03,SYBR,,Unkn,,81,6129.34516004962,74.5,94,
,C04,SYBR,,Unkn,,81,6059.47624613918,68,85.5,
,C05,SYBR,,Unkn,,81,6105.29414394476,74.5,92,
,C06,SYBR,,Unkn,,81,6283.65362047185,68,94,
,C07,SYBR,,Unkn,,None,None,None,None,
,C08,SYBR,,Unkn,,None,None,None,None,
,C09,SYBR,,Unkn,,83.5,8016.86610555149,67.5,94,
,C10,SYBR,,Unkn,,None,None,None,None,
,C11,SYBR,,Unkn,,None,None,None,None,
,C12,SYBR,,Unkn,,None,None,None,None,
,D01,SYBR,,Unkn,,81.5,4699.02153268025,75.5,95,
,D02,SYBR,,Unkn,,81,6135.36133085477,74.5,95,
,D03,SYBR,,Unkn,,81,6062.53592818015,67.5,87.5,
,D04,SYBR,,Unkn,,81,6115.79000696601,67.5,95,
,D05,SYBR,,Unkn,,81,5812.14322601011,74.5,88.5,
,D06,SYBR,,Unkn,,81,5822.80987670867,75,93,
,D07,SYBR,,Unkn,,None,None,None,None,
,D08,SYBR,,Unkn,,None,None,None,None,
,D09,SYBR,,Unkn,,84.5,4594.88543330484,81,93,
,D10,SYBR,,Unkn,,None,None,None,None,
,D11,SYBR,,Unkn,,None,None,None,None,
,D12,SYBR,,Unkn,,None,None,None,None,
,E01,SYBR,,Unkn,,81,5914.74714329927,75,86,
,E02,SYBR,,Unkn,,81,6453.09310539107,75,95,
,E03,SYBR,,Unkn,,81,6263.31398472898,74.5,93.5,
,E04,SYBR,,Unkn,,81,6437.03050926458,75,94,
,E05,SYBR,,Unkn,,81,5858.71128614888,75,93,
,E06,SYBR,,Unkn,,81,6345.19835137759,75,94,
,E07,SYBR,,Unkn,,None,None,None,None,
,E08,SYBR,,Unkn,,None,None,None,None,
,E09,SYBR,,Unkn,,81,5253.27944887502,75,92.5,
,E10,SYBR,,Unkn,,None,None,None,None,
,E11,SYBR,,Unkn,,None,None,None,None,
,E12,SYBR,,Unkn,,None,None,None,None,
,F01,SYBR,,Unkn,,81,6103.32541400181,74.5,86.5,
,F02,SYBR,,Unkn,,81,6378.98975560416,74.5,95,
,F03,SYBR,,Unkn,,81,6465.48703159424,67.5,94,
,F04,SYBR,,Unkn,,81,6778.21274638863,67.5,94,
,F05,SYBR,,Unkn,,81,6842.01539406232,67.5,95,
