,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,33880.6284884836,36064.3640717181,38664.3419673123,35928.0099276982,35549.9009711254,37666.3279239144,5907.15172973524,5486.20355494642,41095.9452617745,6438.17114329446,5458.47059644904,49260.5112235655,36000.9780820702,36675.2473811274,37481.9732714652,39417.6882856493,39913.6220188001,40609.9277035535,5742.94427017333,6665.56413280669,30949.814989083,5953.72434103105,5946.15390146427,44630.3064128298,40668.7240992606,42484.6562234206,42211.8054544545,41700.438398779,41749.8470537469,42588.9051880983,5551.90124795879,5723.00415400745,55170.7385625569,4850.68435348146,5042.99057748746,5032.11731037814,42490.0894891846,42514.7464199542,41481.4169121325,42087.1218124984,40402.8821345659,40319.6174447535,5769.68043196357,5731.20626866722,35678.4151514679,4910.55912522527,5001.69412189737,4896.31030388749,40808.3568067902,44111.8498951004,42907.7125991559,43935.3887291268,40670.5505864593,43173.3976689982,5602.94481401554,5551.97328403763,37500.0708162568,5077.88028855173,5030.67547042748,5091.56504260055,42440.4633530501,43829.8055682133,44114.226929138,46247.496451087,46578.7948147181,47019.3219731066,5602.10249946574,6083.15381727759,40019.0454815979,4964.72158865355,5019.20942447934,5065.97176833139,43620.0678825105,44725.9848630168,44897.5594348446,45187.7217837204,45872.7078456459,44022.1900721406,6035.83778187617,6079.69320962383,37490.1205719905,4814.52238039529,6704.95217281536,5293.42191251182,41558.6714887104,45793.1931120903,44916.5834169013,44937.8573187,44145.0987428225,43636.2406741323,5796.86757073872,5799.82742363766,6997.15120166291,4911.96186926064,5134.21001308507,6602.54478737858
,65.5,33400.8778777265,35586.6595744247,38004.449936475,35448.9718362265,35079.8275347317,37171.0668039111,5876.61795701697,5454.84253958128,40549.883785378,6408.57457640567,5442.6895182818,48701.9636623928,35495.979375116,36198.1388885294,37009.8834559758,38932.218355531,39429.7181892837,40100.8479008618,5721.40675371577,6628.90982602738,30570.0730539961,5914.58547167212,5904.48817753569,44031.0373220774,40111.1676113257,41939.1842329853,41689.7321895813,41198.3776108364,41252.9919167164,42090.1701772567,5532.46328303353,5702.72285723393,54613.2681246305,4844.14157764983,5034.92077405177,5024.85684516388,41754.2646578232,41998.9122269014,40984.6366006981,41577.8943359928,39911.117049527,39820.1977985828,5740.83183364574,5707.12286138087,35275.4419592465,4902.84684610571,4994.4640241297,4889.96058165232,40259.419331327,43552.4836577152,42371.508030062,43419.6299389939,40178.5835509743,42674.8691215255,5584.77755583235,5532.50264531681,37041.4697326762,5070.80223781052,5022.98963381318,5084.41695498163,41894.5796073537,43271.7625153907,43600.0983134142,45706.5162713392,46039.27829307,46465.8875864461,5580.11697632505,6058.44242103953,39674.2222089802,4957.03224659406,5012.02327586502,5058.49213816234,43043.0204637622,44140.9167732615,44318.1876525297,44626.8563074423,45314.6521942198,43453.2489466022,6006.58344267702,6054.4863879164,37038.2277848603,4807.00782605307,6692.98233985035,5285.82392609119,41015.7762449778,45196.5475768898,44328.7214607093,44322.6719727621,43569.9698020656,43042.5511847516,5776.12163778186,5773.53235258429,6945.27788443191,4905.31376437526,5126.49569766237,6590.88313949452
,66,32921.1272669693,35108.9550771314,37344.5579056377,34969.9337447549,34609.7540983379,36675.8056839078,5846.0841842987,5423.48152421613,40003.8223089815,6378.97800951687,5426.90844011455,48143.4161012201,34990.9806681619,35721.0303959313,36537.7936404863,38446.7484254128,38945.8143597672,39591.76809817,5699.8692372582,6592.25551924807,30190.3311189091,5875.44660231318,5862.82245360711,43431.7682313251,39553.6111233909,41393.71224255,41167.6589247082,40696.3168228938,40756.1367796858,41591.4351664151,5513.02531810827,5682.4415604604,54055.7976867041,4837.5988018182,5026.85097061608,5017.59637994962,41018.4398264617,41483.0780338487,40487.8562892637,41068.6668594872,39419.351964488,39320.7781524122,5711.98323532792,5683.03945409452,34872.4687670251,4895.13456698616,4987.23392636203,4883.61085941714,39710.4818558638,42993.11742033,41835.3034609682,42903.871148861,39686.6165154893,42176.3405740528,5566.61029764916,5513.03200659599,36582.8686490956,5063.7241870693,5015.30379719887,5077.26886736271,41348.6958616572,42713.7194625681,43085.9696976905,45165.5360915913,45499.7617714219,45912.4531997855,5558.13145318436,6033.73102480148,39329.3989363625,4949.34290453457,5004.83712725069,5051.01250799328,42465.9730450138,43555.8486835061,43738.8158702149,44065.9908311643,44756.5965427938,42884.3078210638,5977.32910347787,6029.27956620897,36586.3349977301,4799.49327171084,6681.01250688535,5278.22593967057,40472.8810012453,44599.9020416893,43740.8595045174,43707.4866268244,42994.8408613087,42448.861695371,5755.37570482501,5747.23728153092,6893.40456720091,4898.66565948988,5118.78138223967,6579.22149161047
,66.5,32441.3766562122,34631.250579838,36684.6658748004,34490.8956532832,34139.6806619442,36180.5445639045,5815.55041158043,5392.12050885098,39457.7608325849,6349.38144262808,5411.12736194731,47584.8685400474,34485.9819612077,35243.9219033333,36065.7038249968,37961.2784952945,38461.9105302507,39082.6882954783,5678.33172080064,6555.60121246877,29810.5891838221,5836.30773295424,5821.15672967853,42832.4991405727,38996.054635456,40848.2402521148,40645.585659835,40194.2560349512,40259.2816426552,41092.7001555734,5493.58735318302,5662.16026368688,53498.3272487777,4831.05602598657,5018.78116718039,5010.33591473535,40282.6149951003,40967.2438407959,39991.0759778293,40559.4393829816,38927.5868794491,38821.3585062415,5683.1346370101,5658.95604680816,34469.4955748037,4887.4222878666,4980.00382859437,4877.26113718197,39161.5443804007,42433.7511829448,41299.0988918744,42388.112358728,39194.6494800042,41677.8120265801,5548.44303946597,5493.56136787517,36124.267565515,5056.64613632809,5007.61796058456,5070.12077974379,40802.8121159607,42155.6764097455,42571.8410819667,44624.5559118435,44960.2452497738,45359.0188131249,5536.14593004367,6009.01962856343,38984.5756637447,4941.65356247509,4997.65097863637,5043.53287782423,41888.9256262655,42970.7805937508,43159.4440879,43505.1253548862,44198.5408913678,42315.3666955254,5948.07476427873,6004.07274450154,36134.4422105999,4791.97871736861,6669.04267392034,5270.62795324994,39929.9857575127,44003.2565064888,43152.9975483254,43092.3012808865,42419.7119205518,41855.1722059903,5734.62977186816,5720.94221047755,6841.53124996991,4892.0175546045,5111.06706681698,6567.55984372643
,67,31961.6260454551,34153.5460825446,36024.773843963,34011.8575618116,33669.6072255505,35685.2834439012,5785.01663886215,5360.75949348583,38911.6993561884,6319.78487573928,5395.34628378006,47026.3209788747,33980.9832542536,34766.8134107352,35593.6140095074,37475.8085651762,37978.0067007342,38573.6084927866,5656.79420434307,6518.94690568946,29430.8472487351,5797.1688635953,5779.49100574995,42233.2300498204,38438.4981475211,40302.7682616795,40123.5123949618,39692.1952470087,39762.4265056246,40593.9651447318,5474.14938825776,5641.87896691336,52940.8568108513,4824.51325015494,5010.7113637447,5003.07544952109,39546.7901637389,40451.4096477431,39494.2956663949,40050.2119064761,38435.8217944101,38321.9388600708,5654.28603869227,5634.87263952181,34066.5223825823,4879.71000874705,4972.7737308267,4870.91141494679,38612.6069049375,41874.3849455597,40762.8943227806,41872.3535685952,38702.6824445192,41179.2834791074,5530.27578128277,5474.09072915435,35665.6664819344,5049.56808558687,4999.93212397026,5062.97269212486,40256.9283702643,41597.6333569228,42057.7124662429,44083.5757320956,44420.7287281257,44805.5844264643,5514.16040690298,5984.30823232538,38639.752391127,4933.9642204156,4990.46483002205,5036.05324765518,41311.8782075171,42385.7125039954,42580.0723055851,42944.2598786082,43640.4852399417,41746.4255699871,5918.82042507958,5978.86592279411,35682.5494234696,4784.46416302638,6657.07284095533,5263.02996682931,39387.0905137801,43406.6109712883,42565.1355921334,42477.1159349487,41844.5829797949,41261.4827166096,5713.8838389113,5694.64713942418,6789.6579327389,4885.36944971912,5103.35275139428,6555.89819584238
,67.5,31481.8754346975,33675.8415852515,35364.8818131252,33532.8194703397,33199.5337891568,35190.0223238978,5754.48286614388,5329.39847812065,38365.6378797924,6290.18830885054,5379.56520561283,46467.7734177025,33475.9845473,34289.7049181375,35121.5241940181,36990.3386350583,37494.1028712176,38064.5286900946,5635.25668788549,6482.29259891018,29051.1053136481,5758.02999423637,5737.82528182131,41633.9609590682,37880.9416595864,39757.2962712441,39601.4391300888,39190.1344590657,39265.5713685945,40095.2301338904,5454.71142333244,5621.59767013981,52383.3863729253,4817.97047432324,5002.64156030907,4995.81498430675,38810.9653323771,39935.5754546904,38997.5153549608,39540.9844299706,37944.056709371,37822.5192138998,5625.43744037442,5610.78923223544,33663.5491903608,4871.99772962749,4965.54363305901,4864.56169271165,38063.6694294741,41315.0187081747,40226.689753687,41356.5947784621,38210.7154090342,40680.7549316348,5512.10852309961,5454.62009043357,35207.0653983541,5042.49003484559,4992.24628735593,5055.82460450589,39711.0446245676,41039.5903040996,41543.5838505193,43542.5955523483,43881.2122064776,44252.1500398038,5492.17488376231,5959.59683608732,38294.9291185086,4926.27487835613,4983.27868140769,5028.57361748612,40734.8307887685,41800.6444142396,42000.7005232706,42383.39440233,43082.4295885161,41177.4844444482,5889.56608588039,5953.65910108674,35230.6566363396,4776.94960868414,6645.10300799031,5255.4319804086,38844.1952700474,42809.9654360879,41977.2736359411,41861.9305890103,41269.4540390373,40667.7932272289,5693.13790595446,5668.35206837084,6737.78461550792,4878.72134483369,5095.63843597158,6544.23654795831
,68,31002.1248239403,33198.1370879582,34704.9897822879,33053.781378868,32729.4603527631,34694.7612038945,5723.94909342561,5298.0374627555,37819.5764033959,6260.59174196174,5363.78412744558,45909.2258565298,32970.9858403458,33812.5964255395,34649.4343785287,36504.86870494,37010.1990417011,37555.4488874029,5613.71917142793,6445.63829213087,28671.3633785611,5718.89112487743,5696.15955789273,41034.6918683158,37323.3851716515,39211.8242808089,39079.3658652156,38688.0736711232,38768.7162315639,39596.4951230488,5435.27345840718,5601.31637336628,51825.9159349989,4811.42769849161,4994.57175687338,4988.55451909249,38075.1405010157,39419.7412616376,38500.7350435264,39031.756953465,37452.291624332,37323.0995677292,5596.5888420566,5586.70582494909,33260.5759981394,4864.28545050793,4958.31353529135,4858.21197047647,37514.7319540109,40755.6524707895,39690.4851845931,40840.8359883292,37718.7483735492,40182.2263841621,5493.94126491642,5435.14945171275,34748.4643147735,5035.41198410437,4984.56045074162,5048.67651688697,39165.1608788711,40481.547251277,41029.4552347955,43001.6153726004,43341.6956848295,43698.7156531432,5470.18936062162,5934.88543984927,37950.1058458908,4918.58553629664,4976.09253279337,5021.09398731707,40157.7833700201,41215.5763244842,41421.3287409557,41822.528926052,42524.37393709,40608.5433189098,5860.31174668125,5928.45227937931,34778.7638492094,4769.43505434191,6633.13317502531,5247.83399398797,38301.3000263149,42213.3199008874,41389.4116797491,41246.7452430725,40694.3250982804,40074.1037378483,5672.39197299761,5642.05699731747,6685.91129827692,4872.07323994831,5087.92412054888,6532.57490007426
,68.5,30525.3088714025,32719.2078699926,34054.6797037713,32574.0175630884,32255.9385836805,34193.3842434956,5694.02547658863,5268.05223197398,37272.5035785136,6231.10295596749,5348.1879640163,45342.847553757,32466.9524872013,33330.4694368837,34173.9428690609,36014.6807603741,36522.3382706706,37040.129503647,5592.54920672098,6409.11143508558,28287.8046951701,5681.48570788528,5657.06181751482,40436.9643215667,36765.2855444842,38661.4725386283,38552.1003238768,38185.3892869298,38271.8790472001,39097.2358023229,5416.22563935543,5581.4261658655,51255.5263287029,4804.65281210395,4986.99702916422,4981.21236439405,37349.8398278764,38897.2391300194,38000.3628465266,38517.445785181,36962.4734287898,36824.9158361083,5569.11130403792,5564.20937386849,32847.8190553841,4856.66970821694,4950.70620611931,4851.89295995721,36964.5260239212,40188.0932491269,39146.6817382896,40315.9005503955,37221.4180834793,39676.2610250177,5476.1194557574,5416.12416405879,34285.2056651658,5028.75485400854,4977.5653123542,5041.67905278368,38616.5185091257,39919.8227091748,40507.4066981956,42448.3761185066,42794.0915430318,43136.305275585,5449.13448454421,5909.93053170992,37610.0099575505,4911.43078982983,4968.98603320925,5013.74606626597,39579.0039157775,40628.8259302141,40838.3600938584,41257.7826326844,41962.8535400562,40042.0051864467,5831.65167381596,5903.63928175863,34317.2216192029,4762.49662935209,6621.62356378217,5240.6028167687,37755.8483437964,41613.9653868122,40796.9424423577,40629.409633549,40116.1209955933,39479.1829976395,5652.14811129293,5616.23944494337,6634.41486766372,4865.29399905809,5080.3930910796,6520.943874725
,69,30050.4937159962,32238.8659751683,33412.2197214587,32093.1460873992,31778.1876484485,33686.3244305953,5664.72996402559,5239.54589076158,36723.9680899971,6201.43355765704,5332.3862661093,44768.7359342313,31965.2720424894,32845.4314788889,33692.9569196673,35517.3818504404,36026.6752425636,36516.5448219527,5571.41300527803,6372.18222735906,27900.6059705682,5645.52472302487,5620.27718366147,39840.4408054154,36207.6041711164,38108.3691647013,38017.1063442977,37677.4910367926,37770.7662009426,38592.8423245502,5397.8677688636,5562.1128943608,50671.2809238259,4797.83524762207,4979.4169372269,4974.17129502036,36636.0804214091,38368.7609065919,37492.9780069174,37994.7488206418,36469.7247857749,36322.8352043477,5542.65777920083,5542.41717324798,32422.9315237641,4849.36565496574,4943.34903750438,4845.35404327716,36414.6401051447,39613.2411560163,38596.1364146605,39776.6001570154,36715.0141008634,39159.025359432,5458.08838202496,5397.33926136823,33811.3325834955,5022.13390757946,4970.52067428512,5034.61887254228,38066.022526782,39353.505577483,39974.3868022572,41880.2935233682,42235.5300829866,42561.7179341584,5429.45570752317,5885.22025983228,37262.5688563217,4904.71867994511,4961.81471219179,5006.54789791131,38999.762413053,40038.8078621469,40252.9242736205,40686.4700709749,41394.0306417227,39474.2750346429,5803.35208438088,5879.03628772009,33841.2875151851,4755.86987808001,6610.3934035797,5233.46564336713,37209.3270448354,41011.4526959277,40203.3083948214,40010.5716306869,39533.9778503805,38883.7937096498,5631.72035468667,5591.07731539254,6583.21460345543,4858.46465314843,5072.82196820847,6509.35303364377
,69.5,29579.8603826495,31757.3792889021,32781.4510912029,31610.2781908914,31295.5031369849,33171.8345625338,5635.83625734946,5212.0265096409,36178.6958952825,6172.46966623658,5316.44086080033,44186.908411889,31466.1109173731,32357.4229064504,33206.1093175599,35012.8770170707,35522.2885520134,35985.7759837978,5550.21087398355,6334.7199709725,27508.1581721229,5610.71069489919,5585.31261119168,39246.2911649627,35651.1657248633,37555.2752755424,37473.0814614505,37162.6974498485,37261.1606256688,38081.3327356216,5379.37405432336,5542.83948346199,50070.1655493624,4790.74130589345,4971.89744386826,4967.66042385341,35932.0048250092,37834.083773682,36975.452671036,37462.4143431763,35970.246810372,35812.4613717653,5516.47194643401,5520.91564233519,31984.6685250805,4842.64747396753,4935.83007856462,4838.37102530201,35864.3227463425,39031.3559303773,38036.114694033,39219.8627759518,36195.5287218615,38627.8887785415,5439.75642423654,5378.23033058896,33325.6455159422,5015.35699841059,4962.98459643301,5026.71225892908,37512.2709536244,38783.3861996817,39427.4029573874,41296.7731461116,41663.9196618756,41973.7464498765,5411.08921933265,5860.90466822742,36898.1902003495,4897.78803202839,4954.03049458748,4999.23580383699,38420.628308517,39442.0534360178,39664.1719957095,40105.9826849318,40814.3529525171,38903.5866756342,5775.78640776562,5854.78496523754,33346.3010720777,4749.45632465966,6599.15427179396,5226.32490357864,36659.9130039559,40405.0484935497,39606.6895658562,39392.4038781464,38945.8951960531,38288.9311949792,5610.93650010496,5566.05028330593,6532.14985160797,4851.73278320996,5065.19840404355,6497.84891920079
