,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Unkn,,81
,A02,SYBR,,Unkn,,81
,A03,SYBR,,Unkn,,81.5
,A04,SYBR,,Unkn,,81
,A05,SYBR,,Unkn,,81
,A06,SYBR,,Unkn,,81
,A07,SYBR,,Unkn,,None
,A08,SYBR,,Unkn,,None
,A09,SYBR,,Unkn,,83
,A10,SYBR,,Unkn,,None
,A11,SYBR,,Unkn,,None
,A12,SYBR,,Unkn,,83
,B01,SYBR,,Unkn,,81
,B02,SYBR,,Unkn,,81
,B03,SYBR,,Unkn,,81
,B04,SYBR,,Unkn,,81
,B05,SYBR,,Unkn,,81
,B06,SYBR,,Unkn,,81
,B07,SYBR,,Unkn,,None
,B08,SYBR,,Unkn,,None
,B09,SYBR,,Unkn,,80.5
,B10,SYBR,,Unkn,,None
,B11,SYBR,,Unkn,,None
,B12,SYBR,,Unkn,,86.5
,C01,SYBR,,Unkn,,81
,C02,SYBR,,Unkn,,81
,C03,SYBR,,Unkn,,81
,C04,SYBR,,Unkn,,81
,C05,SYBR,,Unkn,,81
,C06,SYBR,,Unkn,,81
,C07,SYBR,,Unkn,,None
,C08,SYBR,,Unkn,,None
,C09,SYBR,,Unkn,,83.5
,C10,SYBR,,Unkn,,None
,C11,SYBR,,Unkn,,None
,C12,SYBR,,Unkn,,None
,D01,SYBR,,Unkn,,81.5
,D02,SYBR,,Unkn,,81
,D03,SYBR,,Unkn,,81
,D04,SYBR,,Unkn,,81
,D05,SYBR,,Unkn,,81
,D06,SYBR,,Unkn,,81
,D07,SYBR,,Unkn,,None
,D08,SYBR,,Unkn,,None
,D09,SYBR,,Unkn,,84.5
,D10,SYBR,,Unkn,,None
,D11,SYBR,,Unkn,,None
,D12,SYBR,,Unkn,,None
,E01,SYBR,,Unkn,,81
,E02,SYBR,,Unkn,,81
,E03,SYBR,,Unkn,,81
,E04,SYBR,,Unkn,,81
,E05,SYBR,,Unkn,,81
,E06,SYBR,,Unkn,,81
,E07,SYBR,,Unkn,,None
,E08,SYBR,,Unkn,,None
,E09,SYBR,,Unkn,,81
,E10,SYBR,,Unkn,,None
,E11,SYBR,,Unkn,,None
,E12,SYBR,,Unkn,,None
,F01,SYBR,,Unkn,,81
,F02,SYBR,,Unkn,,81
,F03,SYBR,,Unkn,,81
,F04,SYBR,,Unkn,,81
,F05,SYBR,,Unkn,,81
,F06,SYBR,,Unkn,,81
,F07,SYBR,,Unkn,,None
,F08,SYBR,,Unkn,,None
,F09,SYBR,,Unkn,,81.5
,F10,SYBR,,Unkn,,None
,F11,SYBR,,Unkn,,None
,F12,SYBR,,Unkn,,None
,G01,SYBR,,Unkn,,80.5
,G02,SYBR,,Unkn,,81
,G03,SYBR,,Unkn,,81
,G04,SYBR,,Unkn,,81
,G05,SYBR,,Unkn,,81
,G06,SYBR,,Unkn,,81
,G07,SYBR,,Unkn,,None
,G08,SYBR,,Unkn,,None
,G09,SYBR,,Unkn,,80
,G10,SYBR,,Unkn,,None
,G11,SYBR,,Unkn,,None
,G12,SYBR,,Unkn,,None
,H01,SYBR,,Unkn,,80.5
,H02,SYBR,,Unkn,,80.5
,H03,SYBR,,Unkn,,81
,H04,SYBR,,Unkn,,81
,H05,SYBR,,Unkn,,81
,H06,SYBR,,Unkn,,81
,H07,SYBR,,Unkn,,None
,H08,SYBR,,Unkn,,None
,H09,SYBR,,Unkn,,None
,H10,SYBR,,Unkn,,None
,H11,SYBR,,Unkn,,None
,H12,SYBR,,Unkn,,None
