,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-200.412463450874,-40.3849221665814,-421.752809183973,-79.6981573054718,-99.3300704058011,-153.35104848315,-226.562422740806,-173.06397164369,-236.442683213499,-73.3452995539383,9.23907266062906,-54.9900645305124,-1.51672763936313,-33.9841220524695,-42.2197426374441,-74.8728324808999,-209.047658403308,-236.013140765397,-62.246956292176,-199.987397715268,-212.329470757895,-233.857764985209,-144.580193177027,-274.208254751764,-47.2997037281275,18.8345170415214,-71.4963241446276,-131.461368785448,-21.4457829370422,-112.265033913751,-129.502652198508,-115.332577457776,-70.5283103355887,17.1912052254711,-48.0601599437814,50.3551979275862,-230.903292678398,-41.3732888848081,-137.599363501839,-107.757944448829,-87.4197573620913,-108.723390364912,-173.672927970409,-194.382253507142,-314.092086681723,11.3283342294371,3.7263986637663,-68.4394170186606,-46.1493990222934,-19.5343384986763,-96.1358922670743,-70.6978014284268,-89.9010752414224,-120.540411757759,-160.363525078265,-30.1086828150283,-87.4225769000441,-31.2305714813347,-44.9944865032021,-50.6747296021131,-43.4001990434053,-36.473326843382,-61.3362743075049,-42.9316320696398,-306.912563722969,-95.6342470137597,-15.7143041726304,-22.4877334214152,-74.3296857080386,-28.7862264249234,-62.8362342905339,22.2055511963827,-52.0585776205517,-30.8153825452373,-29.5512120404383,-70.1503880149157,28.1838684974791,-80.1704059074236,-81.6736631661324,-118.472213829547,-156.7084049562,-31.114811002014,-66.2585990188682,-42.8556836060643,75.7569710684284,-36.6617903671086,-25.9424980488529,-69.6085357534066,10.5023110830862,3.1940324670195,-55.0011315893025,-56.3480943019349,-163.513208614637,-32.733563202708,-38.119870836782,-49.0269723784941
,2,-110.041714901411,-15.3293097274027,-388.159838138013,-41.5435694110347,-42.815289828166,-76.5957967332315,-144.638834804904,-100.94756266834,-144.204336937646,-64.9179247841539,16.0217397820416,-35.6730756579082,18.1287281767172,-4.37500925704717,-12.5227199448482,-17.1237478351804,-184.569466602658,-203.420787735838,-62.0548037166245,-70.333182485434,-153.132465699059,-183.226401792638,-101.680268586979,-130.548888196812,-9.17170239516054,38.1852538283056,-14.9692854317818,-65.740777500906,16.4635586952436,-58.3244279586097,-63.0328227964847,-71.4789349075836,-31.040392061379,28.2378537274399,-31.3294797704639,57.6135194925328,-213.405943583677,-11.9099904042268,-26.1754795384677,-48.4013069699504,-21.197302244309,-34.8471963453585,-84.3679393226603,-99.3781709064078,-172.596158429309,31.7745794674274,19.9010089020512,-59.8497999836882,1.40732198874048,10.4507220063442,-51.4138789055769,-21.219856302514,-3.59693172514835,-53.4353560661548,-101.795963967932,19.158410263929,-5.49674661361769,-27.4871780408666,-31.1125314301671,-50.330000082371,-1.87034711809156,-13.0664435346798,-9.72444185817494,-8.8126599261077,-3.45505172149933,-18.137259405943,10.8688643562264,17.0380163904047,-12.5995738034217,-22.0736718227117,-54.1579504206511,25.7963169674631,5.80833396983235,-6.28664518222467,-14.0082393936336,-25.5997268096362,15.5056742256338,-30.1847090721258,-39.5260225266456,-60.1665360065899,-107.697810542977,-19.3029751816248,-42.5709622626318,-33.3859390262123,45.6155378339663,23.044064098216,-16.4974287235254,-23.5819683129821,19.6470553226545,13.2587459836441,-33.8581518239016,-31.2618014436857,-144.01717831622,-29.0323550005151,-31.7624489008222,-32.6989723701681
,3,-149.606343673346,-7.61480370822665,-327.925774304405,-82.4779746020113,-23.0872952084801,-43.2291714852563,-111.532623959783,-75.5730723776533,-79.4949794122058,2.68078586909996,32.1147830808868,10.9173680532513,24.7839888409198,-0.182638808010779,0.869270744146888,0.376989374462937,9.87219124127842,-165.003183376935,-44.4251429273754,-60.6331682550217,-90.7501774593093,-145.464856890165,-80.9845326958002,-59.5051142531029,10.4053550337567,37.9738551280889,1.57100035969779,-45.3310885350311,27.2467596701144,-40.713886064922,-41.3999453847046,-50.7775753135729,9.41009368459981,33.9691917343062,-28.4732410875058,67.7372829904198,-30.9558586376843,10.7468946399367,9.64373673417686,-8.78005836605917,30.4457380089789,-17.0096721534192,-45.7475236427781,-68.4850111783035,-115.642948231514,29.1571638485193,26.868754504314,-44.0059730738985,16.3047813982985,21.1891439944875,-2.45799809325763,-1.90436825380584,37.1487937133033,-25.5500194923934,-48.1726260827263,23.1803195581615,27.3990314998191,-21.7739692498981,-23.949773849442,-28.8036670244555,24.5938323317232,11.7760857368348,16.0255154632969,10.6867876327378,10.9541515886895,0.390452804700544,9.77300386339994,16.1732366817996,-18.254860854353,-21.5831735040392,-37.5678962494321,36.0640046768076,19.9850960324657,23.3604477490017,9.41469045576559,12.9872740564151,31.4561143008377,17.1866141155033,-36.3112305780915,-42.7633002239027,-63.7836859872168,-14.3962089977422,-30.0202958953787,-24.431058561905,33.3979916555991,36.8763274306693,11.7804959751911,-8.61039470814831,25.7678647758912,23.9810068127399,-23.890414835636,-31.2233709066377,-98.1682007946183,-18.2729738492981,-22.0952668327418,-24.6678321186437
,4,-104.411823536376,-0.687049128439867,19.4801773190447,-59.7958162888008,-0.480175680042521,-12.3474123966953,-83.4628243371053,-46.6338418936148,-22.609907570999,5.66740482706882,42.8197107745254,27.3710522096617,29.1278277515294,6.23388915322812,10.7272814515136,23.4017580060645,24.7417414457332,-120.139501150716,-31.7517981747806,-35.456818217307,-43.6325305372584,-86.6768121493205,-50.4019763907118,-6.37191780111971,13.4280129384269,36.1852035478032,6.16248848723808,-32.6488960015331,23.0693839635387,-40.4307682307035,-26.5509464017077,-35.2438098279554,29.1378940352033,45.2922556457297,-20.7331147376917,90.3163773205606,0.310405586177694,25.6444641613298,22.8866001061742,3.624978162361,34.9637620549174,20.8670703524785,-31.7026340934426,-47.5845041309185,-53.984196805628,38.8762184646903,35.825006005769,-35.3624451040578,23.6029936098575,25.1434477662788,7.46176861051572,16.4788354265484,46.8505767029728,6.93793111585728,-42.6048774840174,20.9599602698399,24.9912055075811,-17.3046132713007,-16.7059854496219,-20.8437301694594,32.7021182445033,19.5386242834811,24.8665371811239,27.0969185894455,30.3207763680894,15.8815247285511,-1.93130881511843,17.3867425145527,10.3831473921,-6.93973949137126,-24.338752910613,48.085339569081,25.2865963926433,32.257774504722,23.1591902159898,31.9798410702006,37.6107477524974,31.3183576588344,-21.7863214939007,-32.6437999240316,-21.7643553475136,-15.0872142762546,-22.4366148313875,-15.4985788700951,36.4350731168051,35.3111602175695,28.2898887571173,2.64011414047309,21.8184197640148,22.4249825028182,-17.2858361699664,-25.1210930773959,-42.9436696302009,-18.9473505277438,-23.7441277056905,-16.016521329675
,5,-65.4998911402317,15.3547791647507,29.2804596132455,-33.298761644196,14.6494935278661,7.55900877087879,-60.2264898392659,-25.7391240347806,14.5053719015032,9.01125563922415,58.7836267952052,39.8184501738488,27.1206010070464,15.6751779315027,19.1925549314346,26.6278089787174,29.3043496419014,-82.9540559881489,-16.5645623670707,-15.6818139111047,-7.02944014151399,-62.6125368944049,-28.1376955052028,18.4980171468451,18.1760480962384,31.7976023771043,13.477338324944,-25.8571611537163,25.350860375439,52.5784048280784,-13.3681648792308,-14.2626436426517,44.8870123903234,51.0139482689465,-13.7057016721192,100.521839365706,8.37247147708877,32.9085242683313,20.6445585445063,7.24944724951911,30.3605901953015,33.4096363746112,-21.1126189893621,-19.5266380746316,-8.96379388660171,47.832510285315,50.0940504645423,-22.737465671572,31.9548087224139,27.0763427586317,18.1196917358602,22.3206439211981,39.0298970035365,24.7557096774435,4.27607180587347,11.5474871124788,29.5045364249736,-15.3360938743408,-10.4603303271379,-19.3277249745097,41.3789063075437,32.6963245585821,26.0186193645304,28.4424431063526,36.22744604749,30.3892656612397,-3.24556911132277,16.1442811586812,21.3143860104337,-9.08782399665506,-21.2347697831801,56.7245187849912,35.7592502658281,32.8510391842092,28.0734772673895,27.4955667959794,33.0928950620919,30.9514336999346,-6.86460404378522,-23.3094456572044,-1.69683988789438,-6.99456335675404,-16.7045642267785,-13.4960070075422,33.3736448450263,40.193184311951,28.9992327653799,11.0290041011203,24.3938659844625,22.0800671968518,-17.9649727323531,-15.8735919479732,-17.4959025733715,-9.91953098026534,-11.0357943018507,-8.47933213311717
,6,-35.383058715126,11.2186681505673,43.3210940108593,9.47807798846134,19.0283893077758,22.2652902450955,-18.4853101573945,21.0118356832472,51.1419007273707,13.4106821597506,72.0145204993805,45.4859162031471,22.699064447158,18.9933743011088,30.0419141998282,40.1126395679694,37.2767827281514,-31.6572449615132,13.4710272083448,5.50527973099906,30.158907926032,-23.7345137724033,-1.25149001506179,45.3617698153994,19.390523471925,35.9607404468688,18.3234978517667,-9.25365451951438,32.5782053045259,57.2186266910949,5.01099886211614,5.15730872579024,61.9961081317506,56.5639340415628,-4.49469087529633,107.228277835077,27.9186582395569,43.2156142128351,41.1267549676368,18.9256763725271,37.8327112550705,40.187362815981,14.1635480192645,15.2030046234177,37.2738692215498,62.8361392676197,64.8207434641881,-19.4344786987467,33.7494136532077,38.4283474783151,34.6067165344548,24.6438381819271,32.0555779709803,31.42858828304,14.2672058213984,14.1307934947245,28.7499439613885,-6.05599924216222,-5.15048949701668,-10.0278328082322,40.042900979025,48.1202780450785,26.6498411458788,33.0273485830494,43.0868913115119,34.8709742761384,14.1663202184991,32.5922473839737,50.8422926032945,-6.96355522174144,-12.8585293955239,69.1254164744569,30.684283158902,45.0071639454281,41.0817568729262,35.1532144375769,34.7227626322046,44.2648981291404,16.8073336126972,-0.281675183292464,38.0752010649412,-4.08583058147542,-8.07631124701584,-4.90496082687696,32.9060782120941,37.1517134995111,39.5898000265715,24.1431180516392,28.5793293342203,25.8038089582224,-3.51893570738412,-6.2557135353909,9.91530485163003,-9.49245764017087,-3.96875289207856,-8.21058966159035
,7,-7.66967847446267,20.7933632210306,33.1220811262392,14.2970932742855,15.8825716634565,20.8318745758061,-24.8211575891792,-4.49350963295365,28.6252096960434,15.352279504632,69.274541970166,25.8775827513282,21.1841185587464,17.842053408016,22.2336224838427,30.6394416047087,35.9787311220252,-21.015599910641,-6.85345797762966,-3.93455539019487,16.3615748896909,-39.1020794130491,-11.4251647492811,32.0839629640705,28.4565049643652,15.7691757120811,7.33938834339642,63.4456295922637,23.9107475937799,50.2623934097228,-8.1923053626706,-4.49573728802261,23.5190264204903,61.9257606465262,-4.74294548688704,108.015062919695,28.0275043337324,29.1261892776292,25.344427964812,38.5021542642135,20.2139890780491,37.1231376078968,-7.05113935678673,-10.1618799472517,20.3189506785657,64.5952309052718,67.8687417242509,-12.9916707958737,24.9338603034112,20.9425314839318,18.8125161140197,20.2332984706709,25.3265999618461,26.104259284275,5.15134212427256,0.502053990055174,22.2580052734565,-1.42301078643504,-6.14246209042449,-4.17612780110176,33.7848567749725,28.9072472284124,15.1681587006578,23.053731852403,23.537800713696,31.471737922594,-6.59117846936169,2.29295852476844,11.3479777874154,-1.08279010835577,-12.2053994953676,63.2184183949403,22.8413768857099,32.056199892997,10.1515625178672,21.6867859806571,17.9763937542639,21.584630352153,1.27844430031473,-6.62003694841314,9.67394102609614,-5.0178705042581,-6.24627296610015,-3.57909590236886,24.7983421283561,29.1229992019034,30.319595773356,15.189440622501,15.7722024225686,17.6519747650373,-9.92705406018194,-9.37828578853623,8.36786692705937,-7.85895495881141,-4.93972978542115,1.61747887336969
,8,13.3682922513726,19.0555323767767,81.8386040712985,27.9313839383303,15.216547262844,25.3376959802181,-9.28082326572712,-1.94446368492481,27.5520796784749,15.5243747353516,79.8839588396741,24.1864471983854,16.5976112323424,17.9332546326168,20.781844585169,26.5115608196866,18.4490159805191,2.18920410677038,-8.31555672607828,5.62157841020053,16.8536494632644,-24.3899209509127,-6.0868357170275,33.8213449478026,26.1131381395708,13.1138015473871,20.1073441382214,55.8092276496127,19.8760879467136,42.8521200133491,3.0937008395922,-4.3333838126764,4.70881535911394,70.1966097234344,-2.76618381417393,116.560108284752,29.3018461792699,25.9856401343177,18.0752847780823,33.0500727239814,15.9889766623,25.443113482449,-9.04662737791386,-2.77825078685055,13.6337698440693,69.5251196798772,68.7886994555683,-6.39072465711797,27.8395953796617,25.3162724987142,12.4916657414924,18.3271822833804,19.6318647289008,25.1556294993134,6.60219085172957,0.830757655396155,14.3666976647519,-2.90081863699561,-2.68877185371548,-0.743948730347256,22.3139438297721,26.2693233570853,14.1349043659629,14.4154902434748,18.9871449941747,31.7772903768901,-4.32018049730596,-1.9897560581021,5.18150852399867,-5.35237994753061,-3.97649189929689,72.9350081510001,18.2949336740503,14.4743866530034,14.9962329302862,14.1735242736604,12.5345967428611,22.9097616461395,5.02035966641233,-2.53459538312109,11.5255539186255,-1.28045204561386,-3.83109925238387,2.97102806967905,19.6687414496591,21.0891459172672,19.7041326843555,14.8567741457919,10.6401607756115,13.018702434877,-2.94213406222843,-4.14421744190076,5.47525196981769,2.62499128132822,-0.42640554819809,-3.10420850250102
,9,24.6976978293142,12.6453298811666,85.4411963071616,46.8451481804668,21.7260456280883,21.1242384083134,11.1487876695428,34.2490633926936,54.0124812123213,19.2412847137757,95.8902803214669,18.9402887691895,7.23127880705761,17.0971932044404,27.3837472725027,25.3493755327745,25.4759379275702,169.447530097778,18.5924258909217,22.2729441225401,40.119352821338,6.45591731311561,23.1530535971369,42.857091991722,23.0689881896169,16.7784156753614,27.847675431758,65.631181983731,14.6277851980749,44.8502592669884,13.4926437264248,21.8988860634281,13.8257502243951,72.9192916894817,2.98711850143536,126.081855964148,27.6398977006183,27.3001776676883,28.9607601056559,43.1236736015317,16.4143899931878,23.9235903396493,17.9727872262392,42.1697170158341,63.0152889299261,68.6464962789305,72.5779763956443,-1.50888966033017,25.3081939071362,24.0858170491529,24.4570559523636,18.851020144617,21.8628139321472,21.6136660214879,13.1484963759767,4.74372078405213,25.6987209832405,5.83997595608889,2.55700645189518,7.30767805374308,22.5176016259584,25.7845184002799,11.9001077858211,15.806017334543,25.4667368256578,32.9066577266749,14.5531612956975,8.38486426044619,33.3966094002726,7.88320509627101,-1.46449182388824,76.8167511105103,20.1773350392523,17.4407816051571,29.4125209206541,23.0830449115092,13.4689308536417,16.8042578964032,27.2994443253046,24.2935635737504,39.9259746090447,-1.80117853138108,1.30166352923698,-3.17832664942034,19.6502285742836,24.4136147732261,30.4667146662714,28.6811073315748,15.6152797070235,11.916818880135,0.695041672685875,11.0890125523465,29.6414357386057,2.5922743427318,5.4587138270017,6.83131898769534
,10,144.740813373628,14.711973376513,77.12237018417,41.564409830914,18.0014324491185,23.464013083194,10.2157914762947,0.0514384729749509,26.1175653139053,13.9495235405493,88.8768160620457,-2.61308236972218,7.43923818414805,13.0801182593923,12.4753202685333,17.8493876650027,10.4895409619849,140.32729251198,-1.36419698156988,17.9886321224985,22.4954705977962,-6.65162632222291,1.82876711900371,19.3489421761697,15.7365361045686,0.675816211962228,10.8143885828549,46.0897610874827,4.105135634416,21.9567427109332,2.60311227438342,0.371662581345845,-28.9126686800528,78.7416802652187,6.55209575244317,123.791607462821,28.209146764063,12.0665020925899,11.7970066012613,21.1886721749252,7.93337006175261,13.0639412838818,-19.1650406667131,8.82341336599893,31.41311788647,72.351483159192,78.3472053222577,2.80299673547597,12.206487182526,11.6487205872309,4.2849799828191,14.2291325201086,1.87978336947253,11.8328834166414,4.34880711347978,-1.86445247926622,3.6237715442121,-3.70086750238715,0.17191425238525,-1.63366789659904,11.2097968181952,11.2386460725411,-3.81600665544283,4.83304547348325,4.19469326279977,24.4058357979948,-5.71787052046511,-12.4072968712471,-4.12596369224229,0.943684728453263,-6.2934563319759,84.1637311196482,7.91654336066767,8.93402164432155,-1.86071676933534,1.73971474500922,-1.93610660205559,1.68467195117773,5.06566890340491,2.37409510082489,7.60547516975021,1.38158472216583,-0.182930350369134,3.39485799782869,11.2399031316345,9.96739948030609,12.2812341940653,16.3878530207103,1.63901458407145,-3.47905966652525,-3.14751543022339,12.003609395857,15.1682836036489,3.97589565611179,4.38278347626965,6.34909203550978
