,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,30.1650912457754,30.1650912457754,0,NaN,NaN,NaN,0,55,
,A02,SYBR,,Unkn,,,30.1041555884084,30.1041555884084,0,NaN,NaN,NaN,0,55,
,A03,SYBR,,Unkn,,,29.3458178258727,29.3458178258727,0,NaN,NaN,NaN,0,55,
,A04,SYBR,,Unkn,,,29.5638305171695,29.5638305171695,0,NaN,NaN,NaN,0,55,
,A05,SYBR,,Unkn,,,30.1422111929892,30.1422111929892,0,NaN,NaN,NaN,0,55,
,A06,SYBR,,Unkn,,,29.9571615199433,29.9571615199433,0,NaN,NaN,NaN,0,55,
,A07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,A08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,A09,SYBR,,Unkn,,,26.5880439840749,26.5880439840749,0,NaN,NaN,NaN,0,55,
,A10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,A11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,A12,SYBR,,Unkn,,,21.1934066375985,21.1934066375985,0,NaN,NaN,NaN,0,55,
,B01,SYBR,,Unkn,,,29.5978772065724,29.5978772065724,0,NaN,NaN,NaN,0,55,
,B02,SYBR,,Unkn,,,29.7827309734267,29.7827309734267,0,NaN,NaN,NaN,0,55,
,B03,SYBR,,Unkn,,,29.2426879101572,29.2426879101572,0,NaN,NaN,NaN,0,55,
,B04,SYBR,,Unkn,,,29.0256835571868,29.0256835571868,0,NaN,NaN,NaN,0,55,
,B05,SYBR,,Unkn,,,28.1319569633651,28.1319569633651,0,NaN,NaN,NaN,0,55,
,B06,SYBR,,Unkn,,,28.1769359947572,28.1769359947572,0,NaN,NaN,NaN,0,55,
,B07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,B08,SYBR,,Unkn,,,39.3292857298771,39.3292857298771,0,NaN,NaN,NaN,0,55,
,B09,SYBR,,Unkn,,,31.7098589131128,31.7098589131128,0,NaN,NaN,NaN,0,55,
,B10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,B11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
,B12,SYBR,,Unkn,,,24.7505629122645,24.7505629122645,0,NaN,NaN,NaN,0,55,
,C01,SYBR,,Unkn,,,28.2947809846746,28.2947809846746,0,NaN,NaN,NaN,0,55,
,C02,SYBR,,Unkn,,,28.1887590182647,28.1887590182647,0,NaN,NaN,NaN,0,55,
,C03,SYBR,,Unkn,,,28.0309416727063,28.0309416727063,0,NaN,NaN,NaN,0,55,
,C04,SYBR,,Unkn,,,28.2565542202622,28.2565542202622,0,NaN,NaN,NaN,0,55,
