,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,30.1650912457754,30.1041555884084,29.3458178258727,29.5638305171695,30.1422111929892,29.9571615199433,NaN,NaN,26.5880439840749,NaN,NaN,21.1934066375985
A,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,29.5978772065724,29.7827309734267,29.2426879101572,29.0256835571868,28.1319569633651,28.1769359947572,NaN,39.3292857298771,31.7098589131128,NaN,NaN,24.7505629122645
B,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,28.2947809846746,28.1887590182647,28.0309416727063,28.2565542202622,27.2929548023079,27.1852341999231,NaN,NaN,17.6349264809068,NaN,NaN,NaN
C,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,27.5272573598982,27.9677003559401,28.1278713859027,28.2676495615815,28.1794092605549,28.2236662228841,NaN,NaN,30.5256037948192,NaN,NaN,NaN
D,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,28.0924554048385,28.0952867835629,27.8156788559576,27.6313963200625,28.0874583874605,27.7226977571624,NaN,NaN,30.2247111278668,NaN,NaN,NaN
E,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,26.9476416179022,27.0532688339941,26.4137658552905,26.4015017552039,26.1169459968746,26.1061169941326,NaN,NaN,24.915300574113,NaN,NaN,NaN
F,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,27.195406985255,27.1109966409951,27.4383574629571,27.4069183781699,27.2695979941161,27.241304696762,NaN,NaN,29.9747672663249,NaN,NaN,NaN
G,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,27.0602629033046,26.9409919872777,27.0538628317363,27.5056256654069,27.4307610294798,27.5500060554197,NaN,NaN,NaN,NaN,NaN,NaN
H,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
