,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,30.1650912457754,NaN
,A02,SYBR,,Unkn,,30.1041555884084,NaN
,A03,SYBR,,Unkn,,29.3458178258727,NaN
,A04,SYBR,,Unkn,,29.5638305171695,NaN
,A05,SYBR,,Unkn,,30.1422111929892,NaN
,A06,SYBR,,Unkn,,29.9571615199433,NaN
,A07,SYBR,,Unkn,,NaN,NaN
,A08,SYBR,,Unkn,,NaN,NaN
,A09,SYBR,,Unkn,,26.5880439840749,NaN
,A10,SYBR,,Unkn,,NaN,NaN
,A11,SYBR,,Unkn,,NaN,NaN
,A12,SYBR,,Unkn,,21.1934066375985,NaN
,B01,SYBR,,Unkn,,29.5978772065724,NaN
,B02,SYBR,,Unkn,,29.7827309734267,NaN
,B03,SYBR,,Unkn,,29.2426879101572,NaN
,B04,SYBR,,Unkn,,29.0256835571868,NaN
,B05,SYBR,,Unkn,,28.1319569633651,NaN
,B06,SYBR,,Unkn,,28.1769359947572,NaN
,B07,SYBR,,Unkn,,NaN,NaN
,B08,SYBR,,Unkn,,39.3292857298771,NaN
,B09,SYBR,,Unkn,,31.7098589131128,NaN
,B10,SYBR,,Unkn,,NaN,NaN
,B11,SYBR,,Unkn,,NaN,NaN
,B12,SYBR,,Unkn,,24.7505629122645,NaN
,C01,SYBR,,Unkn,,28.2947809846746,NaN
,C02,SYBR,,Unkn,,28.1887590182647,NaN
,C03,SYBR,,Unkn,,28.0309416727063,NaN
,C04,SYBR,,Unkn,,28.2565542202622,NaN
,C05,SYBR,,Unkn,,27.2929548023079,NaN
,C06,SYBR,,Unkn,,27.1852341999231,NaN
,C07,SYBR,,Unkn,,NaN,NaN
,C08,SYBR,,Unkn,,NaN,NaN
,C09,SYBR,,Unkn,,17.6349264809068,NaN
,C10,SYBR,,Unkn,,NaN,NaN
,C11,SYBR,,Unkn,,NaN,NaN
,C12,SYBR,,Unkn,,NaN,NaN
,D01,SYBR,,Unkn,,27.5272573598982,NaN
,D02,SYBR,,Unkn,,27.9677003559401,NaN
,D03,SYBR,,Unkn,,28.1278713859027,NaN
,D04,SYBR,,Unkn,,28.2676495615815,NaN
,D05,SYBR,,Unkn,,28.1794092605549,NaN
,D06,SYBR,,Unkn,,28.2236662228841,NaN
,D07,SYBR,,Unkn,,NaN,NaN
,D08,SYBR,,Unkn,,NaN,NaN
,D09,SYBR,,Unkn,,30.5256037948192,NaN
,D10,SYBR,,Unkn,,NaN,NaN
,D11,SYBR,,Unkn,,NaN,NaN
,D12,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,,28.0924554048385,NaN
,E02,SYBR,,Unkn,,28.0952867835629,NaN
,E03,SYBR,,Unkn,,27.8156788559576,NaN
,E04,SYBR,,Unkn,,27.6313963200625,NaN
,E05,SYBR,,Unkn,,28.0874583874605,NaN
,E06,SYBR,,Unkn,,27.7226977571624,NaN
,E07,SYBR,,Unkn,,NaN,NaN
,E08,SYBR,,Unkn,,NaN,NaN
,E09,SYBR,,Unkn,,30.2247111278668,NaN
,E10,SYBR,,Unkn,,NaN,NaN
,E11,SYBR,,Unkn,,NaN,NaN
,E12,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,,26.9476416179022,NaN
,F02,SYBR,,Unkn,,27.0532688339941,NaN
,F03,SYBR,,Unkn,,26.4137658552905,NaN
,F04,SYBR,,Unkn,,26.4015017552039,NaN
,F05,SYBR,,Unkn,,26.1169459968746,NaN
,F06,SYBR,,Unkn,,26.1061169941326,NaN
,F07,SYBR,,Unkn,,NaN,NaN
,F08,SYBR,,Unkn,,NaN,NaN
,F09,SYBR,,Unkn,,24.915300574113,NaN
,F10,SYBR,,Unkn,,NaN,NaN
,F11,SYBR,,Unkn,,NaN,NaN
,F12,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,27.195406985255,NaN
,G02,SYBR,,Unkn,,27.1109966409951,NaN
,G03,SYBR,,Unkn,,27.4383574629571,NaN
,G04,SYBR,,Unkn,,27.4069183781699,NaN
,G05,SYBR,,Unkn,,27.2695979941161,NaN
,G06,SYBR,,Unkn,,27.241304696762,NaN
,G07,SYBR,,Unkn,,NaN,NaN
,G08,SYBR,,Unkn,,NaN,NaN
,G09,SYBR,,Unkn,,29.9747672663249,NaN
,G10,SYBR,,Unkn,,NaN,NaN
,G11,SYBR,,Unkn,,NaN,NaN
,G12,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,27.0602629033046,NaN
,H02,SYBR,,Unkn,,26.9409919872777,NaN
,H03,SYBR,,Unkn,,27.0538628317363,NaN
,H04,SYBR,,Unkn,,27.5056256654069,NaN
,H05,SYBR,,Unkn,,27.4307610294798,NaN
,H06,SYBR,,Unkn,,27.5500060554197,NaN
,H07,SYBR,,Unkn,,NaN,NaN
,H08,SYBR,,Unkn,,NaN,NaN
,H09,SYBR,,Unkn,,NaN,NaN
,H10,SYBR,,Unkn,,NaN,NaN
,H11,SYBR,,Unkn,,NaN,NaN
,H12,SYBR,,Unkn,,NaN,NaN
