,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,Mrc1,Unkn,,7427.0950226375,,Unknown,Unassigned,False
,A02,SYBR,Mrc1,Unkn,,7884.46349105309,,Unknown,Unassigned,False
,A03,SYBR,Mrc1,Unkn,,7160.08511660703,,Unknown,Unassigned,False
,A04,SYBR,Mrc1,Unkn,,8144.79961658918,,Unknown,Unassigned,False
,A05,SYBR,Mrc1,Unkn,,7182.44848654709,,Unknown,Unassigned,False
,A06,SYBR,Mrc1,Unkn,,7064.51720509101,,Unknown,Unassigned,False
,A07,SYBR,Tgfb1,Unkn,,13802.4711448211,,Unknown,Unassigned,False
,A08,SYBR,Tgfb1,Unkn,,13376.0744366673,,Unknown,Unassigned,False
,A09,SYBR,Tgfb1,Unkn,,13323.5376257722,,Unknown,Unassigned,False
,A10,SYBR,Tgfb1,Unkn,,12822.5627656475,,Unknown,Unassigned,False
,A11,SYBR,Tgfb1,Unkn,,12861.6764452993,,Unknown,Unassigned,False
,A12,SYBR,Tgfb1,Unkn,,13462.0301497996,,Unknown,Unassigned,False
,B01,SYBR,Mrc1,Unkn,,5567.73385690501,,Unknown,Unassigned,False
,B02,SYBR,Mrc1,Unkn,,5903.17441376133,,Unknown,Unassigned,False
,B03,SYBR,Mrc1,Unkn,,6917.28035622603,,Unknown,Unassigned,False
,B04,SYBR,Mrc1,Unkn,,7370.82153522478,,Unknown,Unassigned,False
,B05,SYBR,Mrc1,Unkn,,6750.2646555855,,Unknown,Unassigned,False
,B06,SYBR,Mrc1,Unkn,,6431.94941593078,,Unknown,Unassigned,False
,B07,SYBR,Tgfb1,Unkn,,12466.9508934115,,Unknown,Unassigned,False
,B08,SYBR,Tgfb1,Unkn,,11733.6055528224,,Unknown,Unassigned,False
,B09,SYBR,Tgfb1,Unkn,,12327.6869313747,,Unknown,Unassigned,False
,B10,SYBR,Tgfb1,Unkn,,13299.7771595088,,Unknown,Unassigned,False
,B11,SYBR,Tgfb1,Unkn,,13042.4466618936,,Unknown,Unassigned,False
,B12,SYBR,Tgfb1,Unkn,,12659.8259280629,,Unknown,Unassigned,False
,C01,SYBR,Mrc1,Unkn,,6138.54009473655,,Unknown,Unassigned,False
