,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,Mrc1,Unkn,,81.5,2071.22148873365,78,84.5,
,A02,SYBR,Mrc1,Unkn,,81.5,2300.87208800199,77.5,84.5,
,A03,SYBR,Mrc1,Unkn,,81.5,2078.32089113542,78,85,
,A04,SYBR,Mrc1,Unkn,,81.5,2141.96052533333,76.5,85,
,A05,SYBR,Mrc1,Unkn,,81.5,2114.42156045732,78,85,
,A06,SYBR,Mrc1,Unkn,,81.5,2067.7738207883,78,85,
,A07,SYBR,Tgfb1,Unkn,,83,1958.3492354681,77.5,92,
,A08,SYBR,Tgfb1,Unkn,,83,1927.21903802725,77.5,95,
,A09,SYBR,Tgfb1,Unkn,,83,1986.47037160531,77.5,89,
,A10,SYBR,Tgfb1,Unkn,,83,1788.24976414009,77.5,89.5,
,A11,SYBR,Tgfb1,Unkn,,83,1947.81764840198,77.5,89.5,
,A12,SYBR,Tgfb1,Unkn,,83,2019.62302878967,77.5,91,
,B01,SYBR,Mrc1,Unkn,,81.5,1829.95028271321,78,85,
,B02,SYBR,Mrc1,Unkn,,81.5,1907.53726873659,77.5,85,
,B03,SYBR,Mrc1,Unkn,,81.5,1949.25320676635,77.5,85,
,B04,SYBR,Mrc1,Unkn,,81.5,2103.70560994933,78,85,
,B05,SYBR,Mrc1,Unkn,,81.5,2014.04268478387,77,85,
,B06,SYBR,Mrc1,Unkn,,81.5,1889.41499282878,78,85,
,B07,SYBR,Tgfb1,Unkn,,83,1784.50812855978,77.5,88,
,B08,SYBR,Tgfb1,Unkn,,83,1736.10976712859,77.5,91.5,
,B09,SYBR,Tgfb1,Unkn,,83,1653.96430665185,77,87.5,
,B10,SYBR,Tgfb1,Unkn,,83,1894.55201439404,77.5,87.5,
,B11,SYBR,Tgfb1,Unkn,,83,1975.27374282656,77.5,91.5,
,B12,SYBR,Tgfb1,Unkn,,83,1855.11993967114,77,90.5,
,C01,SYBR,Mrc1,Unkn,,81.5,1946.79132619182,77.5,85,
,C02,SYBR,Mrc1,Unkn,,81.5,1962.00359767825,77.5,85,
,C03,SYBR,Mrc1,Unkn,,81.5,2001.04286480819,78,85,
,C04,SYBR,Mrc1,Unkn,,81.5,2132.55576683666,77.5,85,
,C05,SYBR,Mrc1,Unkn,,81.5,1952.58995633669,77.5,85,
,C06,SYBR,Mrc1,Unkn,,81.5,2119.71974132622,77.5,85,
,C07,SYBR,Tgfb1,Unkn,,83,2019.15807244136,77,90,
,C08,SYBR,Tgfb1,Unkn,,83,1835.21646053408,77.5,92,
,C09,SYBR,Tgfb1,Unkn,,83,2079.89435311738,77.5,92.5,
,C10,SYBR,Tgfb1,Unkn,,83,1855.2406696817,77.5,87.5,
,C11,SYBR,Tgfb1,Unkn,,83,2015.95795418932,77.5,88,
,C12,SYBR,Tgfb1,Unkn,,83,1914.60381891327,77.5,88,
,D01,SYBR,Mrc1,Unkn,,81.5,2019.80729754455,77.5,85,
