,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,13010.2559370945,13974.3480376043,12975.2192878735,13819.1613210629,13087.6588392441,12933.0225741361,14794.3524990024,14278.4250756413,14471.5910412663,13684.4978424367,14428.7322190054,15285.9929208416,12110.7778592313,12100.9083854395,12144.6829511521,13073.3480246391,12723.1005693397,11967.8894668192,13849.1574384507,13392.1093946223,13439.293236553,14258.8247045713,14497.9361512559,14032.5212848465,12635.5777837538,12611.9839851441,12536.1927751986,13297.1912422554,12403.9233971541,13174.8967936346,15171.2862635837,13994.7951072728,15318.8451858402,14137.3124046909,14991.3771290772,14498.1897668827,12912.0084269421,12591.5764918105,12631.2788255334,12353.7076395388,13106.6684451243,13277.4931438774,14548.0188510889,14607.6956662385,14613.9310645822,14382.1963122607,14437.4695824329,14847.2963509142,11631.5719087518,13813.7374945815,12237.5382172868,12614.0738027648,12261.0767399737,14029.1056241618,15096.2027217176,14857.0795623039,16110.7224724004,14837.2632329495,14774.2954184183,15700.1331462747,12462.3883488569,13186.8128021943,11920.3828180047,12487.5750630976,12988.3844464888,13304.6499002167,13942.6766678152,14934.0827914473,15373.6292326932,14603.3178350193,14707.7490365795,15524.1255122144,13829.1514155591,15404.3554765194,15900.0675380303,15251.9579332685,15332.1566293022,15768.9193843108,16194.190140501,15630.1792307415,15136.4754963674,14707.3698301657,14327.110900075,15585.1927435366,13112.8585475077,13807.0923333628,14129.5825239178,13579.5888433223,13049.8420454786,14097.6540233533,15318.9228800737,15154.334893021,16166.2560558711,15171.919670833,15443.4836973963,14529.7547983759
,65.5,12884.0993380785,13851.5251621274,12864.8494083449,13648.2281406972,12996.9340988818,12825.5184962435,14657.4955972337,14177.1751763687,14375.6106963948,13566.6630371149,14316.3221990558,15140.9615720174,11991.0998803335,12004.5962927284,12052.8050333731,12969.8747516322,12622.8954761892,11875.0479678485,13723.1169586675,13291.1721789928,13272.3872397281,14145.3771593607,14395.8420921716,13923.1728933455,12510.0242429662,12509.6267157705,12441.1067392539,13196.1548919253,12304.9738729229,13069.678341176,15041.3988334289,13872.3515902742,15206.8768727395,14021.4813695869,14881.457073226,14366.5398580077,12791.358124722,12492.1320771984,12528.5053998086,12255.3982001469,13002.2095011506,13177.432060444,14429.0754316262,14495.0956338917,14499.3264975575,14273.6016107384,14330.9125291266,14716.8102199758,11516.1302625646,13690.524847336,12138.7589586891,12502.0035315505,12162.1840907404,13916.7625334647,14968.0714780441,14741.8552078546,15997.7865742146,14738.2157723421,14653.7924618334,15564.9727684133,12347.970822663,13075.988041684,11822.2969266585,12384.6134525303,12881.8467832043,13190.2780417384,13828.8229216185,14815.845542905,15269.0332133835,14498.8754625291,14601.8610201031,15379.3338365944,13701.3387031427,15283.1476531055,15789.2690756543,15145.0584774403,15215.8593619639,15652.1678683487,16062.5217019974,15512.1880356749,15027.3449913496,14597.5639162595,14221.3758797871,15431.9813696401,12999.5604486607,13691.3955305076,14016.5716090811,13473.3896493959,12940.5237505581,13978.9985665431,15197.551599229,15031.1113734881,16032.7578995517,15042.7718239341,15310.7478084851,14380.1824636189
,66,12757.9427390626,13728.7022866505,12754.4795288163,13477.2949603315,12906.2093585196,12718.0144183508,14520.6386954649,14075.9252770962,14279.6303515232,13448.828231793,14203.9121791062,14995.9302231931,11871.4219014357,11908.2842000172,11960.927115594,12866.4014786253,12522.6903830387,11782.2064688778,13597.0764788844,13190.2349633634,13105.4812429032,14031.9296141502,14293.7480330873,13813.8245018446,12384.4707021786,12407.269446397,12346.0207033092,13095.1185415951,12206.0243486916,12964.4598887174,14911.5114032742,13749.9080732755,15094.9085596388,13905.6503344828,14771.5370173748,14234.8899491327,12670.7078225019,12392.6876625863,12425.7319740837,12157.088760755,12897.7505571769,13077.3709770106,14310.1320121634,14382.495601545,14384.7219305329,14165.006909216,14224.3554758203,14586.3240890374,11400.6886163773,13567.3122000905,12039.9797000915,12389.9332603362,12063.2914415071,13804.4194427676,14839.9402343705,14626.6308534053,15884.8506760287,14639.1683117346,14533.2895052486,15429.8123905519,12233.5532964691,12965.1632811738,11724.2110353123,12281.6518419629,12775.3091199199,13075.9061832601,13714.9691754218,14697.6082943628,15164.4371940738,14394.433090039,14495.9730036266,15234.5421609743,13573.5259907263,15161.9398296916,15678.4706132782,15038.1590216121,15099.5620946255,15535.4163523867,15930.8532634938,15394.1968406083,14918.2144863318,14487.7580023533,14115.6408594992,15278.7699957435,12886.2623498137,13575.6987276524,13903.5606942444,13367.1904554695,12831.2054556376,13860.3431097329,15076.1803183843,14907.8878539551,15899.2597432323,14913.6239770352,15178.011919574,14230.6101288619
,66.5,12631.7861400467,13605.8794111735,12644.1096492877,13306.3617799658,12815.4846181574,12610.5103404582,14383.7817936962,13974.6753778236,14183.6500066517,13330.9934264711,14091.5021591566,14850.8988743688,11751.7439225379,11811.972107306,11869.049197815,12762.9282056184,12422.4852898882,11689.3649699071,13471.0359991013,13089.297747734,12938.5752460783,13918.4820689396,14191.653974003,13704.4761103436,12258.917161391,12304.9121770234,12250.9346673644,12994.0821912649,12107.0748244604,12859.2414362588,14781.6239731194,13627.4645562769,14982.9402465381,13789.8192993787,14661.6169615236,14103.2400402576,12550.0575202818,12293.2432479742,12322.9585483589,12058.7793213631,12793.2916132032,12977.3098935771,14191.1885927007,14269.8955691983,14270.1173635082,14056.4122076937,14117.798422514,14455.837958099,11285.2469701901,13444.0995528449,11941.2004414938,12277.862989122,11964.3987922738,13692.0763520704,14711.808990697,14511.406498956,15771.9147778428,14540.1208511271,14412.7865486638,15294.6520126904,12119.1357702752,12854.3385206636,11626.1251439661,12178.6902313955,12668.7714566354,12961.5343247819,13601.1154292251,14579.3710458205,15059.8411747641,14289.9907175488,14390.0849871501,15089.7504853543,13445.7132783099,15040.7320062777,15567.6721509021,14931.2595657839,14983.2648272872,15418.6648364246,15799.1848249902,15276.2056455417,14809.083981314,14377.9520884471,14009.9058392113,15125.5586218469,12772.9642509667,13460.0019247971,13790.5497794077,13260.9912615432,12721.887160717,13741.6876529227,14954.8090375395,14784.6643344221,15765.7615869129,14784.4761301362,15045.2760306628,14081.0377941048
,67,12505.6295410308,13483.0565356966,12533.7397697592,13135.4285996001,12724.7598777951,12503.0062625655,14246.9248919274,13873.425478551,14087.6696617802,13213.1586211492,13979.092139207,14705.8675255445,11632.0659436401,11715.6600145949,11777.1712800359,12659.4549326115,12322.2801967377,11596.5234709363,13344.9955193181,12988.3605321046,12771.6692492534,13805.034523729,14089.5599149186,13595.1277188426,12133.3636206033,12202.5549076499,12155.8486314197,12893.0458409347,12008.1253002291,12754.0229838002,14651.7365429647,13505.0210392782,14870.9719334374,13673.9882642746,14551.6969056724,13971.5901313826,12429.4072180617,12193.798833362,12220.185122634,11960.4698819712,12688.8326692295,12877.2488101437,14072.2451732379,14157.2955368516,14155.5127964835,13947.8175061713,14011.2413692077,14325.3518271606,11169.8053240029,13320.8869055994,11842.4211828961,12165.7927179077,11865.5061430404,13579.7332613733,14583.6777470235,14396.1821445067,15658.978879657,14441.0733905197,14292.2835920789,15159.491634829,12004.7182440812,12743.5137601534,11528.0392526199,12075.7286208281,12562.233793351,12847.1624663036,13487.2616830284,14461.1337972783,14955.2451554545,14185.5483450586,14284.1969706736,14944.9588097343,13317.9005658935,14919.5241828638,15456.873688526,14824.3601099557,14866.9675599489,15301.9133204625,15667.5163864865,15158.2144504751,14699.9534762962,14268.146174541,13904.1708189233,14972.3472479503,12659.6661521198,13344.3051219419,13677.538864571,13154.7920676168,12612.5688657965,13623.0321961126,14833.4377566948,14661.4408148891,15632.2634305935,14655.3282832373,14912.5401417516,13931.4654593478
,67.5,12379.4729420151,13360.2336602198,12423.3698902306,12964.4954192343,12634.0351374329,12395.5021846731,14110.0679901587,13772.1755792785,13991.6893169088,13095.3238158273,13866.6821192575,14560.8361767204,11512.3879647423,11619.3479218836,11685.293362257,12555.9816596046,12222.075103587,11503.6819719657,13218.9550395349,12887.4233164752,12604.7632524286,13691.5869785186,13987.4658558344,13485.7793273416,12007.8100798157,12100.1976382764,12060.7625954749,12792.0094906047,11909.1757759978,12648.8045313416,14521.8491128097,13382.5775222794,14759.0036203367,13558.1572291706,14441.7768498213,13839.9402225074,12308.7569158416,12094.35441875,12117.4116969093,11862.1604425794,12584.3737252558,12777.1877267105,13953.3017537752,14044.6955045049,14040.9082294587,13839.2228046488,13904.6843159014,14194.8656962222,11054.3636778157,13197.6742583539,11743.6419242985,12053.7224466934,11766.6134938071,13467.3901706761,14455.54650335,14280.9577900574,15546.0429814709,14342.0259299122,14171.7806354942,15024.3312569675,11890.3007178872,12632.6889996433,11429.9533612736,11972.7670102606,12455.6961300665,12732.7906078253,13373.4079368319,14342.8965487359,14850.6491361449,14081.1059725684,14178.308954197,14800.1671341143,13190.087853477,14798.3163594499,15346.0752261498,14717.4606541276,14750.6702926106,15185.1618045005,15535.8479479832,15040.2232554084,14590.8229712783,14158.3402606348,13798.4357986355,14819.135874054,12546.3680532727,13228.6083190866,13564.5279497344,13048.5928736906,12503.250570876,13504.3767393025,14712.06647585,14538.2172953561,15498.765274274,14526.1804363383,14779.8042528406,13781.8931245906
,68,12253.3163429992,13237.4107847428,12313.000010702,12793.5622388686,12543.3103970707,12287.9981067804,13973.21108839,13670.925680006,13895.7089720373,12977.4890105054,13754.2720993079,14415.8048278961,11392.7099858445,11523.0358291725,11593.415444478,12452.5083865977,12121.8700104365,11410.840472995,13092.9145597518,12786.4861008458,12437.8572556037,13578.139433308,13885.3717967501,13376.4309358406,11882.2565390281,11997.8403689029,11965.6765595302,12690.9731402746,11810.2262517665,12543.586078883,14391.961682655,13260.1340052808,14647.035307236,13442.3261940666,14331.8567939701,13708.2903136324,12188.1066136215,11994.9100041379,12014.6382711844,11763.8510031875,12479.9147812821,12677.126643277,13834.3583343125,13932.0954721582,13926.303662434,13730.6281031265,13798.1272625951,14064.3795652838,10938.9220316285,13074.4616111084,11644.8626657008,11941.6521754791,11667.7208445738,13355.047079979,14327.4152596765,14165.7334356081,15433.1070832851,14242.9784693047,14051.2776789094,14889.1708791061,11775.8831916933,12521.8642391331,11331.8674699274,11869.8053996932,12349.1584667821,12618.418749347,13259.5541906352,14224.6593001937,14746.0531168352,13976.6636000783,14072.4209377205,14655.3754584943,13062.2751410606,14677.108536036,15235.2767637737,14610.5611982994,14634.3730252723,15068.4102885384,15404.1795094796,14922.2320603418,14481.6924662605,14048.5343467286,13692.7007783475,14665.9245001574,12433.0699544257,13112.9115162314,13451.5170348977,12942.3936797642,12393.9322759555,13385.7212824923,14590.6951950053,14414.9937758231,15365.2671179546,14397.0325894394,14647.0683639294,13632.3207898336
,68.5,12120.8395450193,13105.7126360122,12193.3449114662,12620.5054233506,12440.6793363165,12172.2844297062,13825.1839301481,13555.5600816771,13785.0906071042,12849.6602215334,13625.1794654231,14258.0782224709,11265.2603269583,11416.8139833656,11496.1306885739,12340.0649303812,12011.7484706695,11312.376172867,12959.3659711919,12673.1086031733,12267.2186904352,13453.4540059197,13765.3294921168,13249.7418520001,11750.2206331643,11887.6376836785,11864.1592845429,12580.0813546044,11705.0085373785,12431.3409651985,14250.6017000488,13128.6256510689,14521.6862243619,13314.0962958576,14204.5797655242,13560.6026682562,12058.1698000267,11885.6920906009,11904.57584352,11655.6327680949,12369.3482925528,12567.5983478635,13705.672125201,13809.4132840971,13799.6542474024,13604.8876177254,13673.5427173513,13916.1759943747,10816.4032236401,12939.4588273487,11539.5384818999,11823.565748463,11560.6948061239,13233.8493171595,14188.1561922126,14036.3313218902,15303.2598255711,14127.1803577677,13911.7202671934,14732.6123783133,11652.253064993,12401.8956663557,11226.8668502665,11760.1448066142,12234.1672335376,12495.9629127505,13135.8789834846,14094.6948790943,14626.4386121581,13856.0762517157,13951.1671991668,14492.3961118034,12929.4102607937,14544.8224201,15114.0887041901,14492.103878515,14506.9398707264,14939.4547858999,15255.736960215,14790.2304786054,14359.4936957676,13921.3721336778,13570.1746113031,14493.3629772907,12310.1033307374,12990.0349301912,13328.2711209214,12825.3490846897,12273.8170914723,13256.6129143759,14455.7679280066,14277.4189655383,15212.4555495974,14246.7599790665,14499.6008551333,13472.3148171285
,69,11980.8617715891,12964.4046346452,12063.3405565606,12443.5408277784,12322.0508410607,12046.1627478687,13664.0997124232,13421.612299108,13656.3110956389,12709.9349171978,13478.7889603416,14088.391821854,11127.9523592017,11299.7181638526,11390.6038764368,12215.3017559623,11889.1941637169,11205.3499934488,12815.3570473635,12542.9459722389,12093.0249249929,13312.906231578,13625.7351404501,13103.81980183,11611.7893131832,11767.4254443825,11753.7981270622,12456.2554448629,11590.517799755,12309.0036252589,14094.7073904393,12985.7098177682,14379.2902818438,13170.3652683389,14057.1653364204,13397.1386750988,11918.8166566884,11764.181950415,11785.3266970588,11534.8483966465,12249.0258635649,12445.8228566558,13563.6975359139,13672.4678763339,13658.4405782256,13457.3492034952,13528.4781756615,13750.3750481428,10686.6889235395,12792.3317020477,11424.9903024079,11696.617234689,11442.126711486,13100.7284943545,14034.2356804805,13889.6948732706,15152.60113269,13989.7983388429,13752.160793083,14554.8630238192,11518.8690997815,12270.5369190943,11112.6368233273,11641.0591286756,12107.6349001225,12363.1279803772,12999.0075785236,13948.8753495198,14487.1705854642,13715.0015206898,13809.8059838486,14311.8279941756,12790.8725995742,14399.1626303765,14977.9093181686,14358.0266933237,14364.4753475017,14794.5456422416,15088.3421680041,14640.0490998896,14218.9292861128,13774.3725995279,13428.1205667891,14303.3416112224,12175.9699156619,12856.8482761786,13192.5921564114,12694.2318024137,12140.4186880759,13114.6839282801,14303.4978572066,14122.8947973344,15037.5512425648,14073.307020217,14334.1632678218,13301.8115959622
,69.5,11833.0636852936,12813.1029458209,11922.1377395921,12262.1491856974,12186.4860107739,11909.4020870953,13489.3477945202,13267.4397072667,13508.8078975468,12557.9488055677,13315.8651980493,13906.9937288125,10981.7984373694,11170.7306343657,11274.3757317044,12077.1747775055,11751.7734687584,11087.3672879003,12659.3288474435,12394.9406659733,11915.4373539114,13155.5416329709,13467.4045876827,12938.8670351408,11466.2230967341,11635.5136971127,11631.4695841612,12316.900939797,11463.6936309237,12174.0429627953,13922.5697733834,12829.428641292,14218.2557005737,13009.1904540715,13889.515169007,13218.778394479,11769.9871655513,11629.5092381749,11654.3923461895,11399.387372139,12116.7374634446,12309.8634229263,13405.238921302,13519.1069298761,13500.0801253393,13288.3066000404,13361.7347773117,13570.0271609717,10548.6852797589,12633.2910553423,11298.0315114009,11558.9919757071,11310.2223442767,12954.1238217371,13863.979577949,13724.8800904276,14980.5874885405,13829.9144815787,13574.6005074107,14359.4479730253,11375.1080670967,12127.7328452767,10987.08151211,11510.1800827327,11967.2943518983,12217.9020233098,12846.7879438972,13785.1091566528,14326.177969102,13551.8320592633,13647.3365136496,14117.7145465808,12646.0931291685,14240.0532977615,14822.8198439235,14204.552566964,14205.1323390774,14631.7467114924,14900.6401565803,14470.2331325525,14058.4996355666,13605.8891173753,13266.0455094039,14100.1953370669,12030.3537389248,12712.2275215539,13042.2558512755,12547.8548068127,11993.3619506779,12958.1809319935,14132.1021500275,13949.9256252904,14839.3762707435,13878.2732103113,14151.4364529607,13120.9439830427
