,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Mrc1,Unkn,,,26.0729852205195,26.0729852205195,0,NaN,NaN,NaN,0,55,
,A02,SYBR,Mrc1,Unkn,,,25.5312676742461,25.5312676742461,0,NaN,NaN,NaN,0,55,
,A03,SYBR,Mrc1,Unkn,,,26.3832640944166,26.3832640944166,0,NaN,NaN,NaN,0,55,
,A04,SYBR,Mrc1,Unkn,,,26.4315223764052,26.4315223764052,0,NaN,NaN,NaN,0,55,
,A05,SYBR,Mrc1,Unkn,,,26.4272059420642,26.4272059420642,0,NaN,NaN,NaN,0,55,
,A06,SYBR,Mrc1,Unkn,,,26.2995162718958,26.2995162718958,0,NaN,NaN,NaN,0,55,
,A07,SYBR,Tgfb1,Unkn,,,22.1709280690397,22.1709280690397,0,NaN,NaN,NaN,0,55,
,A08,SYBR,Tgfb1,Unkn,,,22.1416238006699,22.1416238006699,0,NaN,NaN,NaN,0,55,
,A09,SYBR,Tgfb1,Unkn,,,22.6646967410402,22.6646967410402,0,NaN,NaN,NaN,0,55,
,A10,SYBR,Tgfb1,Unkn,,,22.630712098855,22.630712098855,0,NaN,NaN,NaN,0,55,
,A11,SYBR,Tgfb1,Unkn,,,22.3449949059799,22.3449949059799,0,NaN,NaN,NaN,0,55,
,A12,SYBR,Tgfb1,Unkn,,,22.3644666377683,22.3644666377683,0,NaN,NaN,NaN,0,55,
,B01,SYBR,Mrc1,Unkn,,,29.1074023241166,29.1074023241166,0,NaN,NaN,NaN,0,55,
,B02,SYBR,Mrc1,Unkn,,,28.1675371527488,28.1675371527488,0,NaN,NaN,NaN,0,55,
,B03,SYBR,Mrc1,Unkn,,,26.3131327989771,26.3131327989771,0,NaN,NaN,NaN,0,55,
,B04,SYBR,Mrc1,Unkn,,,26.274608022024,26.274608022024,0,NaN,NaN,NaN,0,55,
,B05,SYBR,Mrc1,Unkn,,,27.0728580523374,27.0728580523374,0,NaN,NaN,NaN,0,55,
,B06,SYBR,Mrc1,Unkn,,,27.0688826956418,27.0688826956418,0,NaN,NaN,NaN,0,55,
,B07,SYBR,Tgfb1,Unkn,,,25.6045374600996,25.6045374600996,0,NaN,NaN,NaN,0,55,
,B08,SYBR,Tgfb1,Unkn,,,26.4601553587575,26.4601553587575,0,NaN,NaN,NaN,0,55,
,B09,SYBR,Tgfb1,Unkn,,,25.0316466797687,25.0316466797687,0,NaN,NaN,NaN,0,55,
,B10,SYBR,Tgfb1,Unkn,,,24.1551281318976,24.1551281318976,0,NaN,NaN,NaN,0,55,
,B11,SYBR,Tgfb1,Unkn,,,24.1541673472629,24.1541673472629,0,NaN,NaN,NaN,0,55,
,B12,SYBR,Tgfb1,Unkn,,,24.2461530614652,24.2461530614652,0,NaN,NaN,NaN,0,55,
,C01,SYBR,Mrc1,Unkn,,,28.3052603879181,28.3052603879181,0,NaN,NaN,NaN,0,55,
,C02,SYBR,Mrc1,Unkn,,,28.3504782068533,28.3504782068533,0,NaN,NaN,NaN,0,55,
,C03,SYBR,Mrc1,Unkn,,,27.1167825713815,27.1167825713815,0,NaN,NaN,NaN,0,55,
,C04,SYBR,Mrc1,Unkn,,,27.2709755063291,27.2709755063291,0,NaN,NaN,NaN,0,55,
,C05,SYBR,Mrc1,Unkn,,,27.484984067227,27.484984067227,0,NaN,NaN,NaN,0,55,
,C06,SYBR,Mrc1,Unkn,,,27.293793132944,27.293793132944,0,NaN,NaN,NaN,0,55,
,C07,SYBR,Tgfb1,Unkn,,,25.225549738389,25.225549738389,0,NaN,NaN,NaN,0,55,
,C08,SYBR,Tgfb1,Unkn,,,25.3278397840075,25.3278397840075,0,NaN,NaN,NaN,0,55,
,C09,SYBR,Tgfb1,Unkn,,,24.1084183045879,24.1084183045879,0,NaN,NaN,NaN,0,55,
,C10,SYBR,Tgfb1,Unkn,,,24.2283639287838,24.2283639287838,0,NaN,NaN,NaN,0,55,
,C11,SYBR,Tgfb1,Unkn,,,24.217906686809,24.217906686809,0,NaN,NaN,NaN,0,55,
,C12,SYBR,Tgfb1,Unkn,,,24.3173456341911,24.3173456341911,0,NaN,NaN,NaN,0,55,
,D01,SYBR,Mrc1,Unkn,,,26.4895682138229,26.4895682138229,0,NaN,NaN,NaN,0,55,
,D02,SYBR,Mrc1,Unkn,,,26.6292668290688,26.6292668290688,0,NaN,NaN,NaN,0,55,
,D03,SYBR,Mrc1,Unkn,,,26.9098271335688,26.9098271335688,0,NaN,NaN,NaN,0,55,
,D04,SYBR,Mrc1,Unkn,,,27.0316085739597,27.0316085739597,0,NaN,NaN,NaN,0,55,
,D05,SYBR,Mrc1,Unkn,,,26.2145117457524,26.2145117457524,0,NaN,NaN,NaN,0,55,
,D06,SYBR,Mrc1,Unkn,,,26.0681402665261,26.0681402665261,0,NaN,NaN,NaN,0,55,
,D07,SYBR,Tgfb1,Unkn,,,23.3917628180855,23.3917628180855,0,NaN,NaN,NaN,0,55,
,D08,SYBR,Tgfb1,Unkn,,,23.2113361201081,23.2113361201081,0,NaN,NaN,NaN,0,55,
,D09,SYBR,Tgfb1,Unkn,,,23.499020385525,23.499020385525,0,NaN,NaN,NaN,0,55,
,D10,SYBR,Tgfb1,Unkn,,,23.5859226147037,23.5859226147037,0,NaN,NaN,NaN,0,55,
,D11,SYBR,Tgfb1,Unkn,,,23.0829633823736,23.0829633823736,0,NaN,NaN,NaN,0,55,
,D12,SYBR,Tgfb1,Unkn,,,23.1508490301326,23.1508490301326,0,NaN,NaN,NaN,0,55,
,E01,SYBR,Mrc1,Unkn,,,26.9691913813959,26.9691913813959,0,NaN,NaN,NaN,0,55,
,E02,SYBR,Mrc1,Unkn,,,26.4708496092312,26.4708496092312,0,NaN,NaN,NaN,0,55,
,E03,SYBR,Mrc1,Unkn,,,27.1413800847587,27.1413800847587,0,NaN,NaN,NaN,0,55,
,E04,SYBR,Mrc1,Unkn,,,27.2258941393441,27.2258941393441,0,NaN,NaN,NaN,0,55,
,E05,SYBR,Mrc1,Unkn,,,26.6162611116228,26.6162611116228,0,NaN,NaN,NaN,0,55,
,E06,SYBR,Mrc1,Unkn,,,26.2454343779543,26.2454343779543,0,NaN,NaN,NaN,0,55,
,E07,SYBR,Tgfb1,Unkn,,,23.9087655477624,23.9087655477624,0,NaN,NaN,NaN,0,55,
,E08,SYBR,Tgfb1,Unkn,,,24.0601952340172,24.0601952340172,0,NaN,NaN,NaN,0,55,
,E09,SYBR,Tgfb1,Unkn,,,23.2929904291222,23.2929904291222,0,NaN,NaN,NaN,0,55,
,E10,SYBR,Tgfb1,Unkn,,,23.3914472463131,23.3914472463131,0,NaN,NaN,NaN,0,55,
,E11,SYBR,Tgfb1,Unkn,,,22.8896662087215,22.8896662087215,0,NaN,NaN,NaN,0,55,
,E12,SYBR,Tgfb1,Unkn,,,22.8151446457692,22.8151446457692,0,NaN,NaN,NaN,0,55,
,F01,SYBR,Mrc1,Unkn,,,27.0021323413106,27.0021323413106,0,NaN,NaN,NaN,0,55,
,F02,SYBR,Mrc1,Unkn,,,26.5147532029297,26.5147532029297,0,NaN,NaN,NaN,0,55,
,F03,SYBR,Mrc1,Unkn,,,27.1398492653707,27.1398492653707,0,NaN,NaN,NaN,0,55,
,F04,SYBR,Mrc1,Unkn,,,27.1740093580711,27.1740093580711,0,NaN,NaN,NaN,0,55,
,F05,SYBR,Mrc1,Unkn,,,26.3979919870832,26.3979919870832,0,NaN,NaN,NaN,0,55,
,F06,SYBR,Mrc1,Unkn,,,26.2555725300786,26.2555725300786,0,NaN,NaN,NaN,0,55,
,F07,SYBR,Tgfb1,Unkn,,,23.1342122131558,23.1342122131558,0,NaN,NaN,NaN,0,55,
,F08,SYBR,Tgfb1,Unkn,,,23.1129801389024,23.1129801389024,0,NaN,NaN,NaN,0,55,
,F09,SYBR,Tgfb1,Unkn,,,23.0549036628327,23.0549036628327,0,NaN,NaN,NaN,0,55,
,F10,SYBR,Tgfb1,Unkn,,,23.1029527314827,23.1029527314827,0,NaN,NaN,NaN,0,55,
,F11,SYBR,Tgfb1,Unkn,,,22.5958296888542,22.5958296888542,0,NaN,NaN,NaN,0,55,
,F12,SYBR,Tgfb1,Unkn,,,22.6853763665622,22.6853763665622,0,NaN,NaN,NaN,0,55,
,G01,SYBR,Mrc1,Unkn,,,22.0997878347322,22.0997878347322,0,NaN,NaN,NaN,0,55,
,G02,SYBR,Mrc1,Unkn,,,21.9496139459057,21.9496139459057,0,NaN,NaN,NaN,0,55,
,G03,SYBR,Mrc1,Unkn,,,22.010596455002,22.010596455002,0,NaN,NaN,NaN,0,55,
,G04,SYBR,Mrc1,Unkn,,,22.0265653217382,22.0265653217382,0,NaN,NaN,NaN,0,55,
,G05,SYBR,Mrc1,Unkn,,,22.1040081191703,22.1040081191703,0,NaN,NaN,NaN,0,55,
,G06,SYBR,Mrc1,Unkn,,,21.9440344643989,21.9440344643989,0,NaN,NaN,NaN,0,55,
,G07,SYBR,Tgfb1,Unkn,,,21.5371044474888,21.5371044474888,0,NaN,NaN,NaN,0,55,
,G08,SYBR,Tgfb1,Unkn,,,21.4619450335357,21.4619450335357,0,NaN,NaN,NaN,0,55,
,G09,SYBR,Tgfb1,Unkn,,,21.8179990669398,21.8179990669398,0,NaN,NaN,NaN,0,55,
,G10,SYBR,Tgfb1,Unkn,,,21.8947955933079,21.8947955933079,0,NaN,NaN,NaN,0,55,
,G11,SYBR,Tgfb1,Unkn,,,21.7229302997165,21.7229302997165,0,NaN,NaN,NaN,0,55,
,G12,SYBR,Tgfb1,Unkn,,,21.8527344258093,21.8527344258093,0,NaN,NaN,NaN,0,55,
,H01,SYBR,Mrc1,Unkn,,,24.4633918202247,24.4633918202247,0,NaN,NaN,NaN,0,55,
,H02,SYBR,Mrc1,Unkn,,,24.2611212100414,24.2611212100414,0,NaN,NaN,NaN,0,55,
,H03,SYBR,Mrc1,Unkn,,,23.7523290276157,23.7523290276157,0,NaN,NaN,NaN,0,55,
,H04,SYBR,Mrc1,Unkn,,,23.8426117743082,23.8426117743082,0,NaN,NaN,NaN,0,55,
,H05,SYBR,Mrc1,Unkn,,,26.0267360955807,26.0267360955807,0,NaN,NaN,NaN,0,55,
,H06,SYBR,Mrc1,Unkn,,,25.7715584777218,25.7715584777218,0,NaN,NaN,NaN,0,55,
,H07,SYBR,Tgfb1,Unkn,,,23.0984239646528,23.0984239646528,0,NaN,NaN,NaN,0,55,
,H08,SYBR,Tgfb1,Unkn,,,23.0190565128154,23.0190565128154,0,NaN,NaN,NaN,0,55,
,H09,SYBR,Tgfb1,Unkn,,,22.9541461114689,22.9541461114689,0,NaN,NaN,NaN,0,55,
,H10,SYBR,Tgfb1,Unkn,,,23.0471074858952,23.0471074858952,0,NaN,NaN,NaN,0,55,
,H11,SYBR,Tgfb1,Unkn,,,23.2000230931985,23.2000230931985,0,NaN,NaN,NaN,0,55,
,H12,SYBR,Tgfb1,Unkn,,,23.2827090232284,23.2827090232284,0,NaN,NaN,NaN,0,55,
