,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,26.0729852205195,25.5312676742461,26.3832640944166,26.4315223764052,26.4272059420642,26.2995162718958,22.1709280690397,22.1416238006699,22.6646967410402,22.630712098855,22.3449949059799,22.3644666377683
A,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,29.1074023241166,28.1675371527488,26.3131327989771,26.274608022024,27.0728580523374,27.0688826956418,25.6045374600996,26.4601553587575,25.0316466797687,24.1551281318976,24.1541673472629,24.2461530614652
B,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,28.3052603879181,28.3504782068533,27.1167825713815,27.2709755063291,27.484984067227,27.293793132944,25.225549738389,25.3278397840075,24.1084183045879,24.2283639287838,24.217906686809,24.3173456341911
C,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,26.4895682138229,26.6292668290688,26.9098271335688,27.0316085739597,26.2145117457524,26.0681402665261,23.3917628180855,23.2113361201081,23.499020385525,23.5859226147037,23.0829633823736,23.1508490301326
D,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,26.9691913813959,26.4708496092312,27.1413800847587,27.2258941393441,26.6162611116228,26.2454343779543,23.9087655477624,24.0601952340172,23.2929904291222,23.3914472463131,22.8896662087215,22.8151446457692
E,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,27.0021323413106,26.5147532029297,27.1398492653707,27.1740093580711,26.3979919870832,26.2555725300786,23.1342122131558,23.1129801389024,23.0549036628327,23.1029527314827,22.5958296888542,22.6853763665622
F,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,22.0997878347322,21.9496139459057,22.010596455002,22.0265653217382,22.1040081191703,21.9440344643989,21.5371044474888,21.4619450335357,21.8179990669398,21.8947955933079,21.7229302997165,21.8527344258093
G,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,24.4633918202247,24.2611212100414,23.7523290276157,23.8426117743082,26.0267360955807,25.7715584777218,23.0984239646528,23.0190565128154,22.9541461114689,23.0471074858952,23.2000230931985,23.2827090232284
H,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
