,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,,12149.6566938259,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,,14829.6462914422,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,,12768.525913612,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,,15574.0012879643,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,,11790.8873245232,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,,12163.6803361403,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,,14549.1684691051,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,,13300.9559485957,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,,11814.2319106013,,Unknown,Unassigned,False
,A10,SYBR,,Unkn,,13843.4096423774,,Unknown,Unassigned,False
,A11,SYBR,,Unkn,,12109.3230057934,,Unknown,Unassigned,False
,A12,SYBR,,Unkn,,15889.9544795332,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,,38063.4056865096,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,,32667.7718860658,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,,29246.2811442399,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,,31006.1152519387,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,,37305.3506930337,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,,37953.0650277578,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,,19508.0234979442,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,,23478.8879987828,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,,15186.3225660224,,Unknown,Unassigned,False
,B10,SYBR,,Unkn,,15122.2801740757,,Unknown,Unassigned,False
,B11,SYBR,,Unkn,,24309.0461639245,,Unknown,Unassigned,False
,B12,SYBR,,Unkn,,23842.00796425,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,,45509.8960422819,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,,40547.0018030706,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,,39741.5753071387,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,,39330.2008210382,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,,43371.7450057413,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,,43301.4776703882,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,,26278.6423659758,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,,25343.8391833718,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,,19821.1953575798,,Unknown,Unassigned,False
,C10,SYBR,,Unkn,,19576.0683122535,,Unknown,Unassigned,False
,C11,SYBR,,Unkn,,30937.5426600906,,Unknown,Unassigned,False
,C12,SYBR,,Unkn,,30584.2548501852,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,,43401.7176400338,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,,45388.7946865804,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,,44598.5176616578,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,,46230.445224493,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,,47248.777855895,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,,48176.8885804503,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,,37907.4591691708,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,,39252.6544148079,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,,31545.087955067,,Unknown,Unassigned,False
,D10,SYBR,,Unkn,,30551.4334936448,,Unknown,Unassigned,False
,D11,SYBR,,Unkn,,42890.9017804304,,Unknown,Unassigned,False
,D12,SYBR,,Unkn,,42180.8922556513,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,,43863.8225961421,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,,46930.9848985307,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,,46277.1385698495,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,,46715.6890181103,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,,45348.074326898,,Unknown,Unassigned,False
