,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,445.705009243678,626.482015143256,429.481188852461,632.117613983005,400.528644731762,419.729898910065,480.634309019297,417.994635503965,410.831099368592,420.433453090854,406.6295979477,654.851004704058,794.741479048403,527.824824382723,493.38073047512,507.973237291209,506.995931505014,499.273076455414,414.08798155291,479.055349099687,428.207397645228,442.774316227358,507.216737130291,519.138898800874,875.583208355203,601.642561228973,553.326600483773,531.425173618509,534.09634548374,521.809403346337,499.909321195005,495.716649859996,483.123593979895,482.516700769703,545.257249664593,565.625598217832,575.013160491279,575.53449324332,540.353759889602,552.390331742999,535.560806120764,567.803137065137,518.860728714023,529.069199126017,521.195104633047,515.4560763073,555.665173776992,560.346837593654,595.350082525794,611.77285752533,575.297477639764,566.269621755477,556.09199538412,539.870233207917,499.045722344094,484.430665864661,462.630770794409,435.104953925478,505.212435443,557.924058699998,899.638542056364,608.311814365157,550.814074584769,555.649391080207,573.072015426955,579.487066409603,558.414660864266,578.369663206884,532.085581701704,542.170615531453,563.373359364547,636.076678787947,490.103900265931,494.060643067099,488.256659204818,475.745963128843,463.424303356604,467.028221432216,488.034639253934,471.042168914203,454.558285960229,454.218750866774,479.089815932643,479.686550076967,493.436393891719,606.379649534718,608.660773519618,604.394271896535,653.178040476605,630.105800206475,570.472582306172,547.870015336236,493.308462360019,532.952252085975,840.278916701423,570.306437991238
,65.5,965.694186694634,1357.37769947703,930.542575846988,1369.58816362984,867.812063585486,909.41478097181,1041.37433620847,905.655043591923,890.134048631953,910.939148363517,881.030795553349,1418.84384352548,1721.93987127152,1143.62045282924,1068.99158269609,1100.60868079762,1098.49118492752,1081.75833232007,897.190626697972,1037.95325638265,927.782694897992,959.344351825949,1098.96959711565,1124.80094740187,1897.09695143627,1303.55888266278,1198.87430104816,1151.42120950678,1157.20874854812,1130.58704058375,1083.13686258917,1074.05274136332,1046.76778695644,1045.45285166769,1181.39070760661,1225.52212947196,1245.86184773114,1246.9914020272,1170.76647976081,1196.84571877653,1160.38174659496,1230.24013030781,1124.19824554705,1146.31659810639,1129.25606003828,1116.82149866579,1203.94120985014,1214.08481478629,1289.9251788059,1325.50785797156,1246.47786821946,1226.91751380355,1204.86598999891,1169.71883861717,1081.26573174554,1049.59977604011,1002.36667005455,942.727400171878,1094.62694345983,1208.83546051666,1949.21684112214,1318.00893112454,1193.43049493368,1203.90701400713,1241.65603342509,1255.55531055412,1209.89843187256,1253.13427028157,1152.85209368704,1174.70300031817,1220.64227862319,1378.16613737387,1061.89178390951,1070.46472664538,1057.8894282771,1030.78292011249,1004.08599060597,1011.8944797698,1057.40838505019,1020.59136598078,984.876286247162,984.140626878017,1038.02793452073,1039.3208585001,1069.11218676541,1313.82257399186,1318.76500929252,1309.5209224425,1415.21908769934,1365.22923378071,1236.02392833006,1187.05169989519,1068.83500178005,1154.72987951961,1820.60431951974,1235.66394898102
,66,891.410018487354,1252.96403028646,858.962377704912,1264.235227966,801.057289463524,839.459797820132,961.268618038597,835.989271007928,821.662198737186,840.866906181701,813.259195895399,1309.70200940816,1589.48295809676,1055.64964876546,986.761460950242,1015.94647458242,1013.99186301001,998.546152910852,828.17596310582,958.110698199364,856.41479529046,885.548632454729,1014.43347426062,1038.27779760171,1751.16641671042,1203.28512245795,1106.65320096752,1062.85034723703,1068.1926909675,1043.61880669272,999.818642390012,991.433299719998,966.247187959788,965.033401539404,1090.51449932917,1131.25119643565,1150.02632098262,1151.06898648664,1080.70751977921,1104.78066348606,1071.12161224149,1135.6062741303,1037.72145742804,1058.13839825208,1042.3902092661,1030.91215261455,1111.33034755396,1120.69367518737,1190.70016505162,1223.54571505065,1150.59495527948,1132.53924351098,1112.18399076821,1079.74046641586,998.091444688207,968.861331729333,925.261541588806,870.209907850964,1010.424870886,1115.84811739999,1799.27708411275,1216.62362873037,1101.62814916956,1111.29878216046,1146.14403085393,1158.97413281918,1116.82932172852,1156.73932641374,1064.17116340343,1084.34123106295,1126.74671872908,1272.15335757587,980.207800531865,988.121286134182,976.513318409634,951.491926257686,926.848606713205,934.056442864425,976.069278507879,942.084337828422,909.116571920457,908.437501733561,958.179631865299,959.373100153947,986.872787783455,1212.7592990694,1217.32154703926,1208.78854379308,1306.35608095327,1260.21160041297,1140.94516461238,1095.74003067249,986.616924720052,1065.90450417194,1680.55783340282,1140.61287598248
,66.5,891.410018487443,1252.96403028638,858.962377704898,1264.23522796605,801.05728946344,839.459797820141,961.268618038608,835.989271007927,821.662198737172,840.866906181686,813.259195895406,1309.70200940814,1589.48295809683,1055.6496487654,986.761460950226,1015.94647458238,1013.99186301003,998.546152910938,828.175963105879,958.110698199303,856.414795290538,885.548632454673,1014.43347426057,1038.27779760172,1751.16641671035,1203.28512245801,1106.65320096751,1062.85034723693,1068.19269096735,1043.6188066928,999.818642389985,991.433299720013,966.247187959761,965.033401539419,1090.5144993292,1131.25119643566,1150.02632098247,1151.06898648675,1080.70751977915,1104.7806634859,1071.12161224159,1135.60627413016,1037.72145742793,1058.13839825203,1042.39020926617,1030.9121526146,1111.33034755396,1120.69367518729,1190.70016505164,1223.54571505069,1150.59495527954,1132.53924351096,1112.18399076819,1079.74046641583,998.091444688257,968.861331729276,925.261541588723,870.209907850905,1010.42487088599,1115.84811740006,1799.27708411271,1216.62362873035,1101.62814916954,1111.29878216035,1146.14403085388,1158.97413281914,1116.82932172866,1156.73932641379,1064.17116340348,1084.34123106297,1126.74671872908,1272.15335757597,980.207800531891,988.121286134242,976.513318409566,951.491926257828,926.848606713231,934.056442864429,976.069278507883,942.084337828459,909.11657192044,908.437501733609,958.17963186521,959.373100153844,986.872787783432,1212.75929906936,1217.32154703931,1208.78854379306,1306.35608095326,1260.21160041286,1140.94516461244,1095.74003067251,986.616924720071,1065.90450417206,1680.55783340292,1140.61287598245
,67,891.410018486697,1252.96403028725,858.962377705034,1264.23522796578,801.057289464116,839.459797820068,961.268618038479,835.989271007959,821.662198737321,840.866906181844,813.259195895347,1309.70200940818,1589.4829580965,1055.6496487658,986.761460950269,1015.94647458267,1013.99186300989,998.546152910139,828.175963105432,958.110698199831,856.41479528992,885.548632455067,1014.43347426081,1038.27779760184,1751.16641671075,1203.28512245751,1106.65320096785,1062.85034723765,1068.19269096847,1043.61880669202,999.818642390114,991.433299719905,966.247187959979,965.033401539295,1090.51449932902,1131.25119643563,1150.02632098344,1151.06898648592,1080.70751977965,1104.78066348689,1071.12161224089,1135.60627413115,1037.72145742873,1058.13839825233,1042.39020926558,1030.91215261441,1111.33034755409,1120.69367518769,1190.70016505127,1223.54571505051,1150.59495527933,1132.53924351099,1112.18399076845,1079.74046641601,998.091444687727,968.861331729699,925.261541589467,870.209907851317,1010.42487088608,1115.84811739945,1799.27708411293,1216.6236287303,1101.62814916957,1111.29878216101,1146.14403085422,1158.97413281953,1116.82932172765,1156.73932641346,1064.17116340301,1084.34123106276,1126.7467187293,1272.1533575753,980.207800531671,988.121286133835,976.513318410086,951.491926256717,926.848606713026,934.056442864408,976.069278507771,942.084337828136,909.116571920577,908.437501733166,958.17963186584,959.373100154602,986.872787783614,1212.75929906994,1217.32154703869,1208.78854379317,1306.35608095319,1260.2116004136,1140.94516461174,1095.74003067231,986.616924719794,1065.90450417116,1680.5578334023,1140.61287598268
,67.5,890.601770066973,1253.86086720116,857.823127714665,1265.04494517306,799.4238791054,837.505487180803,959.275280227874,834.365648860819,820.340474788132,838.924578101124,812.05156866399,1310.23604589491,1590.7208133827,1054.39795516477,985.237930941937,1014.58995922711,1011.80001466928,995.94181812218,827.48954643995,956.524084204458,855.698249444911,884.327461693411,1013.32766720758,1037.97929096359,1752.85242421762,1202.56914500405,1106.83922714383,1062.29582001641,1066.42450008252,1043.09240294916,999.604886130816,990.743809148885,965.433281686855,963.769053135238,1088.78392102369,1130.50958720693,1148.91402096817,1149.7708989773,1078.2103607774,1103.64553356772,1069.60799287221,1133.5570462297,1037.07573263186,1057.52945890617,1040.94636132811,1029.21312470011,1108.5642060957,1119.06360015216,1189.69888006246,1221.65203614886,1148.08108539823,1129.61318794227,1109.73155230852,1077.49736590672,995.674081162183,966.906506016169,922.942229054306,867.903245257258,1008.31663757307,1114.68190356113,1800.58962708089,1215.45653322048,1099.36639290613,1108.39166516356,1143.48446328589,1156.33893114104,1114.99810753152,1154.04969229736,1062.42383643948,1082.40221498247,1124.71232578508,1271.02085494934,979.099713548365,986.608609136827,974.552212686247,949.438218542515,925.318542880298,932.804887213918,974.170813795218,939.958136524057,907.392733222579,907.184977211321,956.625514836952,958.334482651302,987.635229326808,1211.32441714325,1214.92228069496,1207.50265194807,1305.67855498167,1259.04708919941,1139.46078069692,1091.85706574057,984.981559420782,1064.79229506038,1681.79110687178,1139.76774646937
,68,895.633979962357,1248.42496127792,864.010797247913,1260.16072559322,808.462990956366,849.002271923625,971.168014570772,843.628231372018,828.214400131397,849.989318252092,819.265730192667,1306.81607522153,1582.7422762242,1061.87823825349,993.901827230803,1021.85135426905,1024.17124877106,1010.70467218138,831.139357427277,965.169015234485,858.99564368164,891.359463620486,1019.87910737003,1039.29366370567,1742.67435285511,1206.77479237804,1103.66814422692,1064.59937695324,1076.19487030276,1044.71104690679,1000.11745320225,993.999762630227,969.129451621581,970.830583615333,1099.20424318309,1134.58631835462,1155.61748223752,1157.31380818239,1092.59302494405,1109.78267023036,1077.57528667333,1145.0878974366,1040.14381361227,1060.12532730985,1048.03301882225,1037.88016037381,1125.26196607213,1128.53441793046,1195.70880509686,1232.60344284542,1162.76041820726,1146.32445269548,1123.67064152859,1089.28176004017,1009.5787152586,977.673032110652,936.205464526483,880.890507544874,1020.55162839127,1121.32378418695,1792.66801514726,1222.21387614343,1112.2502673515,1124.77738691119,1158.96216606639,1171.42347061097,1124.98935415422,1168.88944063886,1071.19388455775,1092.46132012463,1136.20068244603,1277.82841457016,985.764600979603,995.188271093303,985.699066597201,961.128039723634,933.613813684764,939.838371627033,985.376240680393,951.878930612484,916.767540620766,914.202193302189,965.889776137979,964.248407226211,980.495604510937,1219.21813841791,1229.05398562252,1214.88147433611,1309.96918321097,1265.94341283241,1148.76010766257,1115.00077094058,994.974646565345,1071.78938742655,1673.85812803,1145.1552548053
,68.5,905.112313562647,1236.94381397485,883.389065639938,1249.62210686439,834.120361596785,875.683485130668,997.469111933809,867.971844833882,845.85068644875,878.915650913769,835.283285219175,1301.4294818248,1570.16037218261,1078.04134792154,1016.92524847784,1044.67772028539,1057.28926969797,1049.58157595994,842.333195011734,990.997732391864,874.047177715389,908.79241527177,1034.16041114593,1045.95504865127,1721.36113151637,1216.3373847897,1113.60727678988,1077.05463423265,1103.98537675827,1059.97025366326,1006.75843303184,1007.90832369677,986.394512239047,990.286553396156,1121.29524503633,1146.62164309169,1169.87754704445,1175.50118541492,1128.69527245815,1127.60899004405,1103.31342618803,1175.80997079972,1052.44964143969,1073.37852940853,1075.93229650572,1069.14181835218,1160.48606661786,1151.85221693893,1208.83162035549,1260.31869349899,1197.93490042117,1189.69388014019,1160.35301766616,1128.64039164172,1044.42126605456,1008.5971836327,969.97959008888,915.039165869603,1050.44471003557,1138.71912999277,1775.86932266233,1238.91038257093,1145.63220247839,1168.67019416019,1196.32964656493,1209.68831038775,1154.44967471291,1211.4361236594,1104.60290476426,1127.42849257213,1166.93503480234,1292.22800301785,1000.08914636747,1018.22868707934,1014.66281284833,990.944849352622,958.673565623048,958.933234477529,1010.57273827267,984.048933574092,944.423320888813,932.925954340771,986.691371987747,979.862899553956,982.451724507931,1241.77578536463,1262.04722752574,1233.79046791098,1317.33244488836,1281.63958949431,1165.25069607425,1167.3362209752,1014.36152432301,1084.17138828003,1661.44063565812,1154.39080865172
,69,912.262851803277,1227.95470366866,900.770746219083,1241.2941107104,864.694212873719,903.351352252341,1022.25549211879,891.379415551296,862.0314888412,909.512048094832,848.97850960952,1296.26891415868,1561.71730161087,1095.36538157746,1039.59320673388,1072.78047748532,1094.64103269541,1093.48502620935,859.76462502258,1021.72767713606,896.33508839994,928.85558055709,1052.62816064322,1055.83612578419,1700.08143824217,1228.21087238939,1137.02459199983,1101.67931600994,1137.22119034755,1091.12717968212,1023.44123286471,1028.979496698,1013.90856009914,1013.24146881159,1142.56839508797,1159.46308083454,1182.90922876485,1195.237310853,1166.13762281057,1155.19516580804,1139.20604561492,1213.13106996492,1075.78077400041,1100.07479667888,1115.61878088961,1109.10268402863,1194.00164753296,1173.86540307176,1220.11884566908,1283.91656087809,1232.11510630457,1234.58947210065,1199.25532661856,1176.45896843733,1082.22969651846,1046.17994482258,1008.38161304512,960.320960386466,1081.21309624211,1156.75132779155,1760.66616878068,1255.96190493219,1182.31993890604,1219.19923803591,1234.90736517864,1253.07325501328,1191.08181634968,1262.36267126665,1144.79873150412,1169.2468535927,1201.26957371421,1307.39734842868,1013.36016243158,1040.51807804352,1047.81041128222,1027.73290033545,988.868607364329,979.93826004358,1039.05791619134,1023.39467411824,980.567411007421,957.7230521159,1004.54250587971,995.097204272803,1027.50813616862,1270.53345295869,1292.6807485699,1252.61296527211,1322.9863746513,1296.74797377023,1180.87796405167,1211.23558032583,1036.95486638559,1094.19765206792,1650.92991660204,1159.65290675164
,69.5,917.549267722084,1218.89208820213,916.950483863005,1233.92027645773,894.405836698005,927.273912079195,1048.10974360351,912.856845174812,875.450640422016,935.054390475585,865.001831146221,1289.02626190304,1547.95591158443,1113.21730836276,1057.10040216642,1101.13167903623,1128.35189416107,1135.08631446124,881.145863711084,1051.56773440038,926.461018049404,947.804785597456,1071.2530195397,1068.04142524575,1680.07893128565,1239.09657115431,1163.90226763358,1136.22063816596,1173.0548200708,1126.95714360405,1047.18435802672,1056.47558155994,1045.27300336302,1035.07244408912,1166.73783379046,1170.30049668786,1196.69868685903,1215.78819389269,1204.00081229987,1192.98537293436,1182.08572515749,1255.56003489862,1107.626279863,1135.444796037,1157.21581163277,1149.1737272819,1223.12589221461,1193.43405530204,1230.26145316225,1307.96292550598,1272.22968848921,1274.73203959946,1234.61986130716,1221.63295409881,1121.41028093807,1085.09470565833,1046.14677900943,1006.84599154813,1111.29595795635,1173.12979137244,1746.91440545684,1271.0841212666,1221.52073002771,1268.19190602916,1274.55659957305,1297.43044377133,1230.89392642302,1310.38123030762,1185.77239500304,1208.73458127707,1231.94233549393,1322.56943215037,1024.79037113231,1059.42016816684,1080.60238985763,1069.76008324751,1023.03191140393,1003.46622745358,1073.25564237819,1065.53879173733,1023.57252904604,986.091257582411,1022.04800268281,1009.52968383761,1096.77701479125,1302.23441365562,1324.22815336817,1269.5466456782,1330.47270243958,1311.90566720231,1198.48055103841,1243.10622883045,1061.02642489052,1104.98500919037,1638.19566189536,1163.29210546399
