,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Unkn,,80,5868.78012901391,75.5,88,
,A02,SYBR,,Unkn,,80.5,5241.33944581533,76.5,86,
,A03,SYBR,,Unkn,,80,6109.49390498612,75.5,89,
,A04,SYBR,,Unkn,,80.5,5677.78107444099,76,95,
,A05,SYBR,,Unkn,,80,6226.40233910567,76,94,
,A06,SYBR,,Unkn,,80,6463.28972869621,76,83,
,A07,SYBR,,Unkn,,80,6891.25508426559,75.5,94,
,A08,SYBR,,Unkn,,80,6482.95299872826,75.5,85.5,
,A09,SYBR,,Unkn,,80,6237.92666993552,75,83,
,A10,SYBR,,Unkn,,80,6699.44950253161,76,94,
,A11,SYBR,,Unkn,,80,5938.57655753075,75,85.5,
,A12,SYBR,,Unkn,,80.5,6157.59946247049,76,95,
,B01,SYBR,,Unkn,,82.5,7116.67844902257,77.5,86,
,B02,SYBR,,Unkn,,82,8002.79655856764,77,85,
,B03,SYBR,,Unkn,,82,7645.8906173186,77,85,
,B04,SYBR,,Unkn,,82,7954.85997670864,77,85,
,B05,SYBR,,Unkn,,82,8895.68608819536,77,85,
,B06,SYBR,,Unkn,,82,8975.43400569685,77,85,
,B07,SYBR,,Unkn,,82,5919.82611446599,77,85,
,B08,SYBR,,Unkn,,82,6927.15247460905,77,85,
,B09,SYBR,,Unkn,,82,5198.00613403724,76.5,85,
,B10,SYBR,,Unkn,,82,5343.77569664829,76.5,85,
,B11,SYBR,,Unkn,,82,7199.28359062883,76.5,85,
,B12,SYBR,,Unkn,,82,6969.81322574406,77,85.5,
,C01,SYBR,,Unkn,,82.5,7896.2278557619,78.5,94,
,C02,SYBR,,Unkn,,82,9365.12431419174,77,85,
,C03,SYBR,,Unkn,,82,9344.92328904762,77,85,
,C04,SYBR,,Unkn,,82,9189.42713656139,77,85,
,C05,SYBR,,Unkn,,82,9705.96838471351,77,85,
,C06,SYBR,,Unkn,,82,9717.92117266804,77,85,
,C07,SYBR,,Unkn,,82,7353.19221760347,77,85,
,C08,SYBR,,Unkn,,82,7317.80316327181,77,85,
,C09,SYBR,,Unkn,,82,6248.23163729788,76.5,85,
,C10,SYBR,,Unkn,,82,6293.07849306799,76.5,85,
,C11,SYBR,,Unkn,,82,8306.00945414042,77,85,
,C12,SYBR,,Unkn,,82,8070.98777899472,77,85,
,D01,SYBR,,Unkn,,82,9613.04576677983,77,85.5,
,D02,SYBR,,Unkn,,82,10161.0933565731,77,85,
,D03,SYBR,,Unkn,,82,9911.24144656304,77.5,85,
,D04,SYBR,,Unkn,,82,10140.0651666938,77,85,
,D05,SYBR,,Unkn,,82,10434.6900347678,77.5,85,
,D06,SYBR,,Unkn,,82,10640.9507741411,77,85,
,D07,SYBR,,Unkn,,82,8978.40987537563,77,85,
,D08,SYBR,,Unkn,,82,9245.82408334063,77,85,
,D09,SYBR,,Unkn,,82,8156.80484090371,76.5,85,
,D10,SYBR,,Unkn,,82,7891.05463759634,76.5,85,
,D11,SYBR,,Unkn,,82,10169.2209304116,77.5,85,
,D12,SYBR,,Unkn,,82,9880.53592035435,77,85.5,
