,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,35855.8522445259,38383.3767270968,36758.5425135456,38772.0447519887,35787.7342341898,36822.2416500544,39965.6949905414,36572.3675559422,35262.7895949858,38162.3072413844,36354.4526838164,42634.0588677478,49867.0099329367,45966.3567410986,44425.0267033574,46330.4447603764,49152.2677037164,49694.7338626409,37394.4868733194,43620.2386638064,37874.866502671,38236.9243443837,43969.2599098199,43395.7549754732,54511.1529597539,52390.7799307027,51945.3323038658,51136.8367747413,52920.373546163,52621.6942588672,44162.0007298032,44173.9713335937,42152.3825072865,41532.2057274957,48354.3755405845,47241.9746307901,51983.3966737375,54980.9267095005,53448.7104526284,54569.706879069,55388.975033318,56841.0357687109,49704.0866904404,51135.2507454415,48400.0305861441,47469.7648563666,54332.193086954,53079.8519028113,52701.5672951143,56788.7666609972,55743.7148575889,55706.3060901541,55018.6150675838,55052.9563682744,45223.4534920156,44977.7002148825,43246.6911451515,41358.3332605329,46675.3405578138,47490.9164223161,58449.21603554,55176.4362192815,54953.2744047216,57236.3266250756,57955.5032005027,58514.3505646775,55089.9107568934,58202.8124357856,51908.0784158868,50436.384010252,56616.4995758908,56567.2165033818,40215.5025752533,40747.9437329558,41536.9764714556,42146.5958902092,40429.7053958645,39635.3593293801,41398.7124312193,42027.1539536114,39622.7182180982,38502.9408036059,39648.8206322552,38216.8267406099,52613.3875439072,57383.24791815,56119.3558957148,53482.6023936241,54142.3313518717,54412.8056969419,46942.4769548508,48960.5225041362,41677.813674505,42712.8192677897,51939.2116944537,46030.3373860633
,65.5,35410.1472352822,37756.8947119535,36329.0613246931,38139.9271380057,35387.205589458,36402.5117511443,39485.0606815221,36154.3729204382,34851.9584956172,37741.8737882935,35947.8230858687,41979.2078630438,49072.2684538883,45438.5319167159,43931.6459728823,45822.4715230852,48645.2717722114,49195.4607861855,36980.3988917665,43141.1833147067,37446.6591050258,37794.1500281564,43462.0431726896,42876.6160766724,53635.5697513987,51789.1373694737,51392.005703382,50605.4116011228,52386.2772006793,52099.8848555209,43662.0914086082,43678.2546837337,41669.2589133066,41049.689026726,47809.1182909199,46676.3490325723,51408.3835132462,54405.3922162572,52908.3566927388,54017.316547326,54853.4142271973,56273.2326316457,49185.2259617264,50606.1815463155,47878.8354815111,46954.3087800593,53776.527913177,52519.5050652176,52106.2172125885,56176.9938034718,55168.4173799491,55140.0364683986,54462.5230721996,54513.0861350665,44724.4077696715,44493.2695490179,42784.0603743571,40923.2283066075,46170.1281223708,46932.9923636161,57549.5774934836,54568.1244049163,54402.4603301368,56680.6772339954,57382.4311850757,57934.8634982679,54531.4960960291,57624.4427725788,51375.9928341851,49894.2133947205,56053.1262165262,55931.1398245939,39725.3986749874,40253.8830898887,41048.7198122508,41670.8499270803,39966.2810925079,39168.3311079479,40910.6777919653,41556.1117846972,39168.1599321379,38048.7220527392,39169.7308163226,37737.1401905329,52119.9511500154,56776.8682686153,55510.6951221952,52878.2081217275,53489.1533113951,53782.6998967354,46372.0043725446,48412.6524887999,41184.5052121449,42179.8670157037,51098.9327777523,45460.0309480721
,66,34964.4422260386,37130.4126968103,35899.5801358407,37507.8095240227,34986.6769447263,35982.7818522343,39004.4263725028,35736.3782849342,34441.1273962486,37321.4403352027,35541.193487921,41324.3568583397,48277.5269748399,44910.7070923332,43438.2652424072,45314.498285794,48138.2758407064,48696.1877097301,36566.3109102136,42662.127965607,37018.4517073806,37351.375711929,42954.8264355593,42357.4771778715,52759.9865430435,51187.4948082447,50838.6791028983,50073.9864275043,51852.1808551955,51578.0754521745,43162.1820874132,43182.5380338737,41186.1353193267,40567.1723259563,47263.8610412553,46110.7234343545,50833.370352755,53829.8577230138,52368.0029328492,53464.926215583,54317.8534210765,55705.4294945806,48666.3652330124,50077.1123471894,47357.640376878,46438.852703752,53220.8627394,51959.1582276239,51510.8671300627,55565.2209459465,54593.1199023093,54573.7668466431,53906.4310768155,53973.2159018586,44225.3620473274,44008.8388831532,42321.4296035627,40488.123352682,45664.9156869278,46375.0683049161,56649.9389514272,53959.8125905511,53851.6462555521,56125.0278429152,56809.3591696487,57355.3764318584,53973.0814351648,57046.0731093719,50843.9072524834,49352.0427791891,55489.7528571616,55295.063145806,39235.2947747214,39759.8224468216,40560.463153046,41195.1039639515,39502.8567891513,38701.3028865157,40422.6431527114,41085.069615783,38713.6016461777,37594.5033018724,38690.6410003899,37257.4536404559,51626.5147561237,56170.4886190806,54902.0343486755,52273.813849831,52835.9752709185,53152.5940965289,45801.5317902384,47864.7824734637,40691.1967497849,41646.9147636178,50258.6538610509,44889.7245100808
,66.5,34518.7372167949,36503.9306816671,35470.0989469882,36875.6919100397,34586.1482999945,35563.0519533242,38523.7920634835,35318.3836494303,34030.29629688,36901.0068821118,35134.5638899733,40669.5058536356,47482.7854957915,44382.8822679504,42944.884511932,44806.5250485028,47631.2799092014,48196.9146332747,36152.2229286607,42183.0726165073,36590.2443097353,36908.6013957017,42447.6096984289,41838.3382790707,51884.4033346883,50585.8522470157,50285.3525024145,49542.5612538858,51318.0845097118,51056.2660488282,42662.2727662182,42686.8213840137,40703.0117253468,40084.6556251865,46718.6037915907,45545.0978361366,50258.3571922636,53254.3232297705,51827.6491729596,52912.53588384,53782.2926149558,55137.6263575155,48147.5045042983,49548.0431480634,46836.445272245,45923.3966274447,52665.1975656231,51398.8113900302,50915.5170475368,54953.4480884212,54017.8224246696,54007.4972248876,53350.3390814314,53433.3456686506,43726.3163249833,43524.4082172885,41858.7988327683,40053.0183987565,45159.7032514848,45817.1442462161,55750.3004093709,53351.5007761859,53300.8321809673,55569.3784518349,56236.2871542218,56775.8893654487,53414.6667743006,56467.703446165,50311.8216707817,48809.8721636576,54926.3794977971,54658.986467018,38745.1908744555,39265.7618037545,40072.2064938411,40719.3580008226,39039.4324857947,38234.2746650835,39934.6085134575,40614.0274468688,38259.0433602175,37140.2845510056,38211.5511844573,36777.767090379,51133.078362232,55564.1089695459,54293.3735751559,51669.4195779344,52182.7972304418,52522.4882963224,45231.0592079322,47316.9124581274,40197.8882874249,41113.9625115318,49418.3749443495,44319.4180720896
,67,34073.0322075512,35877.4486665238,35040.6177581358,36243.5742960567,34185.6196552627,35143.3220544141,38043.1577544642,34900.3890139263,33619.4651975115,36480.573429021,34727.9342920256,40014.6548489315,46688.0440167431,43855.0574435677,42451.5037814569,44298.5518112115,47124.2839776964,47697.6415568193,35738.1349471078,41704.0172674076,36162.0369120901,36465.8270794743,41940.3929612987,41319.1993802698,51008.8201263331,49984.2096857868,49732.0259019307,49011.1360802673,50783.988164228,50534.4566454818,42162.3634450232,42191.1047341537,40219.8881313669,39602.1389244168,46173.3465419261,44979.4722379188,49683.3440317723,52678.7887365272,51287.29541307,52360.145552097,53246.731808835,54569.8232204503,47628.6437755843,49018.9739489374,46315.2501676119,45407.9405511374,52109.5323918461,50838.4645524366,50320.166965011,54341.6752308958,53442.5249470298,53441.2276031321,52794.2470860473,52893.4754354427,43227.2706026392,43039.9775514239,41396.1680619739,39617.913444831,44654.4908160418,45259.2201875161,54850.6618673145,52743.1889618208,52750.0181063825,55013.7290607547,55663.2151387948,56196.4022990392,52856.2521134363,55889.3337829581,49779.73608908,48267.7015481261,54363.0061384325,54022.9097882301,38255.0869741896,38771.7011606874,39583.9498346363,40243.6120376938,38576.0081824381,37767.2464436513,39446.5738742035,40142.9852779546,37804.4850742573,36686.0658001388,37732.4613685246,36298.080540302,50639.6419683402,54957.7293200112,53684.7128016363,51065.0253060379,51529.6191899652,51892.382496116,44660.586625626,46769.0424427912,39704.5798250649,40581.0102594458,48578.096027648,43749.1116340983
,67.5,33627.3271983081,35250.9666513799,34611.1365692832,35611.4566820738,33785.0910105304,34723.5921555041,37562.523445445,34482.3943784223,33208.6340981427,36060.13997593,34321.304694078,39359.8038442274,45893.302537695,43327.2326191847,41958.1230509818,43790.5785739201,46617.2880461915,47198.3684803644,35324.0469655552,41224.9619183076,35733.8295144453,36023.0527632466,41433.1762241682,40800.0604814688,50133.2369179776,49382.5671245581,49178.6993014467,48479.7109066482,50249.8918187435,50012.647242136,41662.4541238281,41695.3880842938,39736.7645373868,39119.6222236472,45628.0892922617,44413.846639701,49108.3308712803,52103.2542432845,50746.94165318,51807.7552203532,52711.1710027148,54002.0200833844,47109.7830468697,48489.9047498111,45794.0550629793,44892.4844748303,51553.867218069,50278.1177148426,49724.8168824855,53729.9023733706,52867.2274693902,52874.9579813766,52238.155090663,52353.6052022346,42728.2248802955,42555.5468855589,40933.5372911789,39182.8084909052,44149.2783805988,44701.2961288166,53951.0233252579,52134.8771474556,52199.2040317977,54458.079669674,55090.1431233676,55616.9152326293,52297.8374525728,55310.9641197515,49247.6505073786,47725.5309325948,53799.6327790678,53386.8331094426,37764.9830739238,38277.6405176206,39095.6931754311,39767.8660745657,38112.5838790816,37300.2182222191,38958.5392349497,39671.9431090406,37349.9267882969,36231.8470492724,37253.3715525915,35818.3939902244,50146.2055744484,54351.349670476,53076.0520281171,50460.6310341413,50876.4411494886,51262.2766959089,44090.1140433204,46221.1724274551,39211.2713627051,40048.0580073605,47737.8171109471,43178.8051961069
,68,33181.6221890644,34624.4846362367,34181.6553804307,34979.3390680908,33384.5623657987,34303.862256594,37081.8891364257,34064.3997429183,32797.8029987741,35639.7065228391,33914.6750961303,38704.9528395233,45098.5610586466,42799.4077948019,41464.7423205066,43282.6053366289,46110.2921146865,46699.095403909,34909.9589840023,40745.9065692079,35305.6221168001,35580.2784470193,40925.9594870379,40280.921582668,49257.6537096224,48780.9245633292,48625.3727009629,47948.2857330297,49715.7954732597,49490.8378387897,41162.5448026331,41199.6714344338,39253.6409434069,38637.1055228775,45082.8320425971,43848.2210414832,48533.317710789,51527.7197500412,50206.5878932904,51255.3648886102,52175.610196594,53434.2169463193,46590.9223181557,47960.8355506851,45272.8599583463,44377.028398523,50998.202044292,49717.7708772489,49129.4667999597,53118.1295158453,52291.9299917505,52308.6883596211,51682.0630952789,51813.7349690267,42229.1791579514,42071.1162196942,40470.9065203845,38747.7035369797,43644.0659451558,44143.3720701166,53051.3847832016,51526.5653330904,51648.3899572129,53902.4302785938,54517.0711079406,55037.4281662197,51739.4227917085,54732.5944565446,48715.5649256769,47183.3603170633,53236.2594197033,52750.7564306547,37274.8791736578,37783.5798745535,38607.4365162263,39292.1201114369,37649.159575725,36833.1900007869,38470.5045956957,39200.9009401264,36895.3685023367,35777.6282984056,36774.2817366589,35338.7074401475,49652.7691805567,53744.9700209413,52467.3912545975,49856.2367622447,50223.263109012,50632.1708957024,43519.6414610142,45673.3024121189,38717.962900345,39515.1057552745,46897.5381942457,42608.4987581157
,68.5,32731.0676893024,34003.3836425769,33745.338691636,34352.0797573515,32974.2332589146,33872.4064938484,36589.2948005427,33636.6633745315,32379.0415557104,35207.619101264,33500.7997347944,38053.3060537396,44311.2467113154,42264.072808813,40962.2204099815,42766.4930072043,45590.1450931378,46184.1963187258,34491.7525024564,40257.3315361359,34873.1154440848,35130.177106222,40412.1079075881,39759.9916440377,48392.1865463083,48174.9861373794,48073.1622575351,47413.5333960837,49171.0899824603,48965.8700129862,40661.3529438823,40699.8178411476,38765.6339117883,38147.0027316835,44527.1913231005,43278.1457878932,47951.630750206,50944.3967317462,49651.2511793873,50696.163777352,51630.9676742611,52854.1184418453,46068.1872406603,47428.112715482,44743.0017660885,43851.37815473,50425.9400217646,49147.643589442,48528.1090075009,52494.9945849102,51701.5492948241,51724.8624044532,51111.2564691352,51260.406132763,41715.6292544539,41574.9565995483,39994.3598743792,38298.7586074899,43126.2041098347,43578.4507283867,52159.621498953,50911.2509456662,51084.0053450474,53329.3381855288,53928.0416871036,54442.1298897392,51170.0208456675,54138.0869886412,48172.9953821939,46629.55560505,52660.6797026735,52107.8847361111,36778.1267514921,37280.4431695044,38107.4132226785,38804.0519020228,37176.554889372,36358.6524454518,37971.0791681664,38717.1015633877,36430.4671841885,35315.8944004077,36285.8672185529,34852.7891850506,49163.9074359241,53129.9810798466,51844.3348830154,49244.1271392775,49566.0199127062,49995.0780282108,42940.262575219,45102.1346071921,38214.8422461909,38975.480248524,46064.6589183612,42033.1215430446
,69,32276.7600152799,33387.3343637671,33298.299520446,33729.5232518372,32549.5355880744,33427.8503927101,36084.3366826709,33196.3103710321,31952.0112588414,34760.3423412054,33079.4889989133,37403.5689763581,43528.0510630519,41721.048390115,40447.6936168396,42236.9754030997,45052.1678458934,45648.4922967984,34066.6153868816,39753.9883014415,34430.2982112958,34670.9786049999,39891.1210728782,39234.4106630546,47536.4632701095,47564.2105426247,47509.7384159998,46869.3122574709,48610.7426957793,48428.5050937237,40154.2587246701,40190.541364766,38265.6198363082,37646.1664903989,43961.3882477357,42701.3833335844,47363.4479566031,50351.8114933151,49077.3297723924,50126.1100294697,51070.556901246,52257.1374727573,45536.740207583,46885.389638164,44195.0219054186,43306.3709525776,49837.686617844,48565.8780568149,47920.7567957151,51858.0335802847,51093.6620597447,51118.4097039176,50521.0819629961,50683.573439911,41183.977887458,41061.2934560036,39499.9815147352,37830.8574227774,42593.2064202772,43004.3996891988,51275.4553477583,50287.462604366,50501.9302164891,52732.4615090601,53320.1766450812,53826.6603795847,50583.6553831197,53519.6533779092,47609.6583949488,46054.6668485161,52068.5856219542,51458.2932889988,36274.8240006137,36765.2520023179,37591.9046121984,38299.8668956922,36689.4591468701,35873.7504592748,37459.1507840198,38215.5264964064,35949.4134851143,34843.6577690346,35787.7653530434,34358.7325422689,48664.2304872115,52502.0894254831,51205.2995545578,48622.2829931447,48906.0643949717,49350.4536315257,42354.3355267905,44506.744506331,37702.9947723438,38431.1245133128,45235.979255141,41454.5739384314
,69.5,31819.1036894079,32775.4273554723,32844.6240832453,33110.6627932314,32109.5989583169,32969.598155217,35566.9184870095,32745.5104723356,31517.4042973737,34298.7204283432,32651.5156276573,36757.3098298547,42750.1848060338,41168.6054692187,39923.2849125128,41693.6054273985,44496.0295140342,45091.0330792392,33631.2973586601,39235.602170528,33975.5213367033,34201.4085187227,39359.4313777662,38703.7034164693,46691.8801909726,46946.8792676604,46935.2686824807,46310.2509075734,48033.38185945,47873.8068035875,39636.716098315,39669.7974691321,37750.9627540312,37133.8292841952,43384.3104035884,42118.8748350609,46768.6381200597,49748.9953019653,48485.0483207446,49539.3702874934,50490.6251970593,51640.2441196872,44991.0240109261,46326.6086260937,43626.9444185922,42742.0758173799,49232.6602061923,47974.0884530041,47308.1265706618,51211.0470498797,50468.6934158708,50490.8920165901,49912.4241383978,50084.1553191592,40633.142312676,40528.5478778299,38986.0147865174,37338.2745725044,42045.0704417837,42421.8318614308,50398.8037776859,49655.5176130859,49901.3193208773,52110.350678366,52692.9652998818,53188.9028018762,49978.3962321396,52876.0522326246,47028.0156901397,45460.55413965,51459.8526058895,50800.4959943022,35765.0765677753,36240.3896622119,37059.4148202976,37775.5094447237,36187.0218419804,35378.3012969877,36931.1451711786,37693.2411607251,35448.8265758506,34357.638540349,35281.388715594,33857.7722045201,48132.6063747352,51858.9596189985,50551.6017929537,47991.743688807,48242.8461064967,48698.3761194609,41759.1707459761,43892.7265070038,37177.6954846331,37881.2364013465,44413.9894120582,40873.7514905431
