,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Unkn,,80
,A02,SYBR,,Unkn,,80.5
,A03,SYBR,,Unkn,,80
,A04,SYBR,,Unkn,,80.5
,A05,SYBR,,Unkn,,80
,A06,SYBR,,Unkn,,80
,A07,SYBR,,Unkn,,80
,A08,SYBR,,Unkn,,80
,A09,SYBR,,Unkn,,80
,A10,SYBR,,Unkn,,80
,A11,SYBR,,Unkn,,80
,A12,SYBR,,Unkn,,80.5
,B01,SYBR,,Unkn,,82.5
,B02,SYBR,,Unkn,,82
,B03,SYBR,,Unkn,,82
,B04,SYBR,,Unkn,,82
,B05,SYBR,,Unkn,,82
,B06,SYBR,,Unkn,,82
,B07,SYBR,,Unkn,,82
,B08,SYBR,,Unkn,,82
,B09,SYBR,,Unkn,,82
,B10,SYBR,,Unkn,,82
,B11,SYBR,,Unkn,,82
,B12,SYBR,,Unkn,,82
,C01,SYBR,,Unkn,,82.5
,C02,SYBR,,Unkn,,82
,C03,SYBR,,Unkn,,82
,C04,SYBR,,Unkn,,82
,C05,SYBR,,Unkn,,82
,C06,SYBR,,Unkn,,82
,C07,SYBR,,Unkn,,82
,C08,SYBR,,Unkn,,82
,C09,SYBR,,Unkn,,82
,C10,SYBR,,Unkn,,82
,C11,SYBR,,Unkn,,82
,C12,SYBR,,Unkn,,82
,D01,SYBR,,Unkn,,82
,D02,SYBR,,Unkn,,82
,D03,SYBR,,Unkn,,82
,D04,SYBR,,Unkn,,82
,D05,SYBR,,Unkn,,82
,D06,SYBR,,Unkn,,82
,D07,SYBR,,Unkn,,82
,D08,SYBR,,Unkn,,82
,D09,SYBR,,Unkn,,82
,D10,SYBR,,Unkn,,82
,D11,SYBR,,Unkn,,82
,D12,SYBR,,Unkn,,82
,E01,SYBR,,Unkn,,82
,E02,SYBR,,Unkn,,82
,E03,SYBR,,Unkn,,82
,E04,SYBR,,Unkn,,82
,E05,SYBR,,Unkn,,82
,E06,SYBR,,Unkn,,82
,E07,SYBR,,Unkn,,82
,E08,SYBR,,Unkn,,82
,E09,SYBR,,Unkn,,80
,E10,SYBR,,Unkn,,80.5
,E11,SYBR,,Unkn,,82
,E12,SYBR,,Unkn,,82
,F01,SYBR,,Unkn,,82.5
,F02,SYBR,,Unkn,,82
,F03,SYBR,,Unkn,,82
,F04,SYBR,,Unkn,,82
,F05,SYBR,,Unkn,,82
,F06,SYBR,,Unkn,,82
,F07,SYBR,,Unkn,,82
,F08,SYBR,,Unkn,,82
,F09,SYBR,,Unkn,,82
,F10,SYBR,,Unkn,,82
,F11,SYBR,,Unkn,,82
,F12,SYBR,,Unkn,,82
,G01,SYBR,,Unkn,,80
,G02,SYBR,,Unkn,,80
,G03,SYBR,,Unkn,,80
,G04,SYBR,,Unkn,,80
,G05,SYBR,,Unkn,,80
,G06,SYBR,,Unkn,,80
,G07,SYBR,,Unkn,,80
,G08,SYBR,,Unkn,,80
,G09,SYBR,,Unkn,,80
,G10,SYBR,,Unkn,,80
,G11,SYBR,,Unkn,,80
,G12,SYBR,,Unkn,,80
,H01,SYBR,,Unkn,,82
,H02,SYBR,,Unkn,,82
,H03,SYBR,,Unkn,,82
,H04,SYBR,,Unkn,,82
,H05,SYBR,,Unkn,,82
,H06,SYBR,,Unkn,,82
,H07,SYBR,,Unkn,,82
,H08,SYBR,,Unkn,,82
,H09,SYBR,,Unkn,,81
,H10,SYBR,,Unkn,,81.5
,H11,SYBR,,Unkn,,82.5
,H12,SYBR,,Unkn,,82
