,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-66.7010226822922,-437.836589076991,-100.537633027109,-139.607048750549,-389.718308681287,-380.471577692196,-111.579175005323,-399.696684124894,-422.770465024584,-586.015931259877,-454.842741832489,-447.604403793612,-169.325756003419,-32.8150702592502,-54.2616628904216,-127.763321278832,-146.135998624865,-109.477838919793,-46.252594093653,-190.61690013393,-136.903019896248,-187.408971650167,-297.428834110729,-73.9313607584354,-161.164804330683,-25.9925745578621,-125.336602626819,-99.0243432723373,-111.521259318047,-161.037138815982,-145.279935664711,-115.200597525174,-136.117948915086,-145.714526091655,-451.509872659224,-103.003672008635,-28.3780012317957,-408.326444796829,-122.358111489786,-57.080766217272,-153.985487462628,-150.979575927578,-184.959733110815,-178.309367938933,-178.717642590407,-156.494400170024,-265.467017482177,-484.302842674831,-73.7410458675531,-509.864604087372,-140.45629857342,-96.5974980139754,-177.511874489343,-154.003197806217,-169.89285272881,-197.78724995694,-220.814037253469,-300.92686521435,-369.959767728969,-556.822338586162,-173.823151289005,24.3274105857472,-169.197039686452,-72.7133353517356,-80.6889778292752,-90.263598368213,-120.572353586113,-107.96144200255,-92.0882413521585,-83.0061243433611,-309.433469443625,-711.170430344634,-68.0746765682561,-87.8121914695912,-76.8663834879062,-268.276875784,-381.783419775495,-282.154168946259,-110.819676177635,-250.271578573231,-399.581758948176,-163.394101438918,-629.039276492809,-222.611529700253,-6.87824742186694,13.5244373973137,-281.445326082105,-42.2279011102828,-173.59917466313,24.2106649378393,-250.306538225191,-609.189816671105,-75.9393295115306,-391.569878952091,-682.083176707061,-626.398252202944
,2,-24.6787388554994,-405.57429786153,-39.9705125204982,-119.109286157475,-305.343863011982,-272.463895914224,-64.0764560040152,-353.707437412943,-114.371066146182,-186.99941542355,-387.855854569423,-369.022852204064,-47.8625717975219,-2.13271823817377,-209.762784125127,-39.1416746321129,-4.05512345567149,-19.5472224980131,-33.4713995619286,-102.591369564208,-66.1470285301684,-96.0735942017882,-235.794198607166,-27.5862740764624,-34.2901241704676,9.71164320480511,-33.6265068028924,-1.72134148184887,-35.362060427603,6.18804712327346,-78.0982404424476,-29.1647239819667,-46.7789313642888,-52.3091082805558,-372.000963691274,-30.11967439622,20.0279055615465,-324.751524832053,-2.45800388616135,31.1030594273252,-8.08618453668623,-27.3754507502044,-21.0740859654934,-30.0843764536467,-21.0191318878242,-36.643615219733,-332.309034612741,-35.7704342600118,-19.8281571247553,-425.60516716,-54.4368640323419,-16.3160495931206,-23.9003137840818,-39.9095891546613,-51.1653709545199,-37.8929413284995,-68.5066753266765,-71.0179315975001,-320.631653736712,-439.595861340146,-5.89970641297805,50.8667642235268,-85.1865954949881,13.6123634725673,13.7272804039876,19.0065999877434,-20.9349099428055,-0.43303587873379,-1.54105502280345,9.05700832439834,-253.185817024828,-576.024222807044,-34.274126281618,-26.2297507876501,-23.8154524027705,-149.985801552446,-145.169133702628,-106.390730453037,-45.5790068460883,-161.621919391211,-242.257012523143,-62.5218425589483,-481.349739099263,-90.843816653678,60.1384614041253,93.6633684601511,-221.300433556065,6.47439515062797,-137.690516988703,49.112572961606,5.57939955353595,-532.860897759322,-36.2413056647611,-295.387702716941,-571.913934066106,-56.4043738249293
,3,-20.8039901084894,-98.7416406458324,-21.3123125452003,-107.609627366339,-244.564171702667,-93.8901961153342,-41.0345438937811,-334.821136463879,-41.1944661579118,-102.269762763528,-306.674355317399,-341.355434805064,-1.66846934702517,18.4212016991978,-177.133237536746,-14.3489886754887,2.91753786736172,13.3660570986049,-18.4722921094499,-40.0114822910446,-29.0675439222732,-31.2897835817275,-172.336330272913,2.05348362209315,2.561886952647,29.4877139834198,-11.3333751835598,23.4681900823934,-9.79211324709286,32.691050102947,-48.1317445318109,1.71920262871208,-19.7820901798596,-20.0228095229222,2.95858804397176,-16.0540732738555,38.436252468925,-236.00060123849,26.2377046257634,50.3821076760005,20.6132658115366,14.4127607058781,-2.19838731798154,6.62051500658254,6.54248646133328,-6.43186192331814,-265.573492270027,2.16086128686038,6.11415004997434,-334.629271142569,22.6907127518316,15.3484003256917,14.1679970064306,5.89934852254373,-20.7239159163028,0.252574219214694,-24.3911273353224,-18.2533448135164,-239.526543237072,-330.263620432388,23.0502273411066,59.5841659032749,-80.994976441686,27.4583374777485,43.2229842405886,34.9167406049492,18.2535838021176,30.3037833714334,25.847688755649,28.0201285308458,17.9382890779452,-12.3208792774003,-12.1926085217838,-5.76711249960317,2.21195801016074,-94.4187363070087,-19.481028303293,-73.5591555930696,-21.6285559799253,-133.538394262674,-12.4445747375266,-24.7404920590179,-369.520002900786,-33.4350656253864,74.1880568022298,92.9452121305849,-180.514011694218,24.3904718117392,-95.2490008049026,51.5524683155772,17.1167419379781,-438.54806951984,-0.00603698617760529,-197.524909018609,-69.913497192525,0.217504049762283
,4,-2.81820403384336,1.0499216199978,2.92237006442519,-13.9409189202497,-186.608172335617,-47.512838353854,-16.8853625729116,18.165215267546,-9.82970164785365,-56.6833461894112,27.9415451464638,64.8147097463907,14.904421436363,25.0797601740323,-129.87826655117,-36.6397086272864,20.42536355215,19.3134570388384,5.86664303494581,14.0110018329578,-11.157437908204,-13.2604192644376,39.1550489798483,6.8852783945722,23.8757661513118,40.1545336043064,1.29783530784334,38.2464165882193,-3.71845163675425,42.0622766403294,-40.8442937550008,17.6426923895324,-5.22120034818636,-197.614835513454,24.5976648390706,11.2539314382102,48.1305698072229,-175.504310453334,46.941300989447,51.8599254773917,32.3131562512144,34.020815907309,21.5310120389877,22.8028148587537,21.8919327765425,4.2551289893072,88.1489189433905,31.8876837723183,25.681154263053,112.865588532693,34.2593084025493,32.1319905351502,22.8516547274176,21.0061706950273,-0.509388258928084,16.072891017333,-8.78053500906208,-0.331803522069094,44.7694530231674,-258.007991804269,44.4018178011092,66.6487141401576,65.2210759867539,38.6769535128451,49.6834672181994,34.2223933453461,27.3716215562836,33.9283906273886,34.8434947833384,31.1946716420334,46.3081730805934,28.6371222707712,5.76193225105817,9.62100653857487,11.6068123277491,-83.5818227087602,-8.40992995396118,-47.0502770450039,-0.897824719801065,-106.953088450489,1.68660897872542,-0.053777801727847,-276.65029539681,-7.84610994919603,68.3984760445956,16.0715901492531,-157.609241175353,42.4668493413692,-118.564181842024,47.0782542465568,20.1489285769467,77.1351952125233,6.54147919821025,-131.152535577186,-61.8082594235348,32.722918346366
,5,6.16699119088571,15.684925823427,4.86592068910795,5.58966408611923,-142.030563865485,-20.8247350985803,-8.04649481309843,48.9993774508912,6.55381309509721,-30.4293033839131,41.1145024512252,80.9463966972871,18.8476083325522,30.2048169915233,-86.0253583953026,-43.0936859037156,19.3477803999958,23.7290865357554,5.84464560204924,16.6799833257382,0.329532890141309,-5.41572000088127,44.5295251849248,8.22578637555489,31.6650148654962,33.1960658765001,2.35156860399638,38.0415976427266,65.1466341121386,38.7252500655568,35.6908745762648,22.1861535277176,1.07644964161409,-151.33032345231,24.1527293473819,17.1628036867596,50.1396137954989,153.696663060509,44.0096659591291,46.4818477396375,41.1670693807482,38.3306521563463,26.755058791362,28.0793720655829,17.2213860532574,11.2546497691765,100.747742506777,34.4983083026746,33.3017040393097,112.161536926324,33.1216221933419,30.698318154803,31.9898978368255,36.1611292213556,4.97242492619898,18.3191496926656,1.65773621941298,-0.219042263965093,50.8187801852946,121.359336185002,37.6348277790921,56.6655155604813,63.0847370958827,36.6885835135463,49.4475944788555,46.4601098641951,30.174014150205,33.2626101255137,31.1589084763364,29.6956486145791,47.0495389006337,40.914501589883,13.850709952545,17.0247909277841,8.17893333788015,-66.7803249759854,2.3806552079277,-233.924959952661,6.64001327165897,-86.9729872034968,3.29749408438147,1.31486474171652,-197.167648202811,-3.23269795314263,56.0414903668843,-4.76646550052101,84.4699232067096,31.2959066360763,-84.3587886426139,38.9025871020349,23.8737692196237,90.210470680543,0.0388878992525861,-79.2742370335809,36.9935268426761,9.26580498513067
,6,8.07361647550169,14.4722173824202,10.0924541100449,12.3209699071267,106.705973267333,1.58767674976571,10.3080292841105,63.9064443447951,7.62862120724094,-10.3858694530136,62.6345433395863,70.7501371815697,17.1191162353016,35.8794390647181,116.768430252965,-25.4883618078475,24.6290925001977,28.7331826789823,21.0862762549023,17.2160699168207,11.5506129798787,16.0875880702588,42.6702392832185,17.6491920434455,31.6139941739857,29.5334208707327,2.11320175013952,44.7895365296126,64.3463559651345,37.791374002155,39.6530444615764,23.8463550932038,3.26702227605892,-108.847218002604,26.2952731848209,23.9226874924689,44.2545971140244,148.348344834845,40.0884884118332,40.8889287818738,33.9765363005845,36.7609052764174,27.3077299194838,32.7998280415713,24.5662361728655,22.6162396073732,102.415523259053,43.2189598607274,27.0344275921625,101.502262870215,28.6130459664128,30.4570497037876,35.3129754013298,32.6806367005493,19.0119919303861,28.0954930756052,8.88432079329505,6.40005841912716,63.7403718575279,131.990496028007,35.2975818475325,49.860095793304,58.7754375470258,38.5747628828212,51.7452358901828,38.9586053931425,26.5430924057864,37.5494988359205,47.5471834538475,37.830929229659,38.8321847925636,49.5840083280273,11.9561494893442,14.2852067351723,19.7493884274772,-46.3260822813227,12.3259766537485,83.7303681702651,20.7749705278638,-69.4285867161416,18.7376159778396,20.9707071284211,180.487661799272,15.2498148915383,30.3210377645582,4.51611006538496,153.321998239713,26.0379756352477,-51.1424343593335,38.7047046555017,29.8146235266477,98.2737814788106,10.3383327035035,-31.3850887866447,36.030931621639,16.5595938268252
,7,11.2557177747894,26.6166415465796,15.9201409402867,24.8238421931892,120.864180878686,20.1820408503063,21.9396193239345,67.5822377642999,21.112850108364,26.2342760257616,64.0324027691522,80.9577816605179,19.4801119617587,30.8878742719553,114.662970161584,-17.7454957800956,31.6583995414667,24.2147496909174,21.5603117041092,27.3221129973717,15.3538179973739,17.2877994801329,54.1678555912213,22.4034808365386,26.2372986739638,28.7493470516774,60.5167085105559,43.1592153242427,48.9752860951667,34.067703380988,47.8221893994196,25.7273620183423,8.33554112525326,115.810759847788,22.8077491412132,29.1419638767766,34.0955108891776,131.989506789487,36.3241254816248,30.0072508922685,32.7782656185273,35.7266055286873,32.6969045688465,32.0735613188881,20.3639001023057,26.2442513432416,92.5483120067311,39.6017964573548,28.6802461376828,97.6371543945215,28.5730953972407,27.2150093637811,36.3048425663355,39.1505134033969,24.3555961330048,36.2255307473552,21.5509263661788,26.6766769645819,65.981492814497,130.730907056477,28.0640332223156,39.4900478739191,49.7970661063437,33.8709078396805,32.1594015866285,31.7294100308209,45.3670063010632,29.2226347447559,34.4285129583841,30.2118003909445,34.5812319085035,50.1500870174586,12.8572796037934,14.5677902466778,17.0747655598861,-29.1505283412116,17.2707559904175,78.6565734844644,22.7434604742357,109.908623536352,22.2592343616252,24.7511879894628,174.123619471382,23.0886419671915,20.4295021188855,2.32815204668623,144.170886552447,23.7477732871939,168.337098058429,30.1036196121058,24.9198466770613,92.9999032318765,20.5037325856802,5.11476954291447,45.8070095299754,23.7820584401343
,8,15.0751465522862,40.9248950503315,30.014730748715,40.3453701109665,118.77852988623,29.3176420788068,25.0213115681472,66.2180062783527,18.195430001686,41.9708838303359,59.3248585975034,70.6357514423271,31.2367563557173,21.6584109779888,106.00380356018,75.0655557284053,24.8244370863567,20.8617427890158,21.6998635354012,26.3795108990844,19.4406520001694,17.3917570830463,46.4103013587319,25.6134623068529,21.7873932396869,17.2439225959652,48.9759478440046,35.5151569432082,44.6041649466215,31.0897857517293,43.5205380310072,21.8054248728076,8.67763492815175,119.022559900557,24.1278736412205,24.614194872016,28.163414876728,116.495725071463,22.5610084341106,19.2798225198321,26.1198643501657,27.0999164674604,27.2579649393738,27.3715404407967,16.5898321425675,24.5806588510322,73.3805329490533,27.9993857536647,20.078746272362,80.671785347321,17.654007805133,23.0234750652762,26.1291358344715,27.8255468497327,22.0423886988547,26.4949468663799,22.9708362980764,17.8104541898283,61.5127009474018,121.130784699882,25.7177464303031,25.8934211985161,37.8408241096267,16.8554970954619,29.2546518452527,18.3951616631603,26.370107303881,16.1854852977103,25.091250439028,31.7520532134895,35.0999112416703,34.9208615402476,13.1897382187854,12.5045685479545,26.9936986707489,105.084502012465,14.9273179747943,72.4345418629473,25.5103883664815,107.589795975546,16.4685706857254,22.8211920928152,163.575871907688,27.7168091453004,5.40562581533868,-7.5285324979086,124.510651788623,13.9716339706356,150.659466861376,25.8359746976566,21.5711547851406,80.5297740893866,20.2627864274054,141.71110615411,52.9361554703773,14.9074712897964
,9,12.9134951829974,38.864793260399,16.5758570874968,42.4563878017607,112.539750211375,39.9807993419327,13.9157785592442,62.2634797504788,10.625269545013,60.6794330576631,51.5815680630076,70.5969754282487,29.0563321384379,20.477239713945,89.5205637730487,77.6234647660358,18.9894736156593,11.9482846929723,19.2895199780387,26.0938798710913,28.1314054516906,15.0502972302484,39.5619502059608,18.7797292986152,18.0368777064314,14.7984233073221,29.9424921886884,24.3487913605313,31.4775244678876,15.8699801186895,33.0143357838633,11.17929138609,43.0111357906344,104.723166312834,18.5062023541004,27.9356717961409,9.47956144838099,91.0618666378341,6.97071019337727,10.894259933888,11.4008885038738,12.5059460211651,23.0059714230238,18.688171815621,3.20545758453409,17.751425892905,49.9660542195343,21.1460031799907,11.6349973266388,59.920188743813,11.2603466813307,15.7278508181253,16.0864355360472,18.2364877873815,23.6876751363325,22.2218409114521,27.2972911331017,20.7801357027256,50.7604784957275,102.012170046635,13.4327856473456,0.687846585374245,22.9542030078528,5.28531644613577,3.00008480599899,7.87665305253722,19.1954008948369,9.052799007668,15.9138007652446,17.2513448780919,13.4379300987184,29.8705165577157,15.0751562954174,23.172145219185,6.28957584696582,97.4722830655846,15.0435049678345,66.8061863510011,17.6667664509077,90.2699187403177,10.7973388164464,14.9766698436124,149.019718618427,24.9823085595053,-8.45967704168106,-14.6627171315149,94.4243240925643,10.7459661635075,132.299432098993,8.3281507872498,18.2373497352719,71.7024298438018,11.6607052409545,127.939621332357,46.7730764284661,19.9456314917188
,10,15.7482889056619,45.9920681866315,4.62030115432754,34.1126444869042,83.7866861243147,30.3786009144969,21.3212772280976,37.26800671407,-1.94540380561921,58.0043172514816,31.2924126063936,60.9034760334544,29.9653747722787,5.04002834997664,68.5275268460036,48.0429838964556,-7.75232883240278,-1.12181700288784,-5.7765664601784,4.76885684295394,0.108521187752558,5.51533852847115,19.4174223430073,9.05095686611548,10.5624424252728,-12.1720222056183,10.8016754537548,-1.04682825549935,2.99152443084677,-12.4475142723004,15.2888376674837,-6.48378257659078,22.2755553780453,77.6918743581218,-5.05299680257212,13.795783122252,-15.7141835164111,47.3607571983612,15.4409900751571,-26.7772298821001,-20.334452460881,-5.93199472282686,-3.93212342439892,-5.27844275011739,-8.82684247332418,-10.421710665395,22.9983665939217,-6.51398763386715,-1.96338476365054,20.4558924914127,-14.400342660505,-15.5136474465917,-7.16141157473703,-3.62234491383606,5.09458295646982,11.0686734946867,-1.8957671301032,-1.45949350936644,22.6478100965051,83.1799307998062,-7.83614236108315,-33.4219496325195,-18.1272020920169,-19.5822428866613,-28.5712818760439,-15.5187766111048,-4.23377505100689,-14.7562979790509,-11.5707675834565,-13.4239071862994,-17.9328482587189,0.962879477314345,2.62446917878151,-8.42528380961812,0.347715234489442,63.5305287911797,1.29705710831877,45.9866613714948,-2.11887100344575,69.4217518589812,-9.07889499527118,-11.0189611289861,117.66523008615,16.8250822363243,-18.8957831447342,-35.9604981351677,49.9628803822507,-15.8629945549401,94.6741942692515,-7.03745078496013,2.89534414914033,53.2603405671543,-0.86288840441739,101.371253573578,42.8152517131111,4.00592296603281
