,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,31.0972985645323,30.8594128709816,31.0053136700735,30.8143992980443,31.4457808009101,31.2607006191055,30.5244099155244,30.5548444117344,31.1551556104492,30.8500618667441,30.9362143941268,30.6496198457233
A,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,25.7164777337292,26.0311007925261,27.0163314654643,26.8442415925547,24.4198341785939,24.3474556030618,28.6442540385045,28.6422756793406,30.4487335858364,30.5776416697369,28.5861341093747,28.5588720067364
B,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,23.7029799878353,24.0056155395583,24.4249842912054,24.5418511048646,22.7955342540887,22.7638813065888,28.2617676503826,28.4026492625803,29.5298229264628,29.5538034909557,27.2427691419257,27.1861885490769
C,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,21.5749070532496,21.5965240909615,21.6887504719406,21.6446841264311,21.1211940781002,21.1139841482799,24.2478074316201,24.1777734718747,26.3843526928468,26.5463671629367,23.051445141828,23.0014206523046
D,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,22.2644440219881,22.2360141153276,22.1091301210591,22.1753123406442,22.1751356582644,22.1855220928576,28.1101346231219,28.1606693181312,29.4189669571961,29.4773895970683,27.6192494222655,27.7258526554409
E,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,21.1328936294219,21.3637848393592,21.1023168459701,21.0368685983359,20.9371964994682,20.9439693485976,22.0753078938033,21.9855623613679,24.7826594120861,24.965451107178,21.7625042689167,21.7418410345976
F,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,30.4339207858041,30.2424212704369,30.1096029328939,30.4441234819334,30.7302124275126,30.968243428426,30.1627731734585,30.3248921150433,30.5286911534997,30.6018288660038,30.9517378746207,30.8631503306444
G,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,22.5785560541706,22.4073975833719,23.2390200397971,23.1162613268293,23.6604500802216,23.5489909442988,27.9968430166573,27.9354714158219,29.8422112530552,29.5995854449649,27.494408040897,28.1156585440218
H,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
